,ISO3,mean_MHC_child_weighted,mean_MHI_child_weighted,iso3,adm_name,u18_pop,color
0,AFG,2.3862672535786627,6.296932418197159,AFG,Afghanistan,20941094.0,red
1,AGO,1.7884885905092616,5.1727742023684256,AGO,Angola,18709837.0,blue
2,ARG,1.8613856886898348,6.209769991995451,ARG,Argentina,11994301.0,green
3,AUS,1.794893903923165,5.33810030049673,AUS,Australia,5528342.0,green
4,BOL,2.098390034723008,5.668018782838156,BOL,Bolivia (Plurinational State of),4394807.0,red
5,BRA,1.7431027161938,5.655012567141418,BRA,Brazil,49906109.0,green
6,BWA,2.312819537452966,6.156398179604127,BWA,Botswana,937762.0,red
7,CAF,3.587548218903278,7.31939835168536,CAF,Central African Republic,2934123.0,red
8,CAN,1.7559128679316889,4.682766102023646,CAN,Canada,7173034.0,blue
9,CHL,0.8327536043225177,4.5453779345578855,CHL,Chile,4013982.0,blue
10,CHN,2.695125532616452,6.424066781371248,CHN,China,279052029.0,red
11,CIV,2.153912165592657,6.115007177985317,CIV,Côte d'Ivoire,15023795.0,red
12,CMR,2.1919876946567096,5.933933993057678,CMR,Cameroon,13770790.0,red
13,COD,2.187350030703416,5.571503975335408,COD,Democratic Republic of the Congo,56518035.0,red
14,COG,1.3277684845573114,4.546280021124314,COG,Congo,2955038.0,blue
15,COL,1.7784986011940325,5.102330847090596,COL,Colombia,13013575.0,blue
16,DEU,1.3979978907161152,4.549033181142383,DEU,Germany,14040927.0,blue
17,DZA,2.7610410978054527,6.258256575306488,DZA,Algeria,16139590.0,red
18,EGY,3.122322700765924,7.076888894092193,EGY,Egypt,43438204.0,red
19,ESP,2.6467636256398643,6.21996100479945,ESP,Spain,7485991.0,red
20,ETH,1.871830795329825,4.561234567594698,ETH,Ethiopia,60017167.0,blue
21,FIN,1.1215526915426823,3.2964815342377136,FIN,Finland,991544.0,blue
22,FRA,1.556300075935389,5.345721193474712,FRA,France,13295577.0,green
23,IDN,1.44441241863564,4.355630711726149,IDN,Indonesia,81336243.0,blue
24,IND,2.7692979771399955,6.732700689523205,IND,India,429150837.0,red
25,IRN,2.420201726451291,6.597160835923408,IRN,Iran (Islamic Republic of),24294848.0,red
26,IRQ,3.284812592777792,7.84365048792201,IRQ,Iraq,19703403.0,red
27,ITA,1.7859330421532735,5.329477658674853,ITA,Italy,8867069.0,green
28,JPN,2.6195128232626854,5.411935097653891,JPN,Japan,17150403.0,red
29,KAZ,1.9486621746517017,6.406623481133021,KAZ,Kazakhstan,7013865.0,green
30,KEN,1.775430757681673,4.673339706639267,KEN,Kenya,24625533.0,blue
31,LBY,2.812499241358481,5.9525890633370135,LBY,Libya,2369493.0,red
32,MAR,3.544503196270605,6.646390731442727,MAR,Morocco,11626169.0,red
33,MDG,2.3606359217954567,5.354066657020931,MDG,Madagascar,14049900.0,red
34,MEX,2.119415767947742,5.705854207087588,MEX,Mexico,38372192.0,red
35,MLI,3.0975837415145264,7.087711595637984,MLI,Mali,12887973.0,red
36,MMR,3.5877381178955385,7.097581947550179,MMR,Myanmar,15614933.0,red
37,MNG,1.356759972281351,4.436007774663668,MNG,Mongolia,1283536.0,blue
38,MOZ,2.850673184372157,6.452846831295942,MOZ,Mozambique,17344888.0,red
39,MRT,2.469468990508002,5.647471785264136,MRT,Mauritania,2509826.0,red
40,MYS,1.256776542427885,4.437884136759621,MYS,Malaysia,9337446.0,blue
41,NAM,2.4011558952348917,6.006874482796658,NAM,Namibia,1268276.0,red
42,NER,2.661233614877285,6.293097095226025,NER,Niger,14400381.0,red
43,NGA,2.824885298563529,6.7386281213642665,NGA,Nigeria,110642673.0,red
44,NOR,1.1084515750209398,3.258431780384288,NOR,Norway,1020161.0,blue
45,OMN,3.01626471566487,5.2904827626320765,OMN,Oman,1426698.0,red
46,PAK,3.0183851719932697,6.953678045508124,PAK,Pakistan,107779127.0,red
47,PER,1.6643288131286564,4.201949699116499,PER,Peru,9874602.0,blue
48,PNG,0.8234617032102912,3.2798758971893998,PNG,Papua New Guinea,3771705.0,blue
49,POL,1.4747504853697126,4.67810706229051,POL,Poland,6980331.0,blue
50,PRY,2.013891299114596,6.748943294240756,PRY,Paraguay,2361025.0,green
51,RUS,1.8775645173219129,5.87529870126288,RUS,Russian Federation,29901207.0,green
52,SAU,2.715227644471071,6.056039371490217,SAU,Saudi Arabia,9337857.0,red
53,SDN,3.4030516622704075,7.283114456738981,SDN,Sudan,23468929.0,red
54,SOM,2.628800945593135,5.193878081204474,SOM,Somalia,9019740.0,orange
55,SSD,3.7051133186489897,7.495982958703064,SSD,South Sudan,5570563.0,red
56,SWE,1.1428461262813538,3.7918304172578585,SWE,Sweden,2075432.0,blue
57,TCD,3.2011270669799883,6.871624278341852,TCD,Chad,10563115.0,red
58,THA,3.3514126061091707,6.843302942550448,THA,Thailand,13239540.0,red
59,TKM,3.4375578361135037,7.630342716288581,TKM,Turkmenistan,2721095.0,red
60,TUR,1.75762038676384,5.548333735012436,TUR,Republic of Türkiye,22274943.0,green
61,TZA,1.897900110537184,4.854680531737309,TZA,United Republic of Tanzania,33009939.0,blue
62,UKR,1.5351059811037844,5.612236590624433,UKR,Ukraine,6430336.0,green
63,USA,2.260086314141552,5.905733652546839,USA,United States of America,72972658.0,red
64,UZB,2.72000898505608,6.927807947990956,UZB,Uzbekistan,12807241.0,red
65,VEN,2.6009886646497216,5.9666543709944655,VEN,Venezuela,8674825.0,red
66,VNM,3.800340620280794,6.954476314106211,VNM,Viet Nam,28020535.0,red
67,YEM,2.0143947003838067,4.748570487161281,YEM,Yemen,18647028.0,blue
68,ZAF,1.526326529978423,5.54929911553713,ZAF,South Africa,19551218.0,green
69,ZMB,1.7466012805793414,5.638494364613001,ZMB,Zambia,10196836.0,green
70,ZWE,2.10046680285274,5.977554705052838,ZWE,Zimbabwe,7945012.0,red
71,EGY,3.0,5.549093670175694,EGY,Egypt,43438204.0,red
72,SDN,2.904546583162602,2.196601563426029,SDN,Sudan,23468929.0,orange
73,SSD,3.0865341984493257,7.007824065129821,SSD,South Sudan,5570563.0,red
74,ALB,1.7458339269615606,5.444486404813632,ALB,Albania,574038.0,green
75,AND,1.5175613969512085,4.214876993060239,AND,Andorra,12305.0,blue
76,ARE,2.825920725976915,5.84863306282149,ARE,United Arab Emirates,2031448.0,red
77,ARM,1.4974753115798491,5.726192789896243,ARM,Armenia,692306.0,green
78,AUT,1.3844071067349597,4.6484843555231325,AUT,Austria,1562150.0,blue
79,AZE,1.8061828596667608,5.947592262134979,AZE,Azerbaijan,2747051.0,green
80,BDI,1.335716582036938,4.335793585823646,BDI,Burundi,7250337.0,blue
81,BEL,1.3799731838097895,4.9079905512988455,BEL,Belgium,2300201.0,blue
82,BEN,2.740434197240979,6.454966693040664,BEN,Benin,6896624.0,red
83,BFA,2.9498099916064247,6.634567182434006,BFA,Burkina Faso,11453005.0,red
84,BGD,3.5212587675319265,7.081175800908356,BGD,Bangladesh,58945360.0,red
85,BGR,1.489947568527238,5.666887706524227,BGR,Bulgaria,1180648.0,green
86,BHR,2.0979435389172605,2.520889007267992,BHR,Bahrain,351170.0,orange
87,BHS,2.9127506391203237,3.4228625670668027,BHS,Bahamas,89010.0,orange
88,BIH,1.6291482391250316,5.469867392152289,BIH,Bosnia and Herzegovina,515900.0,green
89,BLR,1.6566790150157098,5.058480607017486,BLR,Belarus,1792218.0,blue
90,BLZ,2.3432122292483206,5.655378895612243,BLZ,Belize,133344.0,red
91,BRB,2.000060924329971,1.250474068408526,BRB,Barbados,59725.0,blue
92,BRN,1.1519969198086053,3.2809501786778514,BRN,Brunei Darussalam,114778.0,blue
93,BTN,0.3745075936524357,4.528345043335428,BTN,Bhutan,208367.0,blue
94,CHE,1.5479036052364854,4.725813804615958,CHE,Switzerland,1593961.0,blue
95,COM,2.038862033096412,1.7481470866398348,COM,Comoros,371458.0,orange
96,CPV,2.468865993444324,3.0703530442396447,CPV,Cape Verde,164769.0,orange
97,CRI,1.642596411958701,4.476826069912679,CRI,Costa Rica,1191440.0,blue
98,CUB,2.885420566058507,5.757447636590163,CUB,Cuba,2038205.0,red
99,CYP,1.954299991669701,4.256308358911258,CYP,Cyprus,253507.0,blue
100,CZE,1.7071377819002191,4.538148861639685,CZE,Czechia,2026392.0,blue
101,DJI,1.6526886472708002,3.426831547496509,DJI,Djibouti,409779.0,blue
102,DMA,2.0722232411643158,3.026431049128868,DMA,Dominica,14440.0,orange
103,DNK,1.2744258939615682,3.426079240773485,DNK,Denmark,1128654.0,blue
104,DOM,2.4683793954606874,4.785386146250733,DOM,Dominican Republic,3626138.0,orange
105,ECU,1.4327198412000606,4.389095543893365,ECU,Ecuador,5412111.0,blue
106,ERI,2.648848879732275,5.337293598016635,ERI,Eritrea,1606584.0,red
107,EST,1.2315101929354002,3.7772975567115976,EST,Estonia,264506.0,blue
108,FJI,2.2263503841854444,3.3338192629298606,FJI,Fiji,294958.0,orange
109,FSM,2.9991551202336244,2.382784382144799,FSM,Micronesia (Federated States of),33225.0,orange
110,GAB,1.2068964122595716,3.686132963311706,GAB,Gabon,1061384.0,blue
111,GBR,1.2937675087689968,4.312918659314275,GBR,United Kingdom of Great Britain & Northern Ireland,13876628.0,blue
112,GEO,1.0243268186514851,5.316461547398774,GEO,Georgia,936650.0,green
113,GHA,2.498351388412188,6.172650120233283,GHA,Ghana,14402610.0,red
114,GIN,2.524853805355203,6.260794843565102,GIN,Guinea,6962287.0,red
115,GMB,2.6361857397327397,5.542551324670314,GMB,Gambia,1289238.0,red
116,GNB,2.5480101861993294,5.620946810817768,GNB,Guinea-Bissau,991856.0,red
117,GNQ,1.6667711109321257,4.119027125340149,GNQ,Equatorial Guinea,808399.0,blue
118,GRC,1.2995996711308082,4.837667526751114,GRC,Greece,1614945.0,blue
119,GTM,1.7277395191391762,4.997763433645726,GTM,Guatemala,6957738.0,blue
120,GUY,2.4381156186835384,4.402817065351248,GUY,Guyana,281357.0,orange
121,HND,2.680252393656478,6.003170397661553,HND,Honduras,3943859.0,red
122,HRV,1.6463073316933243,5.410736210811906,HRV,Croatia,663754.0,green
123,HTI,2.623333992788768,3.801949019174765,HTI,Haiti,4369564.0,orange
124,HUN,1.3888747563671222,5.901360424243226,HUN,Hungary,1702871.0,green
125,IRL,1.2672919918170686,3.9239411160900897,IRL,Ireland,1175298.0,blue
126,ISL,0.1950325897437193,2.2203738364738737,ISL,Iceland,83771.0,blue
127,ISR,1.778843279420799,5.954946726631492,ISR,Israel,2536959.0,green
128,JAM,2.5200101677064377,4.065695863126765,JAM,Jamaica,670183.0,orange
129,JOR,2.450093239879669,6.334602774076116,JOR,Jordan,4258512.0,red
130,KGZ,1.3825395330577448,5.492282362356427,KGZ,Kyrgyzstan,2689821.0,green
131,KHM,4.279099116083585,7.85091198551532,KHM,Cambodia,6211093.0,red
132,KIR,2.101226662075008,0.1006725069230039,KIR,Kiribati,47860.0,orange
133,KNA,2.697252216291481,2.4510939311350346,KNA,Saint Kitts and Nevis,10339.0,orange
134,KOR,1.4392207134691728,5.14196189227393,KOR,Republic of Korea,6896494.0,blue
135,KWT,2.0906581958119017,4.157535591917386,KWT,Kuwait,1065070.0,orange
136,LAO,3.272146021389728,6.875629761960576,LAO,Lao People's Democratic Republic,2799987.0,red
137,LBN,0.7358457275077307,3.827728290013416,LBN,Lebanon,1848616.0,blue
138,LBR,1.5956680042159748,4.801441470352591,LBR,Liberia,2595882.0,blue
139,LCA,2.243898771865604,3.359020851293522,LCA,Saint Lucia,38966.0,orange
140,LKA,2.321408046180933,4.692588944479758,LKA,Sri Lanka,6180128.0,orange
141,LSO,1.8090718090194848,5.444848055442407,LSO,Lesotho,953829.0,green
142,LTU,1.5937449669619013,4.90986749054143,LTU,Lithuania,509386.0,blue
143,LUX,1.1042344266031092,3.95851844859477,LUX,Luxembourg,125867.0,blue
144,LVA,1.3036351666885375,4.275173378594348,LVA,Latvia,352447.0,blue
145,MDA,1.863536951501387,6.445891534394358,MDA,Moldova,714906.0,green
146,MDV,2.2908341574997357,0.0,MDV,Maldives,59350.0,orange
147,MHL,2.909828421984092,0.043717306057903,MHL,Marshall Islands,14174.0,orange
148,MKD,1.8892042832362788,6.007667033430463,MKD,North Macedonia,372435.0,green
149,MLT,1.7235328534053005,2.770332132756854,MLT,Malta,82027.0,blue
150,MNE,1.3806735252861946,5.208492715243663,MNE,Montenegro,138273.0,green
151,MUS,2.6558477983161355,3.696472230539916,MUS,Mauritius,241169.0,orange
152,MWI,1.6753125305438776,5.299608790217994,MWI,Malawi,10332558.0,green
153,NLD,1.773705165757988,4.896094297305682,NLD,Netherlands,3317681.0,blue
154,NPL,1.3899917479144186,5.374676628516289,NPL,Nepal,10250381.0,green
155,NRU,1.934198225428327,0.0,NRU,Nauru,5060.0,blue
156,NZL,1.71754602636514,3.2302993318811803,NZL,New Zealand,1136543.0,blue
157,PAN,1.1564056114471362,4.59344942686949,PAN,Panama,1320562.0,blue
158,PHL,2.262115436977703,4.864727728974336,PHL,Philippines,38920921.0,orange
159,PRK,1.798185375424409,4.976641717841458,PRK,Democratic People's Republic of Korea,5968304.0,blue
