,ISO3,mean_MHC_child_weighted,mean_MHI_child_weighted,iso3,adm_name,u18_pop,color
0,AFG,4.321969328422807,7.065817119260704,AFG,Afghanistan,20941094.0,red
1,AGO,3.7654035119293834,5.7754357311745705,AGO,Angola,18709837.0,red
2,ARG,2.8287821889826,6.417567546660968,ARG,Argentina,11994301.0,green
3,AUS,2.4960875804396614,5.287764552823327,AUS,Australia,5528342.0,blue
4,BOL,3.5565845692444364,6.234865630723444,BOL,Bolivia (Plurinational State of),4394807.0,red
5,BRA,2.8016087891272745,5.902516042483961,BRA,Brazil,49906109.0,green
6,BWA,3.805250415063509,6.454050162973431,BWA,Botswana,937762.0,red
7,CAF,5.587547622256358,7.885300146753446,CAF,Central African Republic,2934123.0,red
8,CAN,2.725614481796988,4.846746937696789,CAN,Canada,7173034.0,blue
9,CHL,1.8232442951215155,5.128625362236829,CHL,Chile,4013982.0,blue
10,CHN,3.6671901007938494,6.952268125136194,CHN,China,279052029.0,red
11,CIV,4.146802712374028,6.656492538509958,CIV,Côte d'Ivoire,15023795.0,red
12,CMR,4.187347841975541,6.790926244787689,CMR,Cameroon,13770790.0,red
13,COD,4.103471542355651,6.3560003156761296,COD,Democratic Republic of the Congo,56518035.0,red
14,COG,3.294429791534044,5.275770112333029,COG,Congo,2955038.0,orange
15,COL,3.328589712582457,5.518612661475783,COL,Colombia,13013575.0,orange
16,DEU,2.3956173909667253,4.893141385610439,DEU,Germany,14040927.0,blue
17,DZA,3.7346371591417418,6.518138189604395,DZA,Algeria,16139590.0,red
18,EGY,4.110227903793654,7.561178802597634,EGY,Egypt,43438204.0,red
19,ESP,3.533248617935403,6.246220427626878,ESP,Spain,7485991.0,red
20,ETH,3.7011045220953593,5.352466181959881,ETH,Ethiopia,60017167.0,orange
21,FIN,2.021547686773589,3.5308349927122538,FIN,Finland,991544.0,blue
22,FRA,2.5462125636958373,5.556075552419362,FRA,France,13295577.0,blue
23,IDN,2.6959920079739352,4.862997163918654,IDN,Indonesia,81336243.0,blue
24,IND,4.537933230622493,7.355358820272941,IND,India,429150837.0,red
25,IRN,3.4061162452923357,7.181870924078529,IRN,Iran (Islamic Republic of),24294848.0,red
26,IRQ,4.283949449079723,8.358623309483896,IRQ,Iraq,19703403.0,red
27,ITA,2.719550040757124,5.64732038734814,ITA,Italy,8867069.0,green
28,JPN,3.492824431334116,5.536553007205763,JPN,Japan,17150403.0,orange
29,KAZ,2.9402861125108437,6.709134749196785,KAZ,Kazakhstan,7013865.0,green
30,KEN,3.5672950429107018,5.23222513229896,KEN,Kenya,24625533.0,orange
31,LBY,3.7702421522428167,6.34940229943481,LBY,Libya,2369493.0,red
32,MAR,4.533169700784371,6.896427888934428,MAR,Morocco,11626169.0,red
33,MDG,4.216291563024796,5.623681680610581,MDG,Madagascar,14049900.0,red
34,MEX,3.112640669604759,5.994310868829184,MEX,Mexico,38372192.0,red
35,MLI,5.085807408780827,7.73527580477486,MLI,Mali,12887973.0,red
36,MMR,5.542894403306235,7.518237723617654,MMR,Myanmar,15614933.0,red
37,MNG,2.3550830711713617,5.16146818431436,MNG,Mongolia,1283536.0,blue
38,MOZ,4.765117499259223,6.727696995041238,MOZ,Mozambique,17344888.0,red
39,MRT,4.335108950786938,6.529120442620199,MRT,Mauritania,2509826.0,red
40,MYS,2.161860107212964,4.881989435493748,MYS,Malaysia,9337446.0,blue
41,NAM,4.046439668442805,6.366628436776951,NAM,Namibia,1268276.0,red
42,NER,4.645057090770618,7.224243774076909,NER,Niger,14400381.0,red
43,NGA,4.813815290820294,7.510966689614973,NGA,Nigeria,110642673.0,red
44,NOR,1.994100545528882,3.4645490249898523,NOR,Norway,1020161.0,blue
45,OMN,3.758981160707169,5.945716751273305,OMN,Oman,1426698.0,red
46,PAK,4.7737998140001405,7.662471523603001,PAK,Pakistan,107779127.0,red
47,PER,2.903854238686864,4.83820124918993,PER,Peru,9874602.0,blue
48,PNG,2.63173263559863,3.9466928714234073,PNG,Papua New Guinea,3771705.0,blue
49,POL,2.467462696984445,5.196498466034164,POL,Poland,6980331.0,blue
50,PRY,3.005208693393093,6.9658729798572665,PRY,Paraguay,2361025.0,green
51,RUS,2.8468768809172147,6.074894869230459,RUS,Russian Federation,29901207.0,green
52,SAU,3.660833088922478,6.831211393808662,SAU,Saudi Arabia,9337857.0,red
53,SDN,5.358644676156267,7.886110034979216,SDN,Sudan,23468929.0,red
54,SOM,4.438221620650238,5.72074465892046,SOM,Somalia,9019740.0,red
55,SSD,5.704105024218976,7.925678695361261,SSD,South Sudan,5570563.0,red
56,SWE,2.066229167251756,3.974016489731131,SWE,Sweden,2075432.0,blue
57,TCD,5.055652599188457,7.560579504124254,TCD,Chad,10563115.0,red
58,THA,4.444245376554033,7.128827152899333,THA,Thailand,13239540.0,red
59,TKM,4.448553654881676,8.054004783465134,TKM,Turkmenistan,2721095.0,red
60,TUR,2.7313575578572213,5.980535174745253,TUR,Republic of Türkiye,22274943.0,green
61,TZA,3.8250060995527546,5.458570367781324,TZA,United Republic of Tanzania,33009939.0,orange
62,UKR,2.5050804091254304,5.922457010408497,UKR,Ukraine,6430336.0,green
63,USA,3.2393599943538747,5.961023840743321,USA,United States of America,72972658.0,red
64,UZB,3.719311246699877,7.395599298350129,UZB,Uzbekistan,12807241.0,red
65,VEN,4.337010572128143,6.355012019386085,VEN,Venezuela,8674825.0,red
66,VNM,4.703694240744333,7.197631251004923,VNM,Viet Nam,28020535.0,red
67,YEM,3.624452910288624,5.623143440928529,YEM,Yemen,18647028.0,red
68,ZAF,2.609751651931804,5.920894623594626,ZAF,South Africa,19551218.0,green
69,ZMB,3.73336518578097,6.246788536537743,ZMB,Zambia,10196836.0,red
70,ZWE,4.095977021792093,6.443209806230198,ZWE,Zimbabwe,7945012.0,red
71,EGY,4.0,6.360168989792271,EGY,Egypt,43438204.0,red
72,SDN,3.131884426274121,2.650732936968546,SDN,Sudan,23468929.0,orange
73,SSD,5.081877952677885,7.443704410477128,SSD,South Sudan,5570563.0,red
74,ALB,2.742654477086426,5.7716774458874776,ALB,Albania,574038.0,green
75,AND,2.517561396951208,4.552374528989912,AND,Andorra,12305.0,blue
76,ARE,3.775576313104344,6.539517974868079,ARE,United Arab Emirates,2031448.0,red
77,ARM,2.475481568946825,6.219329537020681,ARM,Armenia,692306.0,green
78,AUT,2.384257129077101,5.01442699032704,AUT,Austria,1562150.0,blue
79,AZE,2.6998366558968416,6.374220203756253,AZE,Azerbaijan,2747051.0,green
80,BDI,3.254662899454686,5.232668535919424,BDI,Burundi,7250337.0,orange
81,BEL,2.3799731838097915,5.193186015481377,BEL,Belgium,2300201.0,blue
82,BEN,4.7152234126482,7.097984642211327,BEN,Benin,6896624.0,red
83,BFA,4.949674375945538,7.361140822106155,BFA,Burkina Faso,11453005.0,red
84,BGD,4.588205222127118,7.663505036918257,BGD,Bangladesh,58945360.0,red
85,BGR,2.4319412945787238,6.081812599005153,BGR,Bulgaria,1180648.0,green
86,BHR,2.481098237059564,2.7436140336399704,BHR,Bahrain,351170.0,blue
87,BHS,3.484733663187835,3.4973240314636733,BHS,Bahamas,89010.0,orange
88,BIH,2.6291400489479653,6.03897936735704,BIH,Bosnia and Herzegovina,515900.0,green
89,BLR,2.656245967302945,5.419907142612284,BLR,Belarus,1792218.0,blue
90,BLZ,3.273505918898349,5.783746285292191,BLZ,Belize,133344.0,red
91,BRB,2.8091348107528145,1.3882365457866217,BRB,Barbados,59725.0,blue
92,BRN,1.8493462821166928,3.573713770928253,BRN,Brunei Darussalam,114778.0,blue
93,BTN,1.6082403361154909,5.155104652104576,BTN,Bhutan,208367.0,blue
94,CHE,2.522092875305625,4.999618050663348,CHE,Switzerland,1593961.0,blue
95,COM,3.4763280698069123,1.6666867290467555,COM,Comoros,371458.0,orange
96,CPV,3.2806957981473355,3.602511691210383,CPV,Cape Verde,164769.0,orange
97,CRI,2.623719203085732,4.940989360537821,CRI,Costa Rica,1191440.0,blue
98,CUB,3.866813383984645,5.803582489534973,CUB,Cuba,2038205.0,red
99,CYP,2.6976294212954555,4.530415922986403,CYP,Cyprus,253507.0,blue
100,CZE,2.7071377819002187,4.988883696729408,CZE,Czechia,2026392.0,blue
101,DJI,3.0061090846515763,4.398879910300772,DJI,Djibouti,409779.0,blue
102,DMA,2.839983876654618,3.274669679031698,DMA,Dominica,14440.0,blue
103,DNK,2.1141099874777223,3.755774133482829,DNK,Denmark,1128654.0,blue
104,DOM,3.4372930278575664,5.021192088233715,DOM,Dominican Republic,3626138.0,orange
105,ECU,2.437668433476574,4.871521737446463,ECU,Ecuador,5412111.0,blue
106,ERI,4.515832627555479,6.022296804960496,ERI,Eritrea,1606584.0,red
