Quadrant,adm_name,ISO3
High MHC / High MHI,Afghanistan,AFG
High MHC / High MHI,Algeria,DZA
High MHC / High MHI,Bangladesh,BGD
High MHC / High MHI,Belize,BLZ
High MHC / High MHI,Benin,BEN
High MHC / High MHI,Bolivia (Plurinational State of),BOL
High MHC / High MHI,Botswana,BWA
High MHC / High MHI,Burkina Faso,BFA
High MHC / High MHI,Cambodia,KHM
High MHC / High MHI,Cameroon,CMR
High MHC / High MHI,Central African Republic,CAF
High MHC / High MHI,Chad,TCD
High MHC / High MHI,China,CHN
High MHC / High MHI,Cuba,CUB
High MHC / High MHI,Côte d'Ivoire,CIV
High MHC / High MHI,Democratic Republic of the Congo,COD
High MHC / High MHI,Egypt,EGY
High MHC / High MHI,Egypt,EGY
High MHC / High MHI,El Salvador,SLV
High MHC / High MHI,Eritrea,ERI
High MHC / High MHI,Gambia,GMB
High MHC / High MHI,Ghana,GHA
High MHC / High MHI,Guinea,GIN
High MHC / High MHI,Guinea-Bissau,GNB
High MHC / High MHI,Honduras,HND
High MHC / High MHI,India,IND
High MHC / High MHI,Iran (Islamic Republic of),IRN
High MHC / High MHI,Iraq,IRQ
High MHC / High MHI,Japan,JPN
High MHC / High MHI,Jordan,JOR
High MHC / High MHI,Lao People's Democratic Republic,LAO
High MHC / High MHI,Libya,LBY
High MHC / High MHI,Madagascar,MDG
High MHC / High MHI,Mali,MLI
High MHC / High MHI,Mauritania,MRT
High MHC / High MHI,Mexico,MEX
High MHC / High MHI,Morocco,MAR
High MHC / High MHI,Mozambique,MOZ
High MHC / High MHI,Myanmar,MMR
High MHC / High MHI,Namibia,NAM
High MHC / High MHI,Niger,NER
High MHC / High MHI,Nigeria,NGA
High MHC / High MHI,Oman,OMN
High MHC / High MHI,Pakistan,PAK
High MHC / High MHI,Portugal,PRT
High MHC / High MHI,Saudi Arabia,SAU
High MHC / High MHI,Sierra Leone,SLE
High MHC / High MHI,South Sudan,SSD
High MHC / High MHI,South Sudan,SSD
High MHC / High MHI,Spain,ESP
High MHC / High MHI,Sudan,SDN
High MHC / High MHI,Syrian Arab Republic,SYR
High MHC / High MHI,Tajikistan,TJK
High MHC / High MHI,Thailand,THA
High MHC / High MHI,Togo,TGO
High MHC / High MHI,Tunisia,TUN
High MHC / High MHI,Turkmenistan,TKM
High MHC / High MHI,Uganda,UGA
High MHC / High MHI,United Arab Emirates,ARE
High MHC / High MHI,United States of America,USA
High MHC / High MHI,Uzbekistan,UZB
High MHC / High MHI,Venezuela,VEN
High MHC / High MHI,Viet Nam,VNM
High MHC / High MHI,Zimbabwe,ZWE
High MHC / Low MHI,Bahamas,BHS
High MHC / Low MHI,Bahrain,BHR
High MHC / Low MHI,Cape Verde,CPV
High MHC / Low MHI,Comoros,COM
High MHC / Low MHI,Dominica,DMA
High MHC / Low MHI,Dominican Republic,DOM
High MHC / Low MHI,Fiji,FJI
High MHC / Low MHI,Guyana,GUY
High MHC / Low MHI,Haiti,HTI
High MHC / Low MHI,Jamaica,JAM
High MHC / Low MHI,Kiribati,KIR
High MHC / Low MHI,Kuwait,KWT
High MHC / Low MHI,Maldives,MDV
High MHC / Low MHI,Marshall Islands,MHL
High MHC / Low MHI,Mauritius,MUS
High MHC / Low MHI,Micronesia (Federated States of),FSM
High MHC / Low MHI,Philippines,PHL
High MHC / Low MHI,Portugal,PRT
High MHC / Low MHI,Saint Kitts and Nevis,KNA
High MHC / Low MHI,Saint Lucia,LCA
High MHC / Low MHI,Saint Vincent and the Grenadines,VCT
High MHC / Low MHI,Samoa,WSM
High MHC / Low MHI,Solomon Islands,SLB
High MHC / Low MHI,Somalia,SOM
High MHC / Low MHI,Spain,ESP
High MHC / Low MHI,Sri Lanka,LKA
High MHC / Low MHI,Sudan,SDN
High MHC / Low MHI,Suriname,SUR
High MHC / Low MHI,Timor-Leste,TLS
High MHC / Low MHI,Tonga,TON
High MHC / Low MHI,Trinidad and Tobago,TTO
