iso3,adm0_name,air_pollution_absolute,air_pollution_relative,agricultural_drought_absolute,agricultural_drought_relative,drought_spi_absolute,drought_spi_relative,drought_spei_absolute,drought_spei_relative,coastal_flood_absolute,coastal_flood_relative,extreme_heat_absolute,extreme_heat_relative,fire_frequency_absolute,fire_frequency_relative,fire_FRP_absolute,fire_FRP_relative,heatwave_duration_absolute,heatwave_duration_relative,heatwave_frequency_absolute,heatwave_frequency_relative,heatwave_severity_absolute,heatwave_severity_relative,river_flood_absolute,river_flood_relative,tropical_storm_absolute,tropical_storm_relative,sand_dust_absolute,sand_dust_relative,vectorborne_malariapf_absolute,vectorborne_malariapf_relative,vectorborne_malariapv_absolute,vectorborne_malariapv_relative
MUS,Mauritius,5.819134612257583,7.059328594305719,5.566469560979423,5.082092329589356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.3408714972618,3.5863377304541846,1.0,1.0,6.193491322300939,9.930984242621753,1.0,1.0,1.0,1.0,6.634606629504875,10.0,1.0,1.0,1.0,1.0,1.0,1.0
TUV,Tuvalu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4077239795241114,7.990756952730632,1.0,1.0,1.0,1.0,3.493059230014345,8.377726618984017,1.0,1.0,1.0,1.0,1.0,1.0
KIR,Kiribati,1.3440813528069597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.507857397457885,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.065866616541664,9.56447659082666,1.0,1.0,1.0,1.0,1.0,1.0,3.7311141770387404,1.6988476978998581,1.0,1.0,1.0,1.0
MHL,Marshall Islands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.166438130896369,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.196092687250222,8.247855233986046,1.0,1.0,1.0,1.0,5.073495126526597,9.911292169379228,1.0,1.0,1.0,1.0,1.0,1.0
BHR,Bahrain,5.691866160844583,4.3824609892456445,1.0,1.0,6.31807496245119,9.991971261646794,6.31785591624508,9.988917671502682,4.349590268205787,2.065934044909407,6.318342314385866,9.995699644264194,1.0,1.0,1.0,1.0,1.0,1.0,6.449233282302996,9.995699644264192,1.0,1.0,1.0,1.0,1.0,1.0,5.39999694699433,1.7943107999240435,1.0,1.0,1.0,1.0
FSM,Micronesia (Federated States of),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9715499640550225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.937825928897616,9.640425501100223,1.0,1.0,1.0,1.0,5.601221368763634,9.979961702139123,1.0,1.0,1.0,1.0,1.0,1.0
WSM,Samoa,3.229432289206203,1.1988016614688175,1.0,1.0,5.297532499750912,7.838530095259782,5.297532499750912,7.838530095259782,1.0,1.0,1.0,1.0,2.476387248047201,1.0,4.9184762762124254,4.980328332891519,1.0,1.0,5.574937521646207,9.870463906304588,1.0,1.0,1.0,1.0,6.120911148988999,10.0,1.0,1.0,1.0,1.0,1.0,1.0
MDV,Maldives,2.97377455537468,1.0668566642578505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.722170710040887,9.917724599139477,1.0,1.0,1.0,1.0,2.8927053063483266,1.0,5.070567987698601,2.64281368528441,1.0,1.0,1.0,1.0
PLW,Palau,1.0,1.0,1.0,1.0,1.9197055251500301,1.9032048063165654,1.9197055251500301,1.9032048063165654,1.0,1.7348997572362312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.419580780889384,10.0,1.0,1.0,1.0,1.0,4.309824811271227,10.0,1.0,1.0,1.0,1.0,1.0,1.0
TON,Tonga,2.9751753605967455,1.342979420533797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0346673811519835,9.735095883874049,1.0,1.0,1.0,1.0,5.67744494834021,10.0,1.0,1.0,1.0,1.0,1.0,1.0
