iso3,P2_electricity_access_value_normalized,P2_DTP1_access_value_normalized,P2_DTP3_access_value_normalized,P2_Skilled_birth_coverage_value_normalized,P2_Stunting_value_normalized,P2_Child_Food_Poverty_value_normalized,P2_Lower_secondary_out_of_school_value_normalized,P2_Lower_secondary_completion_rate_value_normalized,P2_Learning_poverty_value_normalized,P2_Child_labor_value_normalized,P2_Child_marriage_value_normalized,P2_Child_poverty_value_normalized,P2_Under_five_covered_by_social_protection_value_normalized,P2_Under_five_mortality_value_normalized,P2_Basic_hygiene_value_normalized,P2_At-least_basic_drinking_water_value_normalized,P2_At-least_basic_sanitation_value_normalized,P2_arithmetic_avg,rank_reverse
AFG,1.6333333333333346,6.4,6.724137931034483,4.74820143884892,8.36734693877551,7.673667205169629,6.717458965517241,7.14986456735064,,4.6923076923076925,8.199855988479078,,9.96,0.8858597150290692,5.325858320833333,3.8749433876923085,5.824926425555557,6.018729230618127,18.0
ALB,0.0,0.0,0.1724137931034484,0.0,1.306122448979592,2.7463651050080773,0.18965515517241377,0.24322913012571767,0.7617700476395367,,0.20801664133130648,0.5847305447355479,7.539999999999999,0.012815177496344504,,0.9090218369230758,0.07985783222222231,1.0350288945738562,150.0
DZA,0.0,0.0,1.0344827586206904,0.4892086330935257,1.6122448979591837,2.520193861066236,0.5390963965517241,3.5295277380933907,,0.3846153846153846,2.199375950076006,,2.7699999999999996,0.2613893342153356,2.569452054166666,2.316600238461538,2.257513567777778,1.59800398806574,126.0
AND,0.0,0.0,0.0,,,,,,,,,,8.78,0.0,,0.0,0.0,2.195,103.0
AGO,5.722222222222223,5.600000000000001,5.862068965517241,7.179856115107913,9.53061224489796,4.636510500807755,2.462744827586207,7.231054695245094,,4.538461538461537,5.799663973117849,7.023085132408503,9.97,5.168328096130257,8.422519492708332,9.705605227692308,8.494989951111112,6.5328289907535915,11.0
ARG,0.0,3.6000000000000014,3.9655172413793105,0.4460431654676249,1.9795918367346939,,0.023943810344827593,2.340209963820156,5.910230536209904,0.2564102564102564,5.399631970557644,,1.2200000000000006,0.09731736389190143,,0.028105652307690576,0.17004452666666658,1.5692890869668223,129.0
ARM,0.0,0.1999999999999993,0.6896551724137936,0.0,1.0612244897959184,2.132471728594507,0.0,0.31315480596913403,2.551699588173305,0.7948717948717947,0.3228258260660853,0.14749039306967404,6.82,0.03607035843454956,1.0141769322916652,0.0,1.9514155944444447,1.1202012249566433,144.0
TCA,0.011111111111111072,,,,0.44897959183673475,3.2794830371567043,0.0,0.10940175486586057,,1.3076923076923075,0.0022001760140811268,,,0.1228444201735096,1.1690210291666663,1.2633682553846146,0.9342267933333321,0.6383398873937226,158.0
AUS,0.0,1.0,0.862068965517242,,0.4285714285714286,,,,0.6382778569271684,,,,0.0,0.0,,0.0,0.0,0.2812564901118351,170.0
AUT,0.0,0.6000000000000014,2.2413793103448265,0.23021582733812807,,,,,1.2598979347630528,,,,0.0,0.0,,0.0,0.0,0.4055593438367584,164.0
AZE,0.0,6.600000000000001,8.103448275862068,,1.183673469387755,,,,3.6365023161235577,1.051282051282051,0.7740619249539963,,8.97,0.8627485815156442,0.46735005937499885,0.8099724276923066,0.21801410333333315,2.9950273300808403,76.0
BHS,0.0,0.0,1.3793103448275872,,,,,,,,,,9.87,0.0675034374267634,,0.1622675061538459,0.69888394,2.7069623188615535,81.0
BHR,0.0,0.1999999999999993,0.3448275862068968,,0.7346938775510203,,,,2.8595472636975683,,,,9.24,0.09118162304706928,-1.7763568394002505e-15,0.012323227692306205,0.0,2.18518995037701,104.0
BGD,0.06666666666666643,0.0,0.1724137931034484,4.158273381294965,4.918367346938776,3.021001615508885,2.0689655172413794,4.010044164973738,5.075789602179273,1.8205128205128203,9.999999999999998,,5.55,1.0719993586430654,3.5351908468750004,0.18532294923076797,3.5979589733333324,3.3941480088096294,61.0
BRB,0.0,0.8000000000000007,0.6896551724137936,,0.9795918367346939,,,,,,0.03900312024961997,,8.69,0.0,1.2011093114583318,0.12882542307692368,0.2119486322222226,1.7865179672291227,123.0
FRA,0.0,0.0,0.3448275862068968,,,,,,0.3828149092824832,,,,0.0,0.0,,0.0,0.1230838088888877,0.11185986849251187,183.0
BLR,0.0,0.0,0.0,0.0,0.020408163265306145,0.0,0.0,0.11416171074989911,,0.7948717948717947,0.46783742699415953,,,0.0,,0.01785668461538492,0.12129418000000136,0.1280358300413788,182.0
BEL,0.0,0.0,0.1724137931034484,,0.326530612244898,,,,0.5817899202045632,,,,0.0,0.0,,0.0,0.05652134222222216,0.16567541132139807,178.0
BLZ,0.15555555555555678,1.8000000000000007,1.724137931034484,0.38848920863309466,2.183673469387755,1.4054927302100162,1.4137930689655174,4.512727449580473,,,0.07880630450436035,1.9124551851534783,9.7,0.18303011881628672,1.1784713,1.3391877569230761,2.6272722022222226,1.9368471621652594,117.0
BTN,0.0,0.0,0.0,,3.4489795918367347,7.447495961227787,,,,,0.16381310504840385,,9.6,0.7259391452176882,0.44558509999999885,0.10742904769230677,1.1945279344444462,2.7534173423628783,79.0
VEN,0.0,6.200000000000001,6.206896551724138,,2.183673469387755,,,,,,,,,0.3668113637968546,,1.025906001538461,0.17826822444444446,1.822051032521027,121.0
BOL,0.011111111111111072,6.600000000000001,6.724137931034483,1.3812949640287755,1.9795918367346939,0.8885298869143782,0.5472548275862069,1.9300871654354186,,3.2307692307692304,1.7143371469717577,,3.7199999999999998,0.4269900216928674,8.136026790625,3.27111079076923,5.192044101111112,2.643495947325345,82.0
BIH,0.0,1.4000000000000021,3.275862068965517,,1.4081632653061225,,,,,,0.2762220977678214,,8.54,0.0,0.41148546041666556,0.4102564107692306,0.12586907000000025,2.016479394409625,111.0
BWA,2.677777777777777,0.0,0.5172413793103452,,4.081632653061225,,0.568965551724138,0.948244242448693,,,,,9.77,0.07459944230595883,,3.4019605953846153,4.688385171111111,3.2991693768995844,67.0
BRA,0.0,1.4000000000000021,1.2068965517241388,,1.6122448979591837,1.163166397415186,0.0004963793103448522,1.7251191054317339,4.620827524285557,0.28205128205128205,9.999999999999998,,3.4099999999999993,0.20150773869595573,,0.0,3.6695769500000015,2.1370677175227675,106.0
GAB,0.7222222222222232,7.200000000000001,6.379310344827586,,2.591836734693877,4.20032310177706,,,2.9134274532920417,2.769230769230769,0.2276182094567565,,6.3,1.1831087387443617,7.1212219,7.829666803076923,8.377780087777777,3.976348721750067,50.0
GMB,3.844444444444445,3.1999999999999993,3.1034482758620685,1.985611510791367,2.6530612244897958,5.201938610662359,,,,4.076923076923076,0.5284422753820305,2.2598914642857797,8.89,1.9238334544518518,9.173454272916667,3.323204855384615,8.43894354,3.9568120101441564,51.0
GEO,0.0,0.6000000000000014,2.068965517241378,,0.7551020408163266,1.0339256865912763,0.03448275862068964,0.23991781672942913,1.1080394544099472,0.15384615384615385,0.49583966717337385,,6.98,0.04505784021175788,1.3079821645833327,0.971086080000001,2.259833453333334,1.5868357661044803,127.0
DEU,0.0,0.1999999999999993,1.5517241379310356,,0.24489795918367352,,,,1.3094634005897894,,,,0.0,0.0,,0.0,0.11200716888888884,0.36571216503248644,165.0
