Quadrant,adm_name,ISO3
High P1 / High P2,Afghanistan,AFG
High P1 / High P2,Angola,AGO
High P1 / High P2,Bangladesh,BGD
High P1 / High P2,Benin,BEN
High P1 / High P2,Bolivia (Plurinational State of),BOL
High P1 / High P2,Botswana,BWA
High P1 / High P2,Burkina Faso,BFA
High P1 / High P2,Cambodia,KHM
High P1 / High P2,Cameroon,CMR
High P1 / High P2,Central African Republic,CAF
High P1 / High P2,Chad,TCD
High P1 / High P2,China,CHN
High P1 / High P2,Colombia,COL
High P1 / High P2,Congo,COG
High P1 / High P2,Côte d'Ivoire,CIV
High P1 / High P2,Democratic Republic of the Congo,COD
High P1 / High P2,Ecuador,ECU
High P1 / High P2,Egypt,EGY
High P1 / High P2,Eritrea,ERI
High P1 / High P2,Ethiopia,ETH
High P1 / High P2,Gambia,GMB
High P1 / High P2,Ghana,GHA
High P1 / High P2,Guatemala,GTM
High P1 / High P2,Guinea,GIN
High P1 / High P2,Guinea-Bissau,GNB
High P1 / High P2,Haiti,HTI
High P1 / High P2,Honduras,HND
High P1 / High P2,India,IND
High P1 / High P2,Indonesia,IDN
High P1 / High P2,Iran (Islamic Republic of),IRN
High P1 / High P2,Iraq,IRQ
High P1 / High P2,Kenya,KEN
High P1 / High P2,Kuwait,KWT
High P1 / High P2,Lao People's Democratic Republic,LAO
High P1 / High P2,Liberia,LBR
High P1 / High P2,Libya,LBY
High P1 / High P2,Madagascar,MDG
High P1 / High P2,Malaysia,MYS
High P1 / High P2,Mali,MLI
High P1 / High P2,Mauritania,MRT
High P1 / High P2,Mexico,MEX
High P1 / High P2,Morocco,MAR
High P1 / High P2,Mozambique,MOZ
High P1 / High P2,Myanmar,MMR
High P1 / High P2,Namibia,NAM
High P1 / High P2,Niger,NER
High P1 / High P2,Nigeria,NGA
High P1 / High P2,Oman,OMN
High P1 / High P2,Pakistan,PAK
High P1 / High P2,Papua New Guinea,PNG
High P1 / High P2,Peru,PER
High P1 / High P2,Philippines,PHL
High P1 / High P2,Senegal,SEN
High P1 / High P2,Sierra Leone,SLE
High P1 / High P2,Somalia,SOM
High P1 / High P2,South Africa,ZAF
High P1 / High P2,South Sudan,SSD
High P1 / High P2,Sudan,SDN
High P1 / High P2,Thailand,THA
High P1 / High P2,Togo,TGO
High P1 / High P2,Uganda,UGA
High P1 / High P2,United Arab Emirates,ARE
High P1 / High P2,United Republic of Tanzania,TZA
High P1 / High P2,Viet Nam,VNM
High P1 / High P2,Yemen,YEM
High P1 / High P2,Zambia,ZMB
High P1 / High P2,Zimbabwe,ZWE
High P1 / Low P2,Algeria,DZA
High P1 / Low P2,Argentina,ARG
High P1 / Low P2,Australia,AUS
High P1 / Low P2,Belize,BLZ
High P1 / Low P2,Brazil,BRA
High P1 / Low P2,Cuba,CUB
High P1 / Low P2,Democratic People's Republic of Korea,PRK
High P1 / Low P2,France,FRA
High P1 / Low P2,Guyana,GUY
High P1 / Low P2,Japan,JPN
High P1 / Low P2,Kazakhstan,KAZ
High P1 / Low P2,Netherlands,NLD
High P1 / Low P2,Portugal,PRT
High P1 / Low P2,Republic of Türkiye,TUR
High P1 / Low P2,Russian Federation,RUS
High P1 / Low P2,Saudi Arabia,SAU
High P1 / Low P2,Spain,ESP
High P1 / Low P2,Sri Lanka,LKA
High P1 / Low P2,Syrian Arab Republic,SYR
High P1 / Low P2,Tajikistan,TJK
High P1 / Low P2,Tunisia,TUN
High P1 / Low P2,Turkmenistan,TKM
High P1 / Low P2,United Kingdom of Great Britain & Northern Ireland,GBR
High P1 / Low P2,United States of America,USA
High P1 / Low P2,Uzbekistan,UZB
High P1 / Low P2,Venezuela,VEN
Low P1 / High P2,Azerbaijan,AZE
Low P1 / High P2,Bahamas,BHS
Low P1 / High P2,Bhutan,BTN
Low P1 / High P2,Burundi,BDI
Low P1 / High P2,Comoros,COM
Low P1 / High P2,Djibouti,DJI
Low P1 / High P2,Dominica,DMA
Low P1 / High P2,El Salvador,SLV
Low P1 / High P2,Equatorial Guinea,GNQ
Low P1 / High P2,Eswatini,SWZ
Low P1 / High P2,Fiji,FJI
Low P1 / High P2,Gabon,GAB
Low P1 / High P2,Kiribati,KIR
Low P1 / High P2,Lesotho,LSO
Low P1 / High P2,Malawi,MWI
Low P1 / High P2,Marshall Islands,MHL
Low P1 / High P2,Micronesia (Federated States of),FSM
Low P1 / High P2,Nepal,NPL
Low P1 / High P2,Panama,PAN
Low P1 / High P2,Rwanda,RWA
Low P1 / High P2,Saint Kitts and Nevis,KNA
Low P1 / High P2,Saint Vincent and the Grenadines,VCT
Low P1 / High P2,Sao Tome and Principe,STP
Low P1 / High P2,Solomon Islands,SLB
Low P1 / High P2,Timor-Leste,TLS
Low P1 / High P2,Tonga,TON
Low P1 / High P2,Vanuatu,VUT
Low P1 / Low P2,Albania,ALB
Low P1 / Low P2,Andorra,AND
Low P1 / Low P2,Armenia,ARM
Low P1 / Low P2,Austria,AUT
Low P1 / Low P2,Bahrain,BHR
Low P1 / Low P2,Barbados,BRB
Low P1 / Low P2,Belarus,BLR
Low P1 / Low P2,Belgium,BEL
Low P1 / Low P2,Bosnia and Herzegovina,BIH
Low P1 / Low P2,Brunei Darussalam,BRN
Low P1 / Low P2,Bulgaria,BGR
Low P1 / Low P2,Canada,CAN
Low P1 / Low P2,Cape Verde,CPV
Low P1 / Low P2,Chile,CHL
Low P1 / Low P2,Costa Rica,CRI
Low P1 / Low P2,Croatia,HRV
Low P1 / Low P2,Cyprus,CYP
Low P1 / Low P2,Czechia,CZE
Low P1 / Low P2,Denmark,DNK
Low P1 / Low P2,Dominican Republic,DOM
Low P1 / Low P2,Estonia,EST
Low P1 / Low P2,Finland,FIN
Low P1 / Low P2,Georgia,GEO
Low P1 / Low P2,Germany,DEU
Low P1 / Low P2,Greece,GRC
Low P1 / Low P2,Hungary,HUN
Low P1 / Low P2,Iceland,ISL
Low P1 / Low P2,Ireland,IRL
Low P1 / Low P2,Israel,ISR
Low P1 / Low P2,Italy,ITA
Low P1 / Low P2,Jamaica,JAM
Low P1 / Low P2,Jordan,JOR
Low P1 / Low P2,Kyrgyzstan,KGZ
Low P1 / Low P2,Latvia,LVA
Low P1 / Low P2,Lebanon,LBN
Low P1 / Low P2,Lithuania,LTU
Low P1 / Low P2,Luxembourg,LUX
Low P1 / Low P2,Maldives,MDV
Low P1 / Low P2,Malta,MLT
Low P1 / Low P2,Mauritius,MUS
Low P1 / Low P2,Moldova,MDA
Low P1 / Low P2,Mongolia,MNG
Low P1 / Low P2,Montenegro,MNE
Low P1 / Low P2,Nauru,NRU
Low P1 / Low P2,New Zealand,NZL
Low P1 / Low P2,North Macedonia,MKD
Low P1 / Low P2,Norway,NOR
Low P1 / Low P2,Paraguay,PRY
Low P1 / Low P2,Poland,POL
Low P1 / Low P2,Qatar,QAT
Low P1 / Low P2,Republic of Korea,KOR
Low P1 / Low P2,Romania,ROU
Low P1 / Low P2,Saint Lucia,LCA
Low P1 / Low P2,Samoa,WSM
Low P1 / Low P2,Serbia,SRB
Low P1 / Low P2,Seychelles,SYC
Low P1 / Low P2,Singapore,SGP
Low P1 / Low P2,Slovakia,SVK
Low P1 / Low P2,Slovenia,SVN
Low P1 / Low P2,Suriname,SUR
Low P1 / Low P2,Sweden,SWE
Low P1 / Low P2,Switzerland,CHE
Low P1 / Low P2,Trinidad and Tobago,TTO
Low P1 / Low P2,Tuvalu,TUV
Low P1 / Low P2,Ukraine,UKR
Low P1 / Low P2,Uruguay,URY
