ISO3,name,ucode,sum
ATA,Antarctica,ATA_V1,0.0
AIA,Anguilla,AIA_V1,0.0
ESH,Western Sahara,ESH_V1,23344.045669234052
PYF,French Polynesia,PYF_V1,0.0
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,12579.983665176052
BMU,Bermuda,BMU_V1,0.0
GIB,Gibraltar,GIB_V1,0.0
VGB,British Virgin Islands,VGB_V1,0.0
CYM,Cayman Islands,CYM_V1,0.0
FLK,Falkland Islands (Malvinas),FLK_V1,0.0
MSR,Montserrat,MSR_V1,0.0
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,0.0
TKL,Tokelau,TKL_V1,0.0
TCA,Turks and Caicos Islands,TCA_V1,32.464648683851266
ASM,American Samoa (USA),ASM_V1,0.0
GUM,Guam (USA),GUM_V1,0.0
VIR,United States Virgin Islands (USA),VIR_V1,0.0
GRL,Greenland,GRL_V1,0.0
EGY,Bi'r Tawīl,EGY1_V1,0.0
xAP,Arunachal Pradesh,xAP_V1,101982.28190231916
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,0.0
SDN,Hala'ib Triangle,SDN1_V1,0.0
SSD,Ilemi Triangle,SSD1_V1,404.69378796592355
xAB,Abyei,xAB_V1,4219.729379504919
xAC,Aksai Chin,xAC_V1,0.0
xJK,Jammu and Kashmir,xJK_V1,137230.16824286824
xJL,Sovereignty unsettled,xJL_V1,0.0
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,0.0
MAC,Macao,MAC_V1,345.4008503191611
HKG,Hong Kong,HKG_V1,15815.598394683155
TWN,Taiwan,TWN_V1,1306924.687119787
AFG,Afghanistan,AFG_V1,2189717.888042736
AGO,Angola,AGO_V1,3579647.0674398914
ALB,Albania,ALB_V1,24024.37891903657
AND,Andorra,AND_V1,353.8089333411772
ARE,United Arab Emirates,ARE_V1,563730.2307794995
ARG,Argentina,ARG_V1,2250206.8412926937
ARM,Armenia,ARM_V1,374.1696773585407
ATG,Antigua and Barbuda,ATG_V1,29.82431791163981
AUS,Australia,AUS_V1,646005.7652717603
AUT,Austria,AUT_V1,188086.13825480954
AZE,Azerbaijan,AZE_V1,105352.0026493124
BDI,Burundi,BDI_V1,85513.40248611498
BEL,Belgium,BEL_V1,6300.639836902332
BEN,Benin,BEN_V1,641598.1683863766
BFA,Burkina Faso,BFA_V1,1735974.0605417201
BGD,Bangladesh,BGD_V1,2.04892868771435E7
BGR,Bulgaria,BGR_V1,86112.12969071508
BHR,Bahrain,BHR_V1,7389.872286062535
BHS,Bahamas,BHS_V1,59.657595121826716
BIH,Bosnia and Herzegovina,BIH_V1,148075.88272111103
BLR,Belarus,BLR_V1,107879.31352975537
BLZ,Belize,BLZ_V1,28274.233602144166
BOL,Bolivia (Plurinational State of),BOL_V1,1400308.33531786
BRA,Brazil,BRA_V1,5506546.02209765
BRB,Barbados,BRB_V1,6.996875507925071
BRN,Brunei Darussalam,BRN_V1,3938.100390195066
BTN,Bhutan,BTN_V1,23362.16492877106
BWA,Botswana,BWA_V1,108316.82827982676
CAF,Central African Republic,CAF_V1,601257.5647874727
CAN,Canada,CAN_V1,844375.6888632004
CHE,Switzerland,CHE_V1,757221.0860483269
CHL,Chile,CHL_V1,353790.6081769746
CHN,China,CHN_V1,3.912402871689015E7
CIV,Côte d'Ivoire,CIV_V1,997300.651206279
CMR,Cameroon,CMR_V1,369883.36033722403
COD,Democratic Republic of the Congo,COD_V1,9513948.298791572
COG,Congo,COG_V1,526198.1642375904
COL,Colombia,COL_V1,2682326.532655135
COM,Comoros,COM_V1,189.91882497817278
CPV,Cape Verde,CPV_V1,4410.268429250898
CRI,Costa Rica,CRI_V1,96813.94474943909
CUB,Cuba,CUB_V1,203757.96375510006
CYP,Cyprus,CYP_V1,37.741649808362126
CZE,Czechia,CZE_V1,29651.243239873693
DEU,Germany,DEU_V1,1185316.7141100138
DJI,Djibouti,DJI_V1,71602.69126632248
DMA,Dominica,DMA_V1,0.3051609992980957
DNK,Denmark,DNK_V1,0.02490099985152483
DOM,Dominican Republic,DOM_V1,605544.1554006336
DZA,Algeria,DZA_V1,2464388.2873915303
ECU,Ecuador,ECU_V1,162090.33709362766
EGY,Egypt,EGY_V1,9753172.364432445
ERI,Eritrea,ERI_V1,420247.9566182735
ESP,Spain,ESP_V1,968892.8925873643
EST,Estonia,EST_V1,2.2953680018981686
ETH,Ethiopia,ETH_V1,7216053.475953452
FIN,Finland,FIN_V1,10.488599944714224
FJI,Fiji,FJI_V1,14560.6719869275
FRA,France,FRA_V1,1754209.271040064
FSM,Micronesia (Federated States of),FSM_V1,0.0
GAB,Gabon,GAB_V1,137041.58818288846
