ISO3,name,ucode,pop_exposed_total,pop_River_Flood,pop_Coastal_Flood,pop_Tropical_Storm,pop_Drought,pop_Heatwave,pop_Extreme_Heat,pop_Fire,pop_Sand_and_Dust_Storm
ATA,Antarctica,ATA_V1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRL,Greenland,GRL_V1,3123.4519841646857,17.611793011426926,289.0941851780079,0.0,0.0,2955.8936761774535,0.0,0.0,0.0
AFG,Afghanistan,AFG_V1,2.04775696666798E7,1460506.5933537513,0.0,0.0,1.4921135548208058E7,1.3408158666755889E7,8021820.234003322,299765.50471156015,1.0314861503297925E7
AGO,Angola,AGO_V1,1.810317328027863E7,833315.2412395577,9343.965006967188,0.0,4889823.334281135,1.7180002221674636E7,2931195.8730442314,6476372.355367894,1189561.7823888357
ARG,Argentina,ARG_V1,1.1072750597399365E7,1654519.552484689,4247.53585354869,0.0,5338062.458057666,9633627.215235665,2143378.604550411,1932993.3080992512,154002.04167213445
AUS,Australia,AUS_V1,5167736.192680962,306099.8903169447,39766.25129689109,2145493.1062679603,1128417.8650855003,3748553.428469453,560553.8997334547,731341.0949715787,39352.124273469155
BOL,Bolivia (Plurinational State of),BOL_V1,4237363.990785579,169169.16153765123,0.0,0.0,1760407.570100054,4140484.3589107655,1771772.8287312896,670833.1354198722,546109.9951754732
BRA,Brazil,BRA_V1,4.1072278555842295E7,2661124.899211503,20739.43563684107,0.0,1.534426885404769E7,3.7150112034634426E7,1.7253625770361084E7,6636255.498438726,153271.07137997
BWA,Botswana,BWA_V1,943242.9373040833,61568.12432267388,0.0,0.0,86703.04882695003,884933.851948285,865235.5204046171,211029.2135720034,27893.86702837839
CAF,Central African Republic,CAF_V1,2975714.116296065,165119.14570322516,0.0,0.0,2663145.469277763,2975659.0086532803,2847267.8801773423,1885756.3862876752,94.06114068627357
CAN,Canada,CAN_V1,6688354.312509978,422306.57919406635,20743.661433757454,632911.4555057465,2676217.9089791146,6322095.309133675,0.0,242444.78256942934,10489.20161530358
CHL,Chile,CHL_V1,2284869.694650305,156473.76830614716,986.4433795735639,0.0,1054792.1489823596,838673.8752795409,0.0,796362.0949693555,204675.03676765328
CHN,China,CHN_V1,2.665006479032425E8,6.6610177449471764E7,1.3244546874446101E7,1.5623770809783658E8,1.5488114181519923E8,1.792443071731424E8,7.238298793449421E7,1.5531452661217608E7,3117563.129344116
CIV,Côte d'Ivoire,CIV_V1,1.4732512288887862E7,511142.50197793386,1018.6278670076647,0.0,8332218.621131668,1.4636338212563176E7,6650303.9937682515,1696501.4871059752,429.4299213513732
CMR,Cameroon,CMR_V1,1.3500959401495086E7,839512.650227376,2599.991530167355,0.0,8339218.856841558,1.2919733371526143E7,5679358.925712686,1716449.3875999865,37739.98790618655
COD,Democratic Republic of the Congo,COD_V1,5.593134833356706E7,2679383.025581582,1209.809090769174,0.0,1.8345709482488733E7,5.494873170638851E7,1.9449457608613096E7,2.3130909873389E7,68288.39111324382
COG,Congo,COG_V1,2636388.1402706574,438173.7759470144,869.8071334951488,0.0,586569.1926352839,2449082.1957725775,95106.88712588318,356604.2021017194,20903.32171280125
COL,Colombia,COL_V1,1.2882625651235975E7,928306.3334213437,26190.684471258628,2035804.3278949053,4243096.34511479,1.2273556259502742E7,2159230.8721178425,862138.7282335613,37835.39802620828
DEU,Germany,DEU_V1,1.3824547825241119E7,757842.0538221677,183013.59812493835,0.0,4094734.046260837,1.3628847618148077E7,0.0,194132.73405496601,644.6708578801154
DZA,Algeria,DZA_V1,1.606668744344455E7,334341.13188822154,97.44690145478108,709893.8286062194,1.0406076953107154E7,1.4889614321125196E7,1.1431766634590568E7,2466393.110548211,3673730.726681645
EGY,Egypt,EGY_V1,4.2678474159391336E7,2.1898675085874476E7,1103108.8865152206,0.0,2.8477061099773124E7,3.506929220368828E7,3.8931817756460205E7,1225915.3792759983,2384064.41704339
ESP,Spain,ESP_V1,6805862.846025749,244429.8476997823,4624.130125651233,4691217.348057723,3937112.720570206,5993315.727493223,2571219.745780414,692216.0722087927,333663.65657041565
ETH,Ethiopia,ETH_V1,5.984964088591715E7,595908.4005905226,0.0,0.0,3.611147827550716E7,5.9844611424542E7,5565355.637581215,4433128.342238954,4991136.103418991
FIN,Finland,FIN_V1,933884.12478933,62799.82734212176,1987.4680376792335,0.0,23627.255485503414,929698.5458276338,0.0,2744.1044854842585,330.1234094156445
FRA,France,FRA_V1,1.2905973034997797E7,880899.3158666086,96176.01588941789,1390896.865771395,4462559.608371103,1.2520048514376568E7,14155.779217748612,516541.1579528649,4226.093026009567
IDN,Indonesia,IDN_V1,7.215670899253483E7,6623527.939284658,406919.6201743597,2440233.147193616,2.228711680858712E7,6.697048683852777E7,5415589.664180356,5174282.91616763,36517.55268156902
IND,India,IND_V1,4.253851825143025E8,7.490664313409647E7,362234.97045722394,1.5663422160686126E8,3.7236899037742436E8,1.1275204916535375E8,3.9679000475653344E8,1.730641690246323E7,6263065.195006661
IRN,Iran (Islamic Republic of),IRN_V1,2.4219284233220037E7,2603258.0501895645,192721.97031335122,385052.7699519987,6366841.640323145,2.196138750499257E7,1.5102367353463652E7,1363849.3808703567,8026461.586858679
IRQ,Iraq,IRQ_V1,1.97201505124718E7,9840922.216474585,22154.188796528277,0.0,6234549.542209374,1.9718653596960973E7,1.9698816193648648E7,2980689.2778845266,5295658.668350154
ITA,Italy,ITA_V1,8098050.569644546,500886.67212204216,49776.284489935,0.0,6029360.982228954,7645595.976671797,219760.2319608127,573099.2692073885,2942.0575496056313
JPN,Japan,JPN_V1,1.709187619055273E7,3060035.487152046,2148308.2592741414,1.709187619055273E7,8234500.431564419,1.2207748881979814E7,0.0,547551.6576309345,6089.107713048937
KAZ,Kazakhstan,KAZ_V1,6584867.471306765,697820.7127321507,0.0,0.0,3382623.2244465556,5178801.322639009,2256052.7803715984,611284.5165015412,779042.1271332725
KEN,Kenya,KEN_V1,2.443791668700659E7,389184.26341484213,1292.4118794514181,0.0,1.227305407413762E7,2.3510915517983973E7,2518323.5083612497,2264216.8813833115,1938950.6478407357
LBY,Libya,LBY_V1,2366267.9180893116,82277.85861571085,16382.879045569432,0.0,1786505.6106259034,1963668.0103503854,1587364.2097683116,156614.37950032926,943793.7719477727
MAR,Morocco,MAR_V1,1.159123132918529E7,451119.4541646984,3222.6499194106636,1.159123132918529E7,8146272.758814165,1.0961690010501299E7,6331035.492384634,721266.2878501143,2398444.7550239246
MDG,Madagascar,MDG_V1,1.4339500274873551E7,1814704.4412812162,286076.0186240162,1.4339500274873551E7,1585883.9137281668,1.0339007684197454E7,2302970.0258797714,1594230.629685597,132822.09723992847
