ISO3,name,ucode,pop_exposed
ATA,Antarctica,ATA_V1,0.0
GRL,Greenland,GRL_V1,0.0
AFG,Afghanistan,AFG_V1,9143163.265134858
AGO,Angola,AGO_V1,2884412.5605969667
ARG,Argentina,ARG_V1,2425590.5116298855
AUS,Australia,AUS_V1,786853.3808123242
BOL,Bolivia (Plurinational State of),BOL_V1,1593909.334765279
BRA,Brazil,BRA_V1,1.1180844027696336E7
BWA,Botswana,BWA_V1,287539.23770759423
CAF,Central African Republic,CAF_V1,2851434.7121001845
CAN,Canada,CAN_V1,407903.7619814525
CHL,Chile,CHL_V1,83558.0178441322
CHN,China,CHN_V1,1.2450755612957507E8
CIV,Côte d'Ivoire,CIV_V1,5056717.102002861
CMR,Cameroon,CMR_V1,4498916.318299687
COD,Democratic Republic of the Congo,COD_V1,1.832396950510465E7
COG,Congo,COG_V1,288450.94907135225
COL,Colombia,COL_V1,2592735.4092235984
DEU,Germany,DEU_V1,241625.8114648693
DZA,Algeria,DZA_V1,1.0820525786929728E7
EGY,Egypt,EGY_V1,3.085579194834933E7
ESP,Spain,ESP_V1,3905179.220756357
ETH,Ethiopia,ETH_V1,7173008.365289095
FIN,Finland,FIN_V1,3033.2444012374817
FRA,France,FRA_V1,716379.2951315123
IDN,Indonesia,IDN_V1,6287248.974724715
IND,India,IND_V1,2.3499322570135283E8
IRN,Iran (Islamic Republic of),IRN_V1,9623697.14744561
IRQ,Iraq,IRQ_V1,1.5894472096887903E7
ITA,Italy,ITA_V1,864196.0782689456
JPN,Japan,JPN_V1,8165490.374146396
KAZ,Kazakhstan,KAZ_V1,1672414.9718998303
KEN,Kenya,KEN_V1,3229404.1899071136
LBY,Libya,LBY_V1,1575293.8999241535
MAR,Morocco,MAR_V1,1.014987277867809E7
MDG,Madagascar,MDG_V1,4917079.034670192
MEX,Mexico,MEX_V1,1.057299003023203E7
MLI,Mali,MLI_V1,1.0876244526386684E7
MMR,Myanmar,MMR_V1,1.162512845553355E7
MNG,Mongolia,MNG_V1,18486.361342945787
MOZ,Mozambique,MOZ_V1,1.0859540607160073E7
MRT,Mauritania,MRT_V1,1401552.414612811
MYS,Malaysia,MYS_V1,881349.4831519087
NAM,Namibia,NAM_V1,475522.371277197
NER,Niger,NER_V1,7321363.7693364285
NGA,Nigeria,NGA_V1,8.110043194515714E7
NOR,Norway,NOR_V1,5207.180100429661
OMN,Oman,OMN_V1,1032297.8784028091
PAK,Pakistan,PAK_V1,7.596548403668779E7
PER,Peru,PER_V1,1174760.6961683468
PNG,Papua New Guinea,PNG_V1,154659.8059264167
POL,Poland,POL_V1,188428.29323168815
PRY,Paraguay,PRY_V1,555613.0921145919
RUS,Russian Federation,RUS_V1,1503616.1566354944
SAU,Saudi Arabia,SAU_V1,5745188.715374732
SDN,Sudan,SDN_V1,2.0935924984842557E7
SOM,Somalia,SOM_V1,5206506.489725167
SSD,South Sudan,SSD_V1,5246985.55574315
SWE,Sweden,SWE_V1,7703.557585654976
TCD,Chad,TCD_V1,8895579.09759104
THA,Thailand,THA_V1,1.021247368655741E7
TKM,Turkmenistan,TKM_V1,2405853.4557179385
TUR,Republic of Türkiye,TUR_V1,5548355.278189104
TZA,United Republic of Tanzania,TZA_V1,2743040.029919019
UKR,Ukraine,UKR_V1,310032.38339571893
USA,United States of America,USA_V1,1.7977208874678522E7
UZB,Uzbekistan,UZB_V1,7313348.227148539
VEN,Venezuela,VEN_V1,4636816.2298694905
VNM,Viet Nam,VNM_V1,2.2989681945792608E7
YEM,Yemen,YEM_V1,5006473.033320377
ZAF,South Africa,ZAF_V1,2130583.4954508897
ZMB,Zambia,ZMB_V1,1588332.6553490942
ZWE,Zimbabwe,ZWE_V1,2413356.320498252
AIA,Anguilla,AIA_V1,3107.597932745628
ESH,Western Sahara,ESH_V1,106769.50801147531
PYF,French Polynesia,PYF_V1,1019.7362330264029
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,17563.30412456922
BMU,Bermuda,BMU_V1,10747.096570240634
GIB,Gibraltar,GIB_V1,52.13620390611536
VGB,British Virgin Islands,VGB_V1,7298.016267310233
CYM,Cayman Islands,CYM_V1,6006.030127672594
MSR,Montserrat,MSR_V1,677.751950727758
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,0.0
TKL,Tokelau,TKL_V1,787.1627872632685
TCA,Turks and Caicos Islands,TCA_V1,8952.640602840078
ASM,American Samoa (USA),ASM_V1,0.0
GUM,Guam (USA),GUM_V1,3531.9084452199963
VIR,United States Virgin Islands (USA),VIR_V1,17109.020676481756
EGY,Bi'r Tawīl,EGY1_V1,250.06046407669783
xAP,Arunachal Pradesh,xAP_V1,2594.854091639495
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,155.4661986602299
SDN,Hala'ib Triangle,SDN1_V1,4507.835320416612
SSD,Ilemi Triangle,SSD1_V1,2371.0191631498033
xAB,Abyei,xAB_V1,76529.05588913456
xAC,Aksai Chin,xAC_V1,1.8297560289502144
xJK,Jammu and Kashmir,xJK_V1,1233171.7686192142
xJL,Sovereignty unsettled,xJL_V1,17.422276205525677
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,24.3998358182463
MAC,Macao,MAC_V1,10214.463602974833
HKG,Hong Kong,HKG_V1,39366.51708302781
TWN,Taiwan,TWN_V1,655316.9745420022
ALB,Albania,ALB_V1,66909.4156181503
AND,Andorra,AND_V1,0.0
ARE,United Arab Emirates,ARE_V1,1618654.8795234729
ARM,Armenia,ARM_V1,23987.829096339196
ATG,Antigua and Barbuda,ATG_V1,16792.683111848863
AUT,Austria,AUT_V1,66266.20047963395
AZE,Azerbaijan,AZE_V1,582340.8492372669
BDI,Burundi,BDI_V1,119056.73033905207
BEL,Belgium,BEL_V1,102952.35921123151
BEN,Benin,BEN_V1,4372822.420007377
BFA,Burkina Faso,BFA_V1,9799840.19696207
BGD,Bangladesh,BGD_V1,5.1829241423727065E7
BGR,Bulgaria,BGR_V1,73480.70094470892
BHR,Bahrain,BHR_V1,34545.93764935107
BHS,Bahamas,BHS_V1,76660.67823120068
BIH,Bosnia and Herzegovina,BIH_V1,26093.009434268213
BLR,Belarus,BLR_V1,88144.19482860444
BLZ,Belize,BLZ_V1,49904.41269476815
BRB,Barbados,BRB_V1,38.26048742415859
BRN,Brunei Darussalam,BRN_V1,2848.2554239009983
BTN,Bhutan,BTN_V1,128.52754779516198
CHE,Switzerland,CHE_V1,50507.1546059524
COM,Comoros,COM_V1,15820.638677040983
CPV,Cape Verde,CPV_V1,64105.22923909432
CRI,Costa Rica,CRI_V1,88969.17795645485
CUB,Cuba,CUB_V1,1260745.531493609
CYP,Cyprus,CYP_V1,79237.70283550059
CZE,Czechia,CZE_V1,63012.7435078542
DJI,Djibouti,DJI_V1,180061.52992171055
DMA,Dominica,DMA_V1,1411.5111790501899
DNK,Denmark,DNK_V1,20182.20830694151
DOM,Dominican Republic,DOM_V1,1491154.7651999034
ECU,Ecuador,ECU_V1,401257.1368521922
ERI,Eritrea,ERI_V1,938123.2537840288
EST,Estonia,EST_V1,6580.6937586396825
FJI,Fiji,FJI_V1,64001.289100444556
FSM,Micronesia (Federated States of),FSM_V1,33007.547867793655
GAB,Gabon,GAB_V1,28379.3355526693
GBR,United Kingdom of Great Britain & Northern Ireland,GBR_V1,787019.9672628401
GEO,Georgia,GEO_V1,17725.857340781426
GHA,Ghana,GHA_V1,7189300.969060904
GIN,Guinea,GIN_V1,3595703.7305228096
GMB,Gambia,GMB_V1,749622.3896027949
GNB,Guinea-Bissau,GNB_V1,544635.8583342022
GNQ,Equatorial Guinea,GNQ_V1,28033.20828154999
GRC,Greece,GRC_V1,162662.4735309074
GRD,Grenada,GRD_V1,21170.779776770753
GTM,Guatemala,GTM_V1,1247511.7527620257
GUY,Guyana,GUY_V1,125552.53981246366
HND,Honduras,HND_V1,1999648.8865228894
HRV,Croatia,HRV_V1,60828.78212224521
HTI,Haiti,HTI_V1,2665533.3244413855
HUN,Hungary,HUN_V1,89583.47481059733
IRL,Ireland,IRL_V1,12867.489450076855
ISL,Iceland,ISL_V1,9.460465989424847
ISR,Israel,ISR_V1,588000.4121365784
JAM,Jamaica,JAM_V1,318081.49011188495
JOR,Jordan,JOR_V1,1966702.98338162
KGZ,Kyrgyzstan,KGZ_V1,124049.12357360582
KHM,Cambodia,KHM_V1,6134407.938214417
KIR,Kiribati,KIR_V1,11238.666265629086
KNA,Saint Kitts and Nevis,KNA_V1,6924.3433794089715
KOR,Republic of Korea,KOR_V1,332687.78137760854
KWT,Kuwait,KWT_V1,344401.05235904205
LAO,Lao People's Democratic Republic,LAO_V1,2197086.239681334
LBN,Lebanon,LBN_V1,24744.05685055657
LBR,Liberia,LBR_V1,254202.98493851855
LCA,Saint Lucia,LCA_V1,9398.303663491706
LIE,Liechtenstein,LIE_V1,681.4107186177199
LKA,Sri Lanka,LKA_V1,2184048.234859243
LSO,Lesotho,LSO_V1,39135.47465635885
LTU,Lithuania,LTU_V1,8494.50707643819
LUX,Luxembourg,LUX_V1,86.41396032720895
LVA,Latvia,LVA_V1,16520.160296202568
MCO,Monaco,MCO_V1,0.0
MDA,Moldova,MDA_V1,45500.90531772127
MDV,Maldives,MDV_V1,18259.201785117388
MHL,Marshall Islands,MHL_V1,11546.456646905865
MKD,North Macedonia,MKD_V1,49749.198209790935
MLT,Malta,MLT_V1,10694.949983388186
MNE,Montenegro,MNE_V1,5870.909396055466
MUS,Mauritius,MUS_V1,136070.0824625768
MWI,Malawi,MWI_V1,761082.7774778696
NIC,Nicaragua,NIC_V1,1323231.3851860836
NLD,Netherlands,NLD_V1,721215.256143332
NPL,Nepal,NPL_V1,594577.9803200589
NRU,Nauru,NRU_V1,0.0
NZL,New Zealand,NZL_V1,37265.24231791031
PAN,Panama,PAN_V1,9058.268189314096
PHL,Philippines,PHL_V1,1.217994032970112E7
PLW,Palau,PLW_V1,3312.464545656024
PRK,Democratic People's Republic of Korea,PRK_V1,836403.5956963893
PRT,Portugal,PRT_V1,548840.1032870143
PSE,State of Palestine,PSE_V1,70731.12871794049
QAT,Qatar,QAT_V1,162801.0626633924
ROU,Romania,ROU_V1,212773.25568484064
RWA,Rwanda,RWA_V1,114320.44406402376
SEN,Senegal,SEN_V1,2380017.5134046148
SGP,Singapore,SGP_V1,0.0
SLB,Solomon Islands,SLB_V1,121356.23538759754
SLE,Sierra Leone,SLE_V1,2387627.5321407504
SLV,El Salvador,SLV_V1,623462.8430736742
SMR,San Marino,SMR_V1,0.0
SRB,Serbia,SRB_V1,102823.35517355568
STP,Sao Tome and Principe,STP_V1,0.13593790250666002
SUR,Suriname,SUR_V1,82600.83941933696
SVK,Slovakia,SVK_V1,87440.67566589938
SVN,Slovenia,SVN_V1,14860.526607387643
SWZ,Eswatini,SWZ_V1,119934.68962896895
SYC,Seychelles,SYC_V1,40.50169612871592
SYR,Syrian Arab Republic,SYR_V1,6445844.704606328
TGO,Togo,TGO_V1,2136747.593836024
TJK,Tajikistan,TJK_V1,1882515.9325247742
TLS,Timor-Leste,TLS_V1,80946.38594898807
TON,Tonga,TON_V1,10567.616387358887
TTO,Trinidad and Tobago,TTO_V1,223071.45703021524
TUN,Tunisia,TUN_V1,1922573.123294873
TUV,Tuvalu,TUV_V1,717.3127125457816
UGA,Uganda,UGA_V1,3287667.6404167097
URY,Uruguay,URY_V1,77239.6460068124
VAT,Holy See,VAT_V1,0.0
VCT,Saint Vincent and the Grenadines,VCT_V1,27556.62003608858
VUT,Vanuatu,VUT_V1,25786.725693736673
WSM,Samoa,WSM_V1,30136.026056159055
AUS,Ashmore and Cartier Islands,AUS1_V1,0.0
CXR,Christmas Island,CXR_V1,0.0
