ISO3,child_population,name
ATA,0.0,Antarctica
AIA,1883.3030377228943,Anguilla
ESH,115282.64992516028,Western Sahara
PYF,34928.5994322848,French Polynesia
PYF,0.0,Clipperton Island
NCL,58237.51865801424,New Caledonia
BMU,4885.84078911835,Bermuda
GIB,1790.594747686136,Gibraltar
VGB,3426.9492780040023,British Virgin Islands
CYM,6994.987936756891,Cayman Islands
FLK,419.3631229721355,Falkland Islands (Malvinas)
MSR,645.8844100062682,Montserrat
PCN,0.0,Pitcairn
SHN,0.0,Saint Helena (Ascencion)
SHN,0.0,Saint Helena (Gough)
SHN,0.0,Saint Helena (Tristan da Cunha)
SHN,434.7539790231769,Saint Helena
TKL,194.37666485488336,Tokelau
TCA,5775.193843921055,Turks and Caicos Islands
ASM,7104.728235602804,American Samoa (USA)
GUM,41021.26893987531,Guam (USA)
VIR,11991.209224941464,United States Virgin Islands (USA)
GRL,4024.6292223459477,Greenland
EGY,210.99318804591894,Bi'r Tawīl
xAP,283000.7836152761,Arunachal Pradesh
xSK,0.0,Senkaku Islands
xRI,2469.241884857833,Kuril Islands
SDN,3694.5578559981263,Hala'ib Triangle
SSD,1945.5029952974041,Ilemi Triangle
xAB,70817.26114221834,Abyei
xAC,2922.4746885001223,Aksai Chin
xJK,4069715.438665884,Jammu and Kashmir
xJL,20359.19969784152,Sovereignty unsettled
xPI,0.0,Paracel Islands
xSI,0.0,Spratly Islands
xSR,0.0,Scarborough Reef
xxx,621.1898802661063,China/India
MAC,20124.32236197994,Macao
HKG,531265.9682636735,Hong Kong
TWN,2810665.406953408,Taiwan
AFG,1.8036446367113575E7,Afghanistan
AGO,1.6342377931220299E7,Angola
ALB,474144.6518245134,Albania
AND,10667.175204150562,Andorra
ARE,1706648.6305866537,United Arab Emirates
ARG,1.0306579959423002E7,Argentina
ARM,595743.8143491516,Armenia
ATG,17211.073215451586,Antigua and Barbuda
AUS,4744990.817844254,Australia
AUT,1344311.0116206065,Austria
AZE,2360790.758688645,Azerbaijan
BDI,6234566.459238975,Burundi
BEL,1973758.3369709884,Belgium
BEN,5949527.696252644,Benin
BFA,9858777.269773347,Burkina Faso
BGD,5.0190462840642795E7,Bangladesh
BGR,988452.576914621,Bulgaria
BHR,239143.10265496108,Bahrain
BHS,64296.54196080374,Bahamas
BIH,444458.1962983591,Bosnia and Herzegovina
BLR,1544230.3335687893,Belarus
BLZ,116559.69305759163,Belize
BOL,3780661.91327931,Bolivia (Plurinational State of)
BRA,4.319762340348432E7,Brazil
BRB,39905.49657483982,Barbados
BRN,93951.07935534188,Brunei Darussalam
BTN,185794.2784180265,Bhutan
BWA,811418.2806709704,Botswana
CAF,2561020.2498044777,Central African Republic
CAN,6162047.568620568,Canada
CHE,1388501.5953362894,Switzerland
CHL,3470177.458335381,Chile
CHN,2.3991592918701908E8,China
CIV,1.2825931674965996E7,Côte d'Ivoire
CMR,1.1806255799912054E7,Cameroon
COD,4.851383931462828E7,Democratic Republic of the Congo
COG,2598396.2963431184,Congo
COL,1.1224705275042467E7,Colombia
COM,275551.2225303752,Comoros
CPV,125354.18334038656,Cape Verde
CRI,1018031.1660678635,Costa Rica
CUB,1686746.908442222,Cuba
CYP,212265.57638685533,Cyprus
CZE,1750979.4131460723,Czechia
DEU,1.2076105953809531E7,Germany
DJI,345826.967905161,Djibouti
DMA,10994.304359839341,Dominica
DNK,912034.5994991424,Denmark
DOM,3033302.057987486,Dominican Republic
DZA,1.4084109066065328E7,Algeria
ECU,4611574.694066534,Ecuador
EGY,3.751178840131174E7,Egypt
ERI,1381609.1665832298,Eritrea
ESP,6122707.575637567,Spain
EST,222531.42512863356,Estonia
ETH,5.153460745594983E7,Ethiopia
FIN,830283.2008763923,Finland
FJI,233816.0543508067,Fiji
FRA,1.1466719767606331E7,France
FSM,0.0,Micronesia (Federated States of)
GAB,860334.5802977174,Gabon
GBR,1.1935106152419718E7,United Kingdom of Great Britain & Northern Ireland
GEO,780438.9344238483,Georgia
GHA,1.2283503589192277E7,Ghana
GIN,5926899.825112585,Guinea
GMB,1051434.2855679179,Gambia
GNB,797927.5393637688,Guinea-Bissau
GNQ,641683.151472911,Equatorial Guinea
GRC,1318823.1948096794,Greece
GRD,16084.67198187837,Grenada
GTM,5969032.977135795,Guatemala
GUY,227578.25738738332,Guyana
HND,3363520.656180671,Honduras
HRV,550733.2477275288,Croatia
HTI,3643357.813051495,Haiti
HUN,1463213.8509171177,Hungary
IDN,7.028748883360656E7,Indonesia
IND,3.6963730084977466E8,India
IRL,984160.0521068203,Ireland
