iso3,adm0_name,river_flood_gmean,coastal_flood_gmean,storm_gmean,drought_gmean,heatwave_gmean,extreme_heat_gmean,fire_gmean,sand_dust_gmean,air_pollution_gmean,malaria_gmean
ALB,Albania,3.8275548874078034,5.170349596690541,1.0,2.9127732811129556,5.36288880262043,1.9591385161805597,2.977233609124229,1.6350298807874644,8.136307917283652,1.0
AFG,Afghanistan,4.032200019771769,1.0,1.0,6.436549779409404,6.9242446195315095,6.322384570795727,2.7193187896181743,8.719157292827045,9.47864226996827,6.4146449296750605
AND,Andorra,1.0,1.0,1.0,3.3118026050490883,3.732753433229753,1.0,1.0,1.0,6.431805266682701,1.0
AGO,Angola,3.238935220371525,2.263277486616227,1.0,8.114256959926106,4.660324225247531,4.288994036595649,7.3913702123611325,3.8915330330964055,9.439302841123883,3.1300738513477144
ARM,Armenia,2.417734922357239,1.0,1.0,4.838595177106884,4.271290354267766,1.9056199107723064,1.9144049465056845,2.162994598276608,8.133400284949062,1.0
ARE,United Arab Emirates,4.137454647333147,6.460019149704396,1.0,1.3429153232709332,4.416269117272628,8.56254191971187,2.8123668093362637,10.0,8.41643109404378,1.0
ATG,Antigua and Barbuda,1.0,1.6616554453276307,7.457290274004643,1.8544261337625696,1.8846147524107162,1.0,1.0,1.0,6.45330579847168,1.0
ARG,Argentina,5.12737048979581,2.1148546660285765,1.0,7.485934060662844,5.10212155284041,4.219862065386533,5.45573671995034,2.7920146563961215,9.133461292768745,1.0919241150190555
BEL,Belgium,3.06891297534424,4.868018804091394,1.0,7.722223566410815,4.884573944412465,1.0,3.075980991578041,1.4495116601835356,8.686711736322499,1.0
BDI,Burundi,2.286145200489723,1.0,1.0,3.75958054150612,4.789658923888723,1.0,3.7547145271580233,1.9662080785590836,9.10364665014163,3.0699108464093587
AUT,Austria,4.110406054842539,1.0,1.0,6.965615336713723,7.907719791475862,1.0,2.1493929171988264,1.0,8.539699420025086,1.0
AZE,Azerbaijan,3.605986074865272,1.0,1.0,7.846960511398277,6.534875829905813,5.123846163265865,2.889609093645012,3.363088109525111,8.283208298629875,1.0
BFA,Burkina Faso,2.371172159421511,1.0,1.0,3.786426883820016,4.842375851730025,9.638086396829324,4.124042879034123,3.87336328471779,9.268722544615398,3.1025297529482927
BEN,Benin,3.173244052290456,2.001154958915018,1.0,7.769646258856022,4.739964951020192,8.121941476648624,5.24083241644387,2.074226943232442,8.987889975614507,3.071876095048851
BHR,Bahrain,1.0,3.0672546116481776,1.0,4.288125070061019,2.0149164309806897,8.25876630266848,1.0,3.301661186534841,4.995810403260974,1.0
BGD,Bangladesh,10.0,8.263246900473279,9.698274324900984,10.0,2.4440760212857464,9.089848366063404,2.9417248938199467,2.71905394921108,9.72863737045469,3.649087787618253
BGR,Bulgaria,2.6160140363030937,1.593809978203341,1.0,6.924876757326846,7.249047378710873,1.0,2.9297561201191464,1.0782138879979994,8.187762204111515,1.0
BIH,Bosnia and Herzegovina,2.846799224326827,1.0,1.0,6.082994274979651,8.031316934441179,1.0,2.522808277496423,1.0,8.106541041902664,1.0
BLR,Belarus,3.093496980385063,1.0,1.0,6.198345822446897,9.98415041960385,1.0,2.664113718295713,1.6010265409733515,8.590536169820712,1.0
BHS,Bahamas,1.0,3.8293506335213143,8.018808733734128,2.002527811010026,1.993118833744244,1.0,1.9453526159526695,1.601443177793307,5.527162123730506,1.0
BLZ,Belize,3.9709784021804895,2.849568610068328,8.16693355004458,1.4174494128947164,3.829546432549103,3.715656265655052,3.4070372702141904,1.2521862650546487,6.74248164307254,1.7490534494995253
BRA,Brazil,3.8362722856608915,2.4065720156572814,1.0,6.932737501291585,6.328584625979614,5.578048665956489,5.432391903031899,2.734155524856938,9.517323414145775,3.443083613180919
BOL,Bolivia (Plurinational State of),3.0821309432305393,1.0,1.0,6.291081073825159,5.930299567968153,4.334610031668021,5.075191380519346,4.519153544044934,8.921297928989985,3.8746903944663176
BRB,Barbados,1.0,1.0,7.869857096737237,1.0,1.9381501338344636,1.0,1.0,1.0,6.437266407055089,1.0
BRN,Brunei Darussalam,3.942657080633552,1.420590012434934,1.0,1.3734996384691311,3.9324185399577507,1.0,2.5632960635120408,1.0,6.205866475518912,1.2335134874719318
CAF,Central African Republic,3.3351706742165987,1.0,1.0,6.467204620969978,4.520248063113253,8.880473583766106,4.97942857656426,1.0,8.777543586849784,3.5331203041993007
BWA,Botswana,3.341450266588007,1.0,1.0,2.8970381408970436,4.243000444651507,8.36966133246255,5.132957341909287,2.6814274129176896,8.342793902856666,2.5284033496043072
BTN,Bhutan,2.825342529706477,1.0,1.0,2.7236518034548145,1.237574417821216,1.0,4.38131873925054,1.0,7.733546833059478,2.8512072729163815
AUS,Australia,3.4912835835012075,2.466215263929004,6.07052682412437,5.5950950292238355,3.8336228373603767,3.5451825322626895,4.933921116947829,2.508906509357687,7.569672703229957,1.0
CHE,Switzerland,3.1278934562418073,1.0,1.0,8.379165621398325,8.70790114537952,1.0,2.125811276604461,1.2191314072605637,8.437637009633832,1.0
CHL,Chile,3.0749008933553768,1.7584615877907117,1.0,6.772996259714738,3.279880835962371,1.0,5.837914208079912,3.362602119225473,8.866720126440505,1.0
CHN,China,7.393876775624619,7.440136147535212,7.972578663048918,6.638359329175984,7.119726062729316,5.488984303967547,4.050376773771068,3.219161263994378,9.871231982798243,2.147924351352036
CIV,Côte d'Ivoire,3.2163868761141154,1.7822120559643855,1.0,7.933903894040285,4.812590598444758,6.533545211074113,4.066263906480626,1.5040812229483784,9.312181909365643,3.1183608662167224
CMR,Cameroon,3.82274080366414,2.175324691370297,1.0,9.284174301597385,4.210693462933527,6.268909814468384,4.222819799877937,2.477598089546502,9.329946447267444,3.1131077995132967
COG,Congo,4.680672045899892,1.6811269806463796,1.0,6.563062037362991,4.239367974690046,2.635906277520828,3.74631336555214,2.2332981186479435,8.645103766770214,3.018716087008867
COM,Comoros,1.0,1.4042424128818078,8.530926018718377,1.0,2.860463087973697,1.0,1.0,1.0,5.3681158704454,2.875219329409952
COD,Democratic Republic of the Congo,3.7386821173324734,1.776650491829722,1.0,5.048748461467348,4.991750788299338,4.936974317899913,7.481815713701041,2.6127759880006476,9.644930855715826,3.1906274608508873
CPV,Cape Verde,1.0,1.0,8.24342890566829,1.0,2.46299262395691,1.0,1.6051224268839086,6.608200044463443,5.286035766224137,2.1965175454641193
COL,Colombia,3.9763279872767487,2.4223389436499705,4.359152518685598,4.6878819448320055,6.159358070526288,3.886119452321106,3.6529916635391078,2.490257235857489,9.30900400930625,4.760298583599585
CYP,Cyprus,1.0,1.4501508659097653,1.0,1.9260508554318516,3.8660436928252073,5.600976491083381,2.4472574417212822,3.1773995551709353,6.734577568065309,1.0
CRI,Costa Rica,2.2917902118220113,1.8927457454465677,6.284841760877369,3.1210564431370607,4.995426349836095,2.2673433201109487,2.814763534212911,1.0,8.35248860862767,1.0
CZE,Czechia,2.70654197074251,1.0,1.0,6.242792517686778,8.166074566600535,1.0,1.9536363759028854,1.2316713797625531,8.639036285520506,1.0
CUB,Cuba,2.0675965226115514,2.613526212354519,9.103750007448701,5.9969199193968725,2.332994469547259,3.549811274829743,4.290408537249455,2.0075632599078377,8.555933105327574,1.0
DJI,Djibouti,2.978709865345466,1.791466605430405,1.0,1.0,3.3566601009369545,5.76054665593525,1.5679205349039367,8.320558011252963,5.105454201078776,5.372937475344849
DEU,Germany,3.627040933941953,3.185666604286043,1.0,6.499872073212094,8.424232676876521,1.0,2.637947406156067,1.6187125121944106,9.330374252785893,1.0
DMA,Dominica,1.0,1.0,7.3154233019394574,1.4199275576354713,1.8254768526676728,1.0,1.0,1.0,5.685030297020886,1.0
DNK,Denmark,1.6010447197208402,3.964548210223982,1.0,6.61113369012967,5.827268500640806,1.0,2.1573998136814914,1.838087277077402,7.706690525548873,1.0
DOM,Dominican Republic,2.5971096684105683,2.274270559968362,9.289629555242287,3.0781716170861215,2.0934520937608863,2.6392960021773444,2.7159126907027877,1.674337183948498,8.608051702509615,1.573804613772541
ECU,Ecuador,5.2513522227613825,2.2217355610985274,1.0,7.006649393534569,4.364421510956579,1.0,3.878898600112668,2.530501468200823,8.962895419016865,2.290785336438952
DZA,Algeria,2.8135644935964184,1.158540140837553,3.146970829360365,5.685946100725514,8.007000399923871,8.22743622124667,4.953090851772575,6.08972182000066,9.302732827500696,1.0
EGY,Egypt,9.857969247470619,4.719174318143545,1.0,4.054557950055203,4.878076365378,9.592605641937084,3.1165308573232875,3.9015394257206797,9.685386848873241,1.0
ERI,Eritrea,2.0905842962890233,1.854303331281777,1.0,4.037529723446943,4.4326318013542805,6.231243062273746,2.3477522500713155,8.470505988764746,8.063400065408736,8.972099868578821
ESP,Spain,3.079835988934696,2.1652568854100043,7.775879257490796,4.538871563337076,7.435009506060044,5.446626165046544,4.156030965945776,3.4285818414713276,8.573459788045744,1.0
