iso3,health,nutrition,wash,education,protection,poverty,survival
VGB,0.0,,0.1966420766134404,,,10.0,1.1452564985895795
TCA,0.012711314121803033,0.2741803278688525,0.5205286130519369,0.05232895800321821,2.186740890688259,,0.376779208093627
EGY,0.22130518923810308,3.4529274004683845,0.5398078261785313,3.0852835750649104,1.3728070175438596,4.373352460861206,1.5207885705710484
SDN,6.596671171498203,5.815573770491803,7.693235255578446,4.451694324423795,4.4423076923076925,9.19,4.424846144210242
SSD,8.140058435791284,5.471311475409836,10.0,9.56556676967114,6.776315789473684,8.23,9.330958909180508
AFG,5.278988388559072,6.875585480093677,4.618495954029795,8.268684593273548,4.234311740890688,9.96,5.093694136419075
AGO,7.284289025017262,6.408548009367681,6.881967937654524,4.63969421418836,4.262651821862348,8.063648805618286,5.826121953235925
ALB,0.049311132369063704,2.698887587822014,0.44316959458150756,0.39299504104264943,1.5526315789473684,4.026323248147964,0.7401950532518385
AND,0.0,,0.0,,,8.78,0.09516486456918798
ARE,0.13149635298416987,,0.053657767440808954,2.477996215453556,,9.98,0.32837387883599667
ARG,2.8300309646839086,1.7008196721311477,0.3843375133911411,2.7734941883348356,1.1479419703103912,1.2200000000000006,0.7554223620966353
ARM,0.3051707814538283,1.2576112412177987,0.4445257025589064,0.9736123773019585,0.7461201079622132,3.4746540820598604,0.7838819118608387
ATG,0.06574817649208493,,0.2872325207965476,,,,0.7263614186891529
AUS,0.26299270596833974,0.45081967213114754,0.0024792242895042586,0.6556778893988561,,0.0,0.20732649907880765
AUT,1.1294391973383853,,0.0016317538413076443,1.2942438935613565,,0.0,0.15563456609300935
AZE,1.109451838156166,3.418325526932084,0.6758773948352155,3.7356366628617335,1.4473684210526316,8.97,1.6275816612424316
BDI,4.113524718019303,6.107142857142858,7.646801672769251,7.527407456740981,5.083333333333334,5.306039204597473,4.429746606859445
BEL,0.0,0.24590163934426232,0.030338518426833754,0.5976500403597504,0.013157894736842105,0.0,0.19193153710274322
BEN,4.596778238579478,5.677517564402811,8.1944216696189,7.132034527390133,4.232287449392713,8.5529221534729,7.206301969560711
BFA,2.858910214035979,4.439227166276346,9.071937640269265,8.715555645481023,8.375,9.13,7.2291325228760694
BGD,1.1270471330731135,4.089110070257611,2.9707994438023575,3.3641570220580106,4.125168690958165,4.10071828365326,2.741731609137203
BGR,0.6103415629076561,0.901639344262295,0.9001769389180224,1.6420710930550124,,3.9000000000000004,0.4323823715045593
BHR,0.0,0.778688524590164,0.004373910897422778,2.9375011120140444,,9.24,0.7172459780572317
BHS,0.7232299414129336,,0.39051173352349916,,,9.87,1.049838684608131
BIH,1.9342989470808183,1.3934426229508197,0.49607120215035605,0.17882636235822066,0.4605263157894737,8.54,0.42569206233653634
BLR,0.0,0.24590163934426235,0.09331739516748967,0.05460573621265615,0.706646423751687,,0.08478967593467814
BLZ,1.4905686756252194,1.535128805620609,0.9080109373516005,4.457365483827008,2.4988191632928474,5.688346362113952,1.0272313334837884
BOL,3.3029129811798055,1.3214871194379392,4.251633189980374,1.1609018624569343,2.9114372469635628,3.7199999999999998,1.9766877211466027
BRA,0.6698870812401101,0.9861826697892272,0.5715960431345919,2.1344102772035463,1.8262483130904184,3.41,1.166310304344576
BRB,1.358382136959112,0.9836065573770493,0.5817587881776037,0.11478434116006966,3.8421052631578947,8.69,0.8022309565169977
BRN,0.0,1.9877049180327873,0.038843444482701356,,,,0.7461052623320406
BTN,2.2926371515933033,5.974297423887588,1.1666479284305253,4.6201823505998885,3.3947368421052633,9.6,1.9866201446797784
BWA,1.2183867639277688,4.180327868852459,1.7572324487661124,2.200338923727874,,9.77,3.4393012865221335
CAF,10.0,4.869203747072599,9.742292351864785,6.955537415015635,7.333670715249664,9.51,8.581702146286679
CAN,0.6822923975593717,,0.14706533972174152,0.14077339844609255,,0.0,0.3396243935625492
CHE,0.26919536412797046,,0.005912261153307446,,,0.0,0.23170917577210695
CHL,0.13149635298416987,0.08196721311475413,2.3992765544917445e-07,1.0248998781234853,1.2564102564102564,4.25,0.5338288628446702
CHN,0.06574817649208493,1.0769320843091335,0.3932768255452834,0.8974933839696699,0.3684210526315789,9.71,0.46097425857370705
CIV,3.296576430966693,4.153864168618267,6.849518931101686,7.218165526692487,3.4537786774628882,7.249601030349732,5.921031769552181
CMR,4.242100960425187,4.318911007025761,6.235280218462843,5.437221968592575,6.819500674763832,6.1122080421447755,6.134945551005681
COD,5.841987916398209,6.47043325526932,9.819211426014572,5.857315446904072,3.670883940620783,6.989528656005859,6.719528511991918
COG,3.7338549512757284,3.646194379391101,6.4609403661213305,4.553354189472078,3.4755398110661266,3.4507315158843994,3.593501803565073
COL,0.8798678463315421,1.4460187353629979,1.4433772850113955,2.6408066740078495,2.3215249662618085,6.609999999999999,0.9550505177618831
COM,2.6526496359089826,4.196135831381733,6.719541829442901,5.60505061960448,2.4003036437246967,6.407541990280151,3.639513770413918
CPV,0.6315313675160698,1.6803278688524594,1.8308258481929172,,1.105263157894737,5.77,0.9304805682251939
CRI,0.08434451059373349,0.9646955503512882,0.5921054202923677,2.1925806013597766,1.483974358974359,2.79,0.8474026113550471
CUB,0.0,0.9514051522248244,0.8453820807240492,0.35606852297002256,3.8684210526315788,9.98,0.6126061188739494
CYP,0.19724452947625482,,0.05486306242574482,0.7839252488415872,,0.0,0.20152977563295962
CZE,0.4068943752717711,0.26639344262295084,0.06075616398350789,1.211801062908054,,8.370000000000001,0.0962847977036446
DEU,0.46023723544459455,0.18442622950819676,0.045692237982672905,1.3451605588782525,,0.0,0.2104153854093511
DJI,4.190809633595939,3.586065573770492,3.9063141407557866,,0.8552631578947368,9.65,4.482767972012833
DMA,2.761423412667565,,1.5344310225222588,,,9.93,3.223570028002396
DNK,0.06574817649208493,,0.023783327422697835,0.23103520030786323,0.09210526315789473,0.0,0.18497451700152512
DOM,0.5277107874529343,0.8651053864168619,2.5298867603361765,3.5991667089362287,2.4313427800269904,2.2895278000831603,2.7592297250775975
DZA,0.426217401495607,1.9439110070257613,1.4102962596535993,3.6260195020287536,0.4423076923076923,2.2188141441345213,1.900170687830546
ECU,2.7064974611896555,3.924297423887588,1.0101246414743743,2.8366117400244533,2.9210526315789473,7.08,1.0152214204284389
ERI,4.302897021113998,10.0,9.143749134097831,,5.355263157894737,8.98,3.0154025559715114
ESP,0.40069171711214036,,0.010935794384357095,0.46497940873109833,,4.47,0.1524233907306968
EST,1.0296412544986873,0.0,0.055493309306944315,,,0.0,0.05911139646617256
ETH,5.56673271045331,7.608782201405152,9.574050259259721,7.52190862039504,5.302631578947368,9.158613109588623,3.9499838627903254
FIN,0.5321880700963102,,0.032598332984789126,0.19259811690063622,0.013157894736842105,0.0,0.0792632598423588
FJI,0.25422628243606166,0.9687939110070256,1.0173631377200778,,2.275978407557355,8.92,2.538196010160316
FRA,0.13149635298416987,,0.07995295423003944,0.39325079042714506,,0.0,0.2682220439657023
FSM,1.8720697453179633,,1.3734035193079892,,,9.32,1.9049520057573224
GAB,3.285228277079556,2.7,4.029305046337242,3.5345703926156897,2.2596153846153846,4.186906242370606,2.8484355522755376
GBR,0.46643989360422533,,0.05286167303616795,0.04259383315441651,0.0,0.0,0.27707410319539627
GEO,0.60103757566821,0.8831381733021078,1.1194226553455118,0.45592006721732425,0.9913967611336033,6.98,0.6918009702297884
GHA,1.0699892908473931,3.5139929742388762,5.598566892355997,3.2669043713632875,3.5079284750337383,6.346406202316285,3.1897162801915977
GIN,7.683751895219013,7.349941451990632,7.193503660499532,8.206884412822449,6.033569500674764,7.346261444091797,8.752151319578909
GMB,3.074438400452017,4.499063231850117,6.054921861270453,5.348782422870679,3.558198380566801,5.435648984909058,3.836790708378905
GNB,5.608651515936335,7.715163934426229,7.891665754999616,6.388890811499855,3.7677125506072877,4.35059118270874,6.287355159342548
GNQ,4.342137752719845,3.053278688524591,6.052242451352008,,3.8815789473684212,9.86,6.460674646706989
GRC,0.0,0.2049180327868853,0.05901489939033083,0.5067553186033328,,5.11,0.21567032668448355
GRD,1.466435198836838,,0.8603256937956757,,,,1.5586050975659802
GTM,2.122770839280561,4.684016393442623,2.3473181929111395,6.218029276079116,3.8815789473684212,7.146860704421997,1.802728437960967
GUY,0.2569525696471727,2.5843091334894615,1.1907573316632196,1.1837596190344446,2.8173076923076925,1.3735196590423584,2.1425354948004935
HND,2.9473837382720416,2.0986533957845435,1.3982802135589165,5.645226106480732,4.0701754385964914,5.903354110717773,1.2655173910512905
HRV,0.32874088246042465,,0.33371068643511276,0.09629697020137858,,5.43,0.28178418537142313
HTI,7.573752735948032,3.8535714285714286,7.097575627046221,3.8509901206033335,1.9605263157894737,7.350883884429932,4.918451333230869
HUN,0.0,,0.11935414452268443,0.6656316697639895,,0.0,0.21418004078232708
IDN,1.943420845561958,3.7318501170960188,1.5635624079923571,2.3855589157011847,2.1447368421052633,5.64,1.7407740182281461
IND,1.0353018480052827,6.310714285714285,2.092629692823715,2.9269474059734817,3.0657894736842106,5.982794551849365,2.686354296849973
IRL,0.7356352577321951,,0.96282602125737,0.0,,0.0,0.22351508890745175
IRN,0.0,0.7172131147540984,0.75806478787232,4.167035275546698,2.1973684210526314,1.3100000000000005,0.9976623424580165
IRQ,0.5026547701190875,1.5985362997658084,0.24366639506399773,4.905632376020284,2.2842442645074224,5.098009414672852,1.930016600384922
ISL,0.6103415629076561,,0.0720798899516581,0.6837655079381784,,2.5300000000000002,0.10846191684550774
ISR,0.0,,0.004457075841011196,1.2326282781589661,,0.0,0.18289078719256768
ITA,0.19724452947625482,,0.013584039873590609,0.2699809914691095,,0.0,0.12362247822025299
JAM,0.12651676589059974,1.0860655737704918,2.246277956600693,0.17486803125230768,0.7633265856950068,6.49,1.5744517448682203
JOR,0.171754597680035,1.1747072599531616,0.25300749191986505,2.8056474942942824,0.7279014844804319,8.64,1.0760647201513933
JPN,0.0,0.778688524590164,0.0743866642808547,0.06434194040682704,,1.4600000000000009,0.09518955426734253
KAZ,0.02683688973436947,1.4290983606557377,0.3695303222713536,0.27090973659682266,0.9210526315789473,4.56,0.7221718860845029
KEN,1.519424760626576,2.5051522248243563,6.829504314516613,4.1432537940430425,1.644736842105263,7.567434158325195,3.4748354869130624
KGZ,0.9790089559416225,2.110948477751757,0.5923146100094038,2.2591184488680702,3.5794534412955468,4.748268139362335,1.3821444834693173
KHM,1.2475653409614524,3.1047423887587824,2.731883922096977,6.498902557969849,2.6648110661268554,8.952791595458985,1.9175307194280495
