iso3,threshold,score,rank
AFG,0.1,5.887915324926768,18.0
AGO,0.1,6.067523143926221,13.0
ALB,0.1,1.7485648053391998,142.0
AND,0.1,1.5733393800745914,148.0
ARE,0.1,3.5466362961691926,72.0
ARG,0.1,2.71481950830756,99.0
ARM,0.1,1.6361024258408776,146.0
ATG,0.1,0.37326254372609785,189.0
AUS,0.1,1.1797425843500347,154.0
AUT,0.1,0.9388712635217858,163.0
AZE,0.1,3.365188031764474,79.0
BDI,0.1,3.965882451941944,61.0
BEL,0.1,0.7369983409715936,175.0
BEN,0.1,5.802665853811902,19.0
BFA,0.1,5.305824429071388,31.0
BGD,0.1,5.64075037632106,22.0
BGR,0.1,1.7880145482408165,137.0
BHR,0.1,2.297924527623436,109.0
BHS,0.1,2.4385270338786755,104.0
BIH,0.1,2.002205391991449,120.0
BLR,0.1,0.5630565642233171,183.0
BLZ,0.1,2.8236229857225057,94.0
BOL,0.1,3.7015558364242445,68.0
BRA,0.1,3.503131181215151,74.0
BRB,0.1,1.4191669977502688,152.0
BRN,0.1,0.8844211928497615,168.0
BTN,0.1,2.3441625562917565,107.0
BWA,0.1,3.6538092933621864,69.0
CAF,0.1,5.949218416832423,16.0
CAN,0.1,0.8878938628342326,167.0
CHE,0.1,0.33801001117800256,191.0
CHL,0.1,1.8023286934757479,136.0
CHN,0.1,5.267962988335518,32.0
CIV,0.1,5.132647144193606,34.0
CMR,0.1,5.397995005420832,29.0
COD,0.1,6.239224258267312,11.0
COG,0.1,4.125792133898989,57.0
COL,0.1,4.286401014560442,53.0
COM,0.1,2.4977441814940224,103.0
CPV,0.1,2.039533642014305,118.0
CRI,0.1,1.9147983693605566,128.0
CUB,0.1,3.193513453247702,85.0
CYP,0.1,0.6986816611096086,180.0
CZE,0.1,1.9389653658212642,125.0
DEU,0.1,1.0826819111581634,157.0
DJI,0.1,3.9284051010353904,62.0
DMA,0.1,1.8698242086109975,133.0
DNK,0.1,0.4744537254105417,186.0
DOM,0.1,2.7759215796164947,95.0
DZA,0.1,2.993692260424632,90.0
ECU,0.1,3.4417274281749783,77.0
EGY,0.1,4.4080393012288335,50.0
ERI,0.1,5.403035693404469,28.0
ESP,0.1,2.423684767223656,105.0
EST,0.1,0.9361981430862286,164.0
ETH,0.1,6.350764616914766,9.0
FIN,0.1,0.5682451119827905,182.0
FJI,0.1,2.2913313992297586,110.0
FRA,0.1,0.7274711855044851,177.0
FSM,0.1,1.4601793519115271,151.0
GAB,0.1,3.501021725155246,75.0
GBR,0.1,0.966123537333008,162.0
GEO,0.1,2.154584105317717,116.0
