rfl_rel,cfl_rel,ts_rel,agdr_rel,metdr_spei_rel,metdr_spi_rel,hw_fre_rel,hw_dur_rel,hw_sev_rel,ext_rel,fr_fre_rel,fr_int_rel,sds_rel,iso3,SIDS
-1.4478557,0.5047809,-0.14267477,-1.2099167,0.4497374,-0.5207152,-1.1791716,-0.92164165,1.3913237,-18.909418,-3.201286,-3.5193572,-0.59058577,AND,False
0.44654736,-0.10934285,-0.08175602,-1.861448,0.006863538,-0.0934228,-0.14531934,0.5039643,-0.6822878,-5.8265133,8.582512,0.48550406,0.2759714,AGO,False
1.5575056,0.4520146,-0.14481144,11.508586,0.37866408,1.2289678,0.2304711,0.30872005,3.2149901,21.374918,-1.8937247,0.49051708,-0.89389306,AFG,False
2.53317,2.3076775,-0.0453124,-3.3011603,0.24382088,-1.28804,2.8369396,0.35061115,2.9299178,40.467045,-2.1034565,2.3401859,-1.9467438,ARE,False
0.6147539,0.42439416,-0.23407778,1.4263597,0.48653418,1.7671819,0.92415595,1.1968514,0.5917135,-4.926339,-0.9902544,0.86937326,-0.18191005,ARM,False
1.1433578,0.19502346,-0.34287038,9.623219,-1.7625476,0.19940563,0.4998327,0.6981325,1.8557096,-17.145834,0.18065496,1.9721324,-0.25327456,ALB,False
3.0988092,-0.15018146,-0.18760009,-0.97262526,0.30850574,-0.41169754,0.33293638,0.3873407,-1.4335814,17.949566,7.2938824,0.65081596,-0.2984944,ARG,False
0.98791826,0.03721963,-0.08292366,9.857535,0.4643506,0.47127715,1.0781989,0.1685707,-0.22450729,36.7935,6.837394,0.80177087,0.30315664,BEN,False
-1.337238,0.19301347,-0.16194513,-4.2349205,-0.37512878,0.31707916,-1.1310748,0.11194488,-1.0793061,-20.670732,-0.4519435,0.7705501,-0.07808823,BDI,False
4.0794883,0.48686975,-0.37193325,-0.21575768,-0.07493262,-1.6288958,0.04430986,-0.07209026,1.3320755,-18.533722,-1.6713384,-3.8433473,-0.29040015,AUT,False
0.2667636,0.08894281,0.5984421,-3.3925211,-0.5934159,-0.00871432,0.65457034,0.18001191,0.46898916,-4.1763387,0.10776671,1.0937166,0.13717566,AUS,False
1.4350142,0.61410105,-0.217353,2.388259,0.026422096,-0.41952667,0.02832161,0.15588948,3.2375836,15.683461,-3.4155502,1.5060105,-2.6085234,AZE,False
-1.597362,-4.145305,-0.0474498,-12.4773855,-0.14359023,-0.39755964,-3.867951,-0.8372679,-1.7587788,19.083733,-13.8381605,-6.393383,0.7233565,BHR,False
0.5440633,0.5396113,-0.37309867,-5.839855,0.04852044,-0.7575191,-0.07411591,-0.4499751,-1.2422317,-20.72347,-0.4025838,0.4185738,-0.19532809,BEL,False
-0.09082174,-0.4251633,-0.24704921,15.4927435,0.8976452,-0.048333608,0.50223637,0.6245808,2.5652425,-16.41815,-0.8484547,3.3791225,-0.088687934,BGR,False
