P1_rfl,P1_cfl,P1_ts,P1_dr,P1_hw,P1_ext,P1_fr,P1_sds,P1_pm25,P1_mal,P2_hea,P2_nut,P2_wash,P2_edu,P2_pro,P2_pov,P2_sur,iso3,SIDS
-0.034999836,-0.013260072,-0.032672085,0.03371662,0.047854275,-0.5251593,-0.0632648,-0.009211516,-0.04221795,-0.8470833,-0.15680708,-0.04893731,-0.06721755,0.018590795,-0.13762571,0.33843073,-0.04460842,AND,False
-0.028708884,0.024372138,-0.016609496,0.025318282,0.04812266,0.5769748,0.020820823,0.01203668,0.014035453,1.0940138,0.17971918,0.35921428,0.10081606,0.08880093,0.25420585,0.079526305,0.107360296,AGO,False
0.032753076,-0.027418934,-0.024202691,0.021849716,0.055267107,0.6642743,-0.02167061,0.011366404,0.0013409075,1.1277572,0.17216061,0.305442,0.010960675,0.081636935,0.24186666,0.10904381,0.017687919,AFG,False
0.054841965,0.02022863,-0.01831706,-0.057530165,0.055812642,1.0442659,0.04015458,0.013559117,0.02453219,-0.7152307,-0.0031098041,-0.07500052,-0.06569188,-0.040299322,-0.12369138,0.2932298,-0.027938077,ARE,False
-0.018544618,-0.020054944,-0.03615888,0.026039472,0.033724908,-0.384327,-0.07375224,-0.0034595148,0.058310825,-0.7236924,-0.13708094,-0.11816924,0.023543114,-0.031902768,-0.18683608,0.021076148,0.0943625,ARM,False
0.008148544,0.02386753,-0.028101277,0.01570643,0.038616568,-0.47327557,0.05845784,-0.009107407,0.06975107,-0.68682224,-0.11767802,-0.09744157,0.035378728,-0.04854134,-0.1770579,0.07844468,-0.063718475,ALB,False
0.034998935,0.011680006,-0.016669525,0.015247883,0.0024340474,0.72385466,0.044971406,0.004409316,0.012322986,-0.7886475,0.03861579,-0.10169248,-0.11443301,-0.16196188,-0.09590218,-0.07837713,0.056273405,ARG,False
-0.046056643,0.006352168,-0.013087097,0.024817817,0.072825074,0.6583347,0.018104205,0.0015518947,0.017187443,1.0876738,0.19143702,0.40733677,0.0734081,0.09933851,-0.1111714,0.088294625,0.09428468,BEN,False
-0.08652711,-0.018765777,-0.023738423,0.0122525375,0.031435914,-0.74375015,0.01965611,-0.019859007,0.02746781,0.95571685,0.1066742,0.20686603,0.05515872,0.043205272,0.20647903,-0.0031842638,0.07778574,BDI,False
0.03552458,-0.012619418,-0.020816235,0.0009879604,0.0015340656,-0.51426375,-0.054332744,-0.00988015,0.02514867,-0.9248847,0.06302507,-0.08529884,-0.07291159,-0.02780613,-0.1584717,-0.35890773,-0.10858022,AUT,False
