system:index,ISO3,combination,combination_id,hazardCount,hazardLevel,population,.geo
6218,MMR,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1023,10,Multiple,123.86851155757904,"{""type"":""MultiPoint"",""coordinates"":[]}"
5456,MDG,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1023,10,Multiple,15.67841587215662,"{""type"":""MultiPoint"",""coordinates"":[]}"
6147,MMR,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Air Pollution + Malaria,895,9,Multiple,32533.61268868724,"{""type"":""MultiPoint"",""coordinates"":[]}"
7680,PAK,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1021,9,Multiple,4484.5863643959165,"{""type"":""MultiPoint"",""coordinates"":[]}"
5409,MDG,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Air Pollution + Malaria,895,9,Multiple,944.9061162024736,"{""type"":""MultiPoint"",""coordinates"":[]}"
6195,MMR,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm + Air Pollution + Malaria,959,9,Multiple,942.1562747834361,"{""type"":""MultiPoint"",""coordinates"":[]}"
15672,KHM,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1021,9,Multiple,880.157183745876,"{""type"":""MultiPoint"",""coordinates"":[]}"
4141,IND,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1021,9,Multiple,643.2479103207588,"{""type"":""MultiPoint"",""coordinates"":[]}"
6216,MMR,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1021,9,Multiple,389.47955106943846,"{""type"":""MultiPoint"",""coordinates"":[]}"
4124,IND,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Fire + Sand and Dust Storm + Air Pollution + Malaria,991,9,Multiple,304.9613878130913,"{""type"":""MultiPoint"",""coordinates"":[]}"
5455,MDG,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1021,9,Multiple,263.096950173378,"{""type"":""MultiPoint"",""coordinates"":[]}"
4057,IND,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Air Pollution + Malaria,895,9,Multiple,262.78402268886566,"{""type"":""MultiPoint"",""coordinates"":[]}"
6503,MOZ,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Air Pollution + Malaria,895,9,Multiple,252.63169728592038,"{""type"":""MultiPoint"",""coordinates"":[]}"
4105,IND,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm + Air Pollution + Malaria,959,9,Multiple,205.35064190626144,"{""type"":""MultiPoint"",""coordinates"":[]}"
5435,MDG,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm + Air Pollution + Malaria,959,9,Multiple,90.02224779129028,"{""type"":""MultiPoint"",""coordinates"":[]}"
1845,CHN,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution,511,9,Multiple,44.06983404606581,"{""type"":""MultiPoint"",""coordinates"":[]}"
5453,MDG,River Flood + Coastal Flood + Tropical Storm + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1015,9,Multiple,40.4212451428175,"{""type"":""MultiPoint"",""coordinates"":[]}"
6217,MMR,Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1022,9,Multiple,30.29207992553711,"{""type"":""MultiPoint"",""coordinates"":[]}"
9193,THA,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1021,9,Multiple,5.534300422668457,"{""type"":""MultiPoint"",""coordinates"":[]}"
10545,VEN,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Fire + Sand and Dust Storm + Air Pollution + Malaria,991,9,Multiple,5.4742279052734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
15918,LAO,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1021,9,Multiple,5.018950045108795,"{""type"":""MultiPoint"",""coordinates"":[]}"
847,AUS,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution,511,9,Multiple,0.05408200004603714,"{""type"":""MultiPoint"",""coordinates"":[]}"
6096,MMR,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Air Pollution + Malaria,831,8,Multiple,495725.2022258918,"{""type"":""MultiPoint"",""coordinates"":[]}"
7656,PAK,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm + Air Pollution + Malaria,957,8,Multiple,130518.70692465454,"{""type"":""MultiPoint"",""coordinates"":[]}"
15657,KHM,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Air Pollution + Malaria,893,8,Multiple,104886.73579800506,"{""type"":""MultiPoint"",""coordinates"":[]}"
8521,SDN,River Flood + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1017,8,Multiple,49886.151564985514,"{""type"":""MultiPoint"",""coordinates"":[]}"
6145,MMR,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Air Pollution + Malaria,893,8,Multiple,49396.40655358763,"{""type"":""MultiPoint"",""coordinates"":[]}"
7622,PAK,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Air Pollution + Malaria,893,8,Multiple,46812.28321967274,"{""type"":""MultiPoint"",""coordinates"":[]}"
1759,CHN,River Flood + Coastal Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Air Pollution,383,8,Multiple,42834.05005254941,"{""type"":""MultiPoint"",""coordinates"":[]}"
8734,SOM,River Flood + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1017,8,Multiple,33188.1283660233,"{""type"":""MultiPoint"",""coordinates"":[]}"
4056,IND,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Air Pollution + Malaria,893,8,Multiple,32773.249900728464,"{""type"":""MultiPoint"",""coordinates"":[]}"
4140,IND,Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1020,8,Multiple,19437.71279514581,"{""type"":""MultiPoint"",""coordinates"":[]}"
15667,KHM,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Sand and Dust Storm + Air Pollution + Malaria,957,8,Multiple,19266.054556531366,"{""type"":""MultiPoint"",""coordinates"":[]}"
6501,MOZ,River Flood + Tropical Storm + Drought + Heatwave + Extreme Heat + Fire + Air Pollution + Malaria,893,8,Multiple,19106.39880369464,"{""type"":""MultiPoint"",""coordinates"":[]}"
5888,MLI,River Flood + Drought + Heatwave + Extreme Heat + Fire + Sand and Dust Storm + Air Pollution + Malaria,1017,8,Multiple,16834.106485936514,"{""type"":""MultiPoint"",""coordinates"":[]}"
