ISO3,ge1_topics,ge2_topics,ge3_topics,ge4_topics,ge5_topics,ge6_topics,ge7_topics,ge8_topics,Region
ABW,22560.93753719992,20073.18521650788,3741.064606729308,0.0,0.0,0.0,0.0,0.0,
AFG,20477569.6666798,17114011.794673406,9143163.265134858,1556166.9607644735,134070.47239036986,1265.8906876062206,0.0,0.0,South Asia
AGO,18103173.280278627,12230184.441141147,2884412.5605969667,282882.37666372,8962.114322794667,0.0,0.0,0.0,Eastern and Southern Africa
AIA,3107.597932745628,3107.597932745628,3107.597932745628,47.19602346407873,0.0940830351236988,0.0,0.0,0.0,Latin America and the Caribbean
ALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ALB,557883.8209478161,368159.838188858,66909.4156181503,8826.897322588582,133.17587240756257,0.0,0.0,0.0,Europe and Central Asia
AND,12304.924942536496,6382.135960494563,0.0,0.0,0.0,0.0,0.0,0.0,
ARE,1954329.0631706908,1884705.7535974784,1618654.8795234729,244599.8252272536,31693.210118601564,68.81671535596251,0.0,0.0,Middle East and North Africa
ARG,11072750.597399356,6817091.7562085055,2425590.511629885,504160.3606847672,41217.7210069711,19.769023885484785,0.0,0.0,Latin America and the Caribbean
ARM,655025.5301867909,355112.4716046411,23987.8290963392,2191.255431500914,114.96721730107674,0.0,0.0,0.0,Europe and Central Asia
ASM,15601.651859219894,15601.651859219894,0.0,0.0,0.0,0.0,0.0,0.0,
ATA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ATF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ATG,20563.202283535426,20563.202283535426,16792.683111848863,156.22400276515555,0.0,0.0,0.0,0.0,Latin America and the Caribbean
AUS,5167736.192680964,2503398.79533936,786853.3808123242,208406.51969235105,31792.89731268941,1374.9225059960952,14.897989576834645,0.0540820000460371,
AUT,1426858.1000882713,616513.6264776954,66266.20047963395,461.45825615677,0.0,0.0,0.0,0.0,
AZE,2682595.7987533933,1541848.4154712104,582340.8492372669,94710.61888011328,2994.380510591387,39.27542363614136,0.0,0.0,Europe and Central Asia
BDI,7250375.91884299,2316962.552606454,119056.73033905208,167.02505882808975,0.0,0.0,0.0,0.0,Eastern and Southern Africa
BEL,2292992.4114830084,769329.976144015,102952.35921123152,7116.447442064089,119.52667418657802,0.0,0.0,0.0,
BEN,6825984.683289338,6644847.535254816,4372822.420007377,952657.0879197434,20914.13091309311,2.753041982650757,0.0,0.0,West and Central Africa
BES,334.1557081942757,334.1557081942757,334.1557081942757,0.0,0.0,0.0,0.0,0.0,
