sum,adm0_name,iso3
41833.267498093,American Samoa (USA),ASM
41049.16561243181,Turks and Caicos Islands,TCA
12997.235624697752,Anguilla,AIA
53360.839032516764,Bermuda,BMU
234592.70907725382,French Polynesia,PYF
27007.373009999596,Gibraltar,GIB
33544.23858609011,British Virgin Islands,VGB
66209.95544518037,Cayman Islands,CYM
0.0,Clipperton Island,PYF
161975.10470791478,Guam (USA),GUM
4028.4019651140898,Montserrat,MSR
270546.2936815416,New Caledonia,NCL
20.321969670378692,Pitcairn,PCN
0.0,Saint Helena (Ascencion),SHN
2452.9999413490295,Tokelau,TKL
79453.21015887965,United States Virgin Islands (USA),VIR
541796.871195882,Western Sahara,ESH
0.0,Saint Helena (Tristan da Cunha),SHN
0.0,Saint Helena (Gough),SHN
5195.2521363976375,Saint Helena,SHN
0.0,Greenland,GRL
585222.1170451446,Macao,MAC
6289298.50656382,Hong Kong,HKG
2.30340271337244E7,Taiwan,TWN
2782872.4086729567,Albania,ALB
81443.73729494547,Andorra,AND
4.53911507189633E7,Argentina,ARG
90442.83965616157,Antigua and Barbuda,ATG
2.6087956061251383E7,Australia,AUS
9131228.228269408,Austria,AUT
1.0305056880263647E7,Azerbaijan,AZE
377478.998311192,Bahamas,BHS
1566672.8331298663,Bahrain,BHR
6.610971846302748E7,France,FRA
9086378.20491561,Belarus,BLR
1.1729999543576417E7,Belgium,BEL
399084.8015753934,Belize,BLZ
3178282.516358247,Bosnia and Herzegovina,BIH
2500423.0825033807,Botswana,BWA
2.105551313514716E8,Brazil,BRA
2443318.036917121,Gabon,GAB
3790229.8661691546,Georgia,GEO
8.463893152564746E7,Germany,DEU
451367.1023063967,Brunei Darussalam,BRN
6741948.729662249,Bulgaria,BGR
3.927912749866485E7,Canada,CAN
501108.4429755735,Cape Verde,CPV
1.9550723911698982E7,Chile,CHL
1.4120869350970414E9,China,CHN
9631145.013834283,Greece,GRC
102085.33957337808,Grenada,GRD
5091203.401725685,Costa Rica,CRI
3786090.049015742,Croatia,HRV
1306631.543693701,Cyprus,CYP
1.0797465745475562E7,Czechia,CZE
5796261.6586373905,Denmark,DNK
