ISO3,child_population_exposed_75,child_population_exposed_80,child_population_exposed_90,Region
ABW,0.0,0.0,0.0,
AFG,15386641.578194115,13998000.11374559,11126224.852018058,South Asia
AGO,6529859.451050046,5753970.015036937,2281196.380627187,Eastern and Southern Africa
AIA,0.0,0.0,0.0,Latin America and the Caribbean
ALA,0.0,0.0,0.0,
ALB,169948.96776382002,148828.37924987075,35732.099901854686,Europe and Central Asia
AND,0.0,0.0,0.0,
ARE,1724927.484394628,1526739.338279851,1165373.2393503997,Middle East and North Africa
ARG,7731104.954552706,6686305.917049993,2882782.517935258,Latin America and the Caribbean
ARM,284297.01040961966,222200.35603527623,174603.49473490997,Europe and Central Asia
ASM,0.0,0.0,0.0,
ATA,0.0,0.0,0.0,
ATF,0.0,0.0,0.0,
ATG,0.0,0.0,0.0,Latin America and the Caribbean
AUS,1747631.240549196,1369729.5562717956,376237.0519619381,
AUT,232717.33986581187,113451.27221417514,0.0,
AZE,1426016.0659562456,1269899.0712028532,705046.3891289063,Europe and Central Asia
BDI,607344.7210628039,105904.0639965038,7054.417855039239,Eastern and Southern Africa
BEL,70268.78984710197,15369.182897015433,0.0,
BEN,6347998.304064735,5986449.650779245,5389147.847253128,West and Central Africa
BES,0.0,0.0,0.0,
BFA,11447235.67093105,10878975.317610605,8294467.967518701,West and Central Africa
BGD,56428372.66002636,55813136.74123681,48742720.82442231,South Asia
BGR,509695.1938348834,407515.2219779082,159801.77320608858,Europe and Central Asia
BHR,11726.556477470323,11726.556477470323,0.0,Middle East and North Africa
BHS,0.0,0.0,0.0,
BIH,161656.43862411915,125120.6340696766,25380.83530922183,Europe and Central Asia
BLM,0.0,0.0,0.0,
BLR,238521.2037685112,112410.52445770946,648.1811367196487,Europe and Central Asia
BLZ,81412.3638626099,70677.28701829571,49781.03210060395,Latin America and the Caribbean
BMU,0.0,0.0,0.0,
BOL,1969810.3664085097,1849827.3272846409,1539593.808158012,Latin America and the Caribbean
BRA,21007846.868608084,17837966.022823684,9275987.488699628,Latin America and the Caribbean
BRB,0.0,0.0,0.0,Latin America and the Caribbean
BRN,409.45679723635936,409.45679723635936,0.0,
BTN,2627.0735921094724,174.98495016473143,15.00560589951883,South Asia
BVT,0.0,0.0,0.0,
BWA,583751.657242611,452143.5629296787,105405.3983934846,Eastern and Southern Africa
CAF,2940861.113632448,2905764.6030474044,2345535.547662612,West and Central Africa
CAN,447585.2576306576,246321.62777165385,4001.5752965951992,
CCK,0.0,0.0,0.0,
CHE,22144.98752598126,0.0,0.0,
CHL,421252.6170109461,299483.2918050599,2414.481994194146,Latin America and the Caribbean
CHN,216045281.73344457,204410204.11652407,145045398.6781795,East Asia and Pacific
CIV,10458394.846969446,9431197.133091144,5113956.523343475,West and Central Africa
CMR,9118411.625165235,8630880.233839596,5364228.793711957,West and Central Africa
COD,28704531.969560537,25399776.16775292,17102032.82317333,West and Central Africa
COG,911446.9164907276,754625.7616739898,403899.5675995687,West and Central Africa
COK,0.0,0.0,0.0,East Asia and Pacific
COL,3094700.4558850434,2917196.1948295985,1722013.9849286235,Latin America and the Caribbean
COM,0.0,0.0,0.0,Eastern and Southern Africa
CPV,0.0,0.0,0.0,West and Central Africa
CRI,64777.832645038965,30010.087355954576,6426.421751743705,Latin America and the Caribbean
CUB,954736.8432743894,764913.4854773753,154392.2152036916,Latin America and the Caribbean
CUW,0.0,0.0,0.0,
CXR,0.0,0.0,0.0,
CYM,0.0,0.0,0.0,
CYP,123591.18332098491,105391.06507719384,10242.36141252867,
CZE,94962.89012280562,46004.97565257415,0.0,
DEU,887450.0244536973,359881.74260002153,22545.53018664609,
DJI,115186.69574946194,47407.42782362695,19970.850289848277,Middle East and North Africa
DMA,0.0,0.0,0.0,Latin America and the Caribbean
DNK,0.0,0.0,0.0,
DOM,477680.8309267207,407761.6655714256,177080.35089888828,Latin America and the Caribbean
DZA,12693580.78017253,11361110.045014955,5420094.574154164,Middle East and North Africa
ECU,93771.23872478398,71634.81569186081,17617.317653123508,Latin America and the Caribbean
EGY,40577262.13898905,40157484.66217026,37361741.84186337,Middle East and North Africa
ERI,824778.2210119789,714600.771079276,485545.8726276415,Eastern and Southern Africa
ESH,80396.49863045297,66904.1889365951,32711.80289168412,
ESP,4583625.736030573,4155655.4303965257,2642947.7768104286,
EST,0.0,0.0,0.0,
ETH,10348788.17002862,8366104.176386033,4282607.836255307,Eastern and Southern Africa
FIN,0.0,0.0,0.0,
FJI,0.0,0.0,0.0,East Asia and Pacific
FLK,0.0,0.0,0.0,
FRA,3532494.8282076884,2978357.0340861906,338069.7235375348,
FRO,0.0,0.0,0.0,
FSM,0.0,0.0,0.0,East Asia and Pacific
GAB,106360.98608498165,26436.21588301565,0.0,West and Central Africa
GBR,324046.8616510176,127988.08209426474,0.0,
GEO,364612.6741584454,289646.11285965523,113637.37633758513,Europe and Central Asia
GGY,0.0,0.0,0.0,
GHA,11675743.030098228,10737622.157712324,6063923.689914094,West and Central Africa
GIB,0.0,0.0,0.0,
GIN,5707873.328455436,5172577.282274964,3682824.154011993,West and Central Africa
GLP,0.0,0.0,0.0,
GMB,920311.851980167,729904.3552500774,569315.8077852494,West and Central Africa
GNB,828254.2690686269,680129.9959987308,399206.2252298085,West and Central Africa
GNQ,105293.59246768065,37018.00616698592,0.0,West and Central Africa
GRC,530624.4279230431,385910.5858611358,77340.91689580947,Europe and Central Asia
GRD,0.0,0.0,0.0,Latin America and the Caribbean
GRL,0.0,0.0,0.0,
GTM,1550415.2138703954,1270223.6753411775,694113.7161034138,Latin America and the Caribbean
GUF,19961.74128858956,14140.340114803676,1141.7682975163648,
GUM,0.0,0.0,0.0,
GUY,53188.30823453575,45811.5606626106,17187.99429048931,Latin America and the Caribbean
HKG,2168.293562367584,2168.293562367584,0.0,
HMD,0.0,0.0,0.0,
HND,2224138.589062588,1907846.711947732,1090887.7537720178,Latin America and the Caribbean
HRV,236534.8873540108,211011.1337538182,57080.86085980269,Europe and Central Asia
HTI,408489.7814404384,292360.7416396206,58461.99323962501,Latin America and the Caribbean
HUN,717146.7753133059,624601.0671007236,23255.725706579087,
IDN,14311176.289792558,10055574.78521258,4274787.4297442585,East Asia and Pacific
IMN,0.0,0.0,0.0,
IND,408228169.590897,395602735.3733356,274608678.333775,South Asia
IOT,0.0,0.0,0.0,
IRL,0.0,0.0,0.0,
IRN,18247772.324696027,17515570.72333383,13524921.072363768,Middle East and North Africa
IRQ,19546306.54644721,19442282.73216546,18797480.0694496,Middle East and North Africa
ISL,0.0,0.0,0.0,
ISR,2067102.0407703044,1734337.7056571925,337226.03043315135,
ITA,3267979.03147065,1907821.1976080483,702301.3404478022,
JAM,90757.56734518468,37372.0113270469,23781.89424675703,Latin America and the Caribbean
JEY,0.0,0.0,0.0,
JOR,3931431.411417993,3348639.947367945,813098.878675124,Middle East and North Africa
JPN,5961550.025466535,4555597.760557362,1810014.3112901004,
KAZ,4862836.854899029,3988432.145862912,1865727.1380746565,Europe and Central Asia
KEN,3529437.6445233976,2414030.7163203936,921089.78899324,Eastern and Southern Africa
KGZ,991529.2930178242,555418.8662976942,109157.44710863796,Europe and Central Asia
KHM,6133101.927672763,6097431.000692531,5786373.576674941,East Asia and Pacific
KIR,0.0,0.0,0.0,East Asia and Pacific
KNA,0.0,0.0,0.0,Latin America and the Caribbean
KOR,1883929.190587104,1446565.183430869,233216.05403596265,
KWT,508952.8029179571,508952.8029179571,435535.78478327725,Middle East and North Africa
LAO,2281642.60538646,2133160.7222980745,1699971.6830789596,East Asia and Pacific
LBN,352399.3292165774,177641.91482647485,44958.78994931952,Middle East and North Africa
LBR,892823.7244845949,579093.2683344405,160185.03700564196,West and Central Africa
LBY,1690863.3352156652,1483471.608428528,763904.0290076367,Middle East and North Africa
LCA,0.0,0.0,0.0,Latin America and the Caribbean
LIE,0.0,0.0,0.0,
LKA,1683688.4063876374,1488908.3667713422,455425.6185388225,South Asia
LSO,269356.0417013499,213779.042735511,3761.57571706272,Eastern and Southern Africa
LTU,2860.545586085883,0.0,0.0,
LUX,479.89430105190246,0.0,0.0,
LVA,524.0847529885359,0.0,0.0,
MAC,0.0,0.0,0.0,
MAF,0.0,0.0,0.0,
MAR,9358931.704119418,8952710.083518706,6450864.078536209,Middle East and North Africa
MCO,0.0,0.0,0.0,
MDA,479061.00485754735,337532.623313797,216671.6011159029,Europe and Central Asia
MDG,4475336.066552043,3400873.723634649,2169933.075698255,Eastern and Southern Africa
MDV,0.0,0.0,0.0,South Asia
MEX,14904176.190676052,12172062.15967984,7717683.831328277,Latin America and the Caribbean
MHL,0.0,0.0,0.0,East Asia and Pacific
MKD,248199.46411357008,157219.67578422066,87882.56825975653,Europe and Central Asia
MLI,12843009.27040447,12668194.638996577,11265307.325236296,West and Central Africa
MLT,0.0,0.0,0.0,
MMR,13313382.826437034,12973481.062063329,11964659.282613749,East Asia and Pacific
MNE,40598.9941072171,38356.75629505007,3727.0111818388095,Europe and Central Asia
MNG,54511.65729453942,29211.797414185843,4749.807629891304,East Asia and Pacific
MNP,0.0,0.0,0.0,
MOZ,13127019.191731472,12232441.454349631,8303452.011674555,Eastern and Southern Africa
MRT,2000530.8520965904,1880635.091798433,962305.186131152,West and Central Africa
MSR,0.0,0.0,0.0,Latin America and the Caribbean
MTQ,0.0,0.0,0.0,
MUS,0.0,0.0,0.0,
MWI,2755034.0930632222,1879315.2782780493,764700.2335757678,Eastern and Southern Africa
MYS,1511249.04664527,1239143.7825343236,423362.6296258833,East Asia and Pacific
MYT,0.0,0.0,0.0,
NAM,688217.4008660546,599651.9370209603,311425.5974396209,Eastern and Southern Africa
NCL,0.0,0.0,0.0,
NER,14257240.759773254,11409313.3682622,6942005.042379607,West and Central Africa
NFK,0.0,0.0,0.0,
NGA,108826913.61111666,103234916.82474908,87216069.68741117,West and Central Africa
NIC,1311233.2555581771,1178304.5455217587,699217.7312276668,Latin America and the Caribbean
NIU,0.0,0.0,0.0,East Asia and Pacific
NLD,287999.1978184304,7666.177654082038,0.0,
NOR,0.0,0.0,0.0,
NPL,5656548.683914727,5090381.023598462,1800825.1344651182,South Asia
NRU,0.0,0.0,0.0,East Asia and Pacific
NZL,2303.439703058946,30.30051800352521,0.0,
OMN,828710.2534873509,789718.4651570527,534904.6057649357,Middle East and North Africa
PAK,97915422.62436868,95683225.22230612,83850368.71194951,South Asia
PAN,191725.4325522269,139224.72035922192,6290.264203730607,Latin America and the Caribbean
PCN,0.0,0.0,0.0,
PER,1756259.1762161313,1301267.235238968,824244.0290237505,Latin America and the Caribbean
PHL,14710256.140029373,12362472.675430262,7878345.423728681,East Asia and Pacific
PLW,0.0,0.0,0.0,East Asia and Pacific
PNG,140723.7703578566,91495.8548175355,30270.900122133837,East Asia and Pacific
POL,809213.7609956206,387448.7924686747,0.0,
PRI,0.0,0.0,0.0,
PRK,1234379.5833591106,722166.4884186703,10564.239010568,East Asia and Pacific
PRT,830374.1688611408,627280.1767497711,329354.66340112017,
PRY,2060160.0187521973,1889978.8501774915,979431.5219455926,Latin America and the Caribbean
PSE,732582.9021737298,699282.7836580419,230346.4856570864,Middle East and North Africa
PYF,0.0,0.0,0.0,
QAT,445199.2279044789,259754.76753697108,54824.03747056394,Middle East and North Africa
REU,0.0,0.0,0.0,
ROU,1784733.8713302908,1228391.6297457656,373696.5862887732,Europe and Central Asia
RUS,12518658.29360601,9788706.406100856,3332650.0632178304,
RWA,588269.2976166768,140426.95246438752,0.0,Eastern and Southern Africa
SAU,7824480.846497633,7215830.053158429,4949857.753287354,Middle East and North Africa
SDN,23141546.163813204,22434545.192658454,19745519.173623644,Middle East and North Africa
SEN,6028984.868316809,5053991.337174958,3447328.686752972,West and Central Africa
SGP,0.0,0.0,0.0,
SGS,0.0,0.0,0.0,
SHN,0.0,0.0,0.0,
SJM,0.0,0.0,0.0,
SLB,0.0,0.0,0.0,East Asia and Pacific
SLE,3100066.1603974123,3016458.623043376,1471658.7383296555,West and Central Africa
SLV,1032136.238880741,749198.1754203783,413306.1983384736,Latin America and the Caribbean
SMR,0.0,0.0,0.0,
SOM,4036865.7392641935,3414834.22444718,1778624.5803446264,Eastern and Southern Africa
SPM,0.0,0.0,0.0,
SRB,837817.1595214758,605729.8778411633,341170.08114565734,Europe and Central Asia
SSD,5448706.535643903,5383613.949053535,4452175.628944259,Eastern and Southern Africa
STP,0.0,0.0,0.0,West and Central Africa
