ISO3,child_population_exposed_75,child_population_exposed_80,child_population_exposed_90,Region
ABW,0.0,0.0,0.0,
AFG,13884475.042882346,12253777.392261976,7746567.586974408,South Asia
AGO,6424742.368566771,5205267.294175599,1845728.289015536,Eastern and Southern Africa
AIA,0.0,0.0,0.0,Latin America and the Caribbean
ALA,0.0,0.0,0.0,
ALB,199913.0199662421,158748.998376375,58248.60935281883,Europe and Central Asia
AND,0.0,0.0,0.0,
ARE,1326481.2094644187,1268009.6252478105,607160.6421470747,Middle East and North Africa
ARG,9022352.651157623,7837691.56495744,4176264.6559808766,Latin America and the Caribbean
ARM,298551.6321703625,210080.3366400785,141937.91131875064,Europe and Central Asia
ASM,0.0,0.0,0.0,
ATA,0.0,0.0,0.0,
ATF,0.0,0.0,0.0,
ATG,0.0,0.0,0.0,Latin America and the Caribbean
AUS,2747536.058719015,2127283.007198727,1159886.2376022865,
AUT,288433.6794403425,228408.8513293064,557.0132042396452,
AZE,1511551.4727310643,1297002.6821952478,677280.2458670053,Europe and Central Asia
BDI,169108.2889334876,31940.216035932404,0.0,Eastern and Southern Africa
BEL,527963.4097088228,278626.3901843564,0.0,
BEN,5932401.141117824,5650302.111673535,4025715.3651387966,West and Central Africa
BES,0.0,0.0,0.0,
BFA,10607234.343350092,10254973.20186993,2843288.2269362058,West and Central Africa
BGD,55975159.40196519,51665426.46643259,43146516.49368452,South Asia
BGR,589164.691845149,423891.38351303904,169803.96780008182,Europe and Central Asia
BHR,11726.556477470323,10858.918725116178,0.0,Middle East and North Africa
BHS,21.24155658270762,0.0,0.0,
BIH,171050.2172258711,118094.5055708665,29847.083711989537,Europe and Central Asia
BLM,0.0,0.0,0.0,
BLR,421066.6939417374,238530.84282775447,6105.975225991245,Europe and Central Asia
BLZ,88589.8349091645,78902.10846782773,56244.74629737301,Latin America and the Caribbean
BMU,0.0,0.0,0.0,
BOL,2000027.288987048,1823244.1162675847,1013299.4295905036,Latin America and the Caribbean
BRA,26367411.066311352,21060432.11787029,12006309.736192802,Latin America and the Caribbean
BRB,0.0,0.0,0.0,Latin America and the Caribbean
BRN,409.6958911241653,409.45679723635936,0.0,
BTN,2623.046135480909,174.98495016473143,15.00560589951883,South Asia
BVT,0.0,0.0,0.0,
BWA,665747.3523248276,565434.1073000084,134373.71069119775,Eastern and Southern Africa
CAF,2915221.087644809,2776502.804371239,2153061.712403913,West and Central Africa
CAN,1305451.059640653,640652.382413707,79261.37926402781,
CCK,0.0,0.0,0.0,
CHE,236447.90799241583,64209.76907562293,0.0,
CHL,447848.7653963096,330968.00200835505,2182.563136520559,Latin America and the Caribbean
CHN,215152412.5812571,194871681.0481272,124510266.89450352,East Asia and Pacific
CIV,10456509.574910188,8291511.566225393,3618488.816585679,West and Central Africa
CMR,8442203.419308236,6289382.222217112,2907076.115916271,West and Central Africa
COD,25125201.13871299,21034605.63964281,13717236.229014073,West and Central Africa
COG,775799.1843892009,662027.160247853,205959.02438787505,West and Central Africa
COK,0.0,0.0,0.0,East Asia and Pacific
COL,4233549.913675691,3035516.424449817,1843238.989322384,Latin America and the Caribbean
COM,0.0,0.0,0.0,Eastern and Southern Africa
CPV,0.0,0.0,0.0,West and Central Africa
CRI,95805.24457496394,60897.903086105136,12413.12283925572,Latin America and the Caribbean
CUB,1390160.1752451195,1139692.4857099273,481603.4949700239,Latin America and the Caribbean
CUW,0.0,0.0,0.0,
CXR,0.0,0.0,0.0,
CYM,0.0,0.0,0.0,
CYP,134818.6882032664,119234.04794219902,18793.96414884634,
CZE,151600.45487870017,83020.95554415724,2435.7260741695354,
DEU,1856463.8237812505,1026977.427904667,43464.54417394061,
DJI,31982.537718645675,30993.913922196338,7157.977707128432,Middle East and North Africa
DMA,0.0,0.0,0.0,Latin America and the Caribbean
DNK,0.0,0.0,0.0,
DOM,976489.1430412628,612686.03450355,252468.77206357205,Latin America and the Caribbean
DZA,13474172.50629227,11641637.667891648,6527944.063636261,Middle East and North Africa
ECU,243043.2337443051,76015.480598133,29758.70821458946,Latin America and the Caribbean
EGY,40257495.90824545,39926094.59087139,35007927.505340084,Middle East and North Africa
ERI,689233.5228815103,614267.1210354511,354953.33210205025,Eastern and Southern Africa
ESH,68724.04056591775,62275.14935292411,23396.254493793476,
ESP,5370858.908906593,4847495.871923948,3538805.7753880173,
EST,26671.67755529836,0.0,0.0,
ETH,8770941.990620583,6010084.055382635,3006029.4944968303,Eastern and Southern Africa
FIN,2350.541784476519,0.0,0.0,
FJI,0.0,0.0,0.0,East Asia and Pacific
FLK,0.0,0.0,0.0,
FRA,5171867.237784897,3817035.033071887,1168682.7831275363,
FRO,0.0,0.0,0.0,
FSM,0.0,0.0,0.0,East Asia and Pacific
GAB,84786.55792155769,0.0,0.0,West and Central Africa
GBR,1228001.788562569,453634.41781056894,0.0,
GEO,422781.65645407664,321795.72130009165,119450.13326067576,Europe and Central Asia
GGY,0.0,0.0,0.0,
GHA,11245377.908475429,9472212.935207663,3706803.782737585,West and Central Africa
GIB,6320.593065336757,6320.593065336757,6320.593065336757,
GIN,5426285.108938592,4785484.839587209,2564374.7741840794,West and Central Africa
GLP,0.0,0.0,0.0,
GMB,729904.3552500774,632987.1645658307,449432.7043039135,West and Central Africa
GNB,700818.7396538707,647191.9989467316,248927.44374486172,West and Central Africa
GNQ,68623.13396991514,0.0,0.0,West and Central Africa
GRC,768679.3570663554,460708.6817030342,170610.87667060437,Europe and Central Asia
