iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
GIB,GIB,95,Gibraltar,Non-Self Governing Territory,agricultural_drought_fao_1984-2023,0.0,6320.962111463034,28982.67595916449
SMR,SMR,213,San Marino,State,agricultural_drought_fao_1984-2023,5133.700184291561,5133.700184291561,32591.888848521667
MCO,MCO,166,Monaco,State,agricultural_drought_fao_1984-2023,0.0,5150.670216133552,24611.520356541056
VAT,VAT,110,Holy See,State,agricultural_drought_fao_1984-2023,0.0,16.458007565666644,572.078255211391
xHT,SDN,282,Hala'ib Triangle,Sovereignty unsettled,agricultural_drought_fao_1984-2023,0.0,4875.063372722408,12153.392899734525
xMS,EGY,283,Bi'r Tawīl,Sovereignty unsettled,agricultural_drought_fao_1984-2023,0.0,250.06046407669783,319.10018343581555
xIT,SSD,286,Ilemi Triangle,Sovereignty unsettled,agricultural_drought_fao_1984-2023,132.7584504021478,2455.25929632516,4821.242805503465
xAB,xAB,102,Abyei,Sovereignty unsettled,agricultural_drought_fao_1984-2023,39196.359342412026,81783.03039833542,139480.9492159389
xJL,xJL,1014,Sovereignty unsettled,Sovereignty unsettled,agricultural_drought_fao_1984-2023,7903.4877832665425,41766.09429358614,117416.10100114328
ESH,ESH,268,Western Sahara,Non-Self Governing Territory,agricultural_drought_fao_1984-2023,0.0,148933.84580948256,547515.8079370301
SHN,SHN,1017,Saint Helena (Gough),Non-Self Governing Territory,agricultural_drought_fao_1984-2023,0.0,856.1189364393309,5167.243286182641
MUS,MUS,160,Mauritius,State,agricultural_drought_fao_1984-2023,110743.25956058838,241215.5813811656,1248307.5201992372
AND,AND,7,Andorra,State,agricultural_drought_fao_1984-2023,6382.068334744991,12314.434242769294,81429.70188960501
ISR,ISR,121,Israel,State,agricultural_drought_fao_1984-2023,1161731.8531322505,2525235.7499986435,9088809.509758445
CYP,CYP,64,Cyprus,State,agricultural_drought_fao_1984-2023,161094.9471454123,253501.06070479413,1306577.675221098
MLT,MLT,156,Malta,State,agricultural_drought_fao_1984-2023,28152.72843444234,83308.58843387786,508059.7765252353
SYC,SYC,220,Seychelles,State,agricultural_drought_fao_1984-2023,0.0,29720.00320191509,107680.01814509738
FRA,FRA,85,France,State,agricultural_drought_fao_1984-2023,4372210.25382414,13310065.177021116,65665394.952451326
TLS,TLS,242,Timor-Leste,State,agricultural_drought_fao_1984-2023,54997.65165443674,565995.9888864048,1365395.355152788
KEN,KEN,133,Kenya,State,agricultural_drought_fao_1984-2023,12320384.158607634,24695923.160650704,55697883.19923063
ESP,ESP,229,Spain,State,agricultural_drought_fao_1984-2023,4093534.3108300166,7424701.040917176,45709518.59673531
PRT,PRT,199,Portugal,State,agricultural_drought_fao_1984-2023,648881.9695755601,1624803.0371882406,10228127.387623696
THA,THA,240,Thailand,State,agricultural_drought_fao_1984-2023,8385136.227593719,13243611.66919859,71288672.25113598
ALB,ALB,3,Albania,State,agricultural_drought_fao_1984-2023,371476.5002541427,574511.4808340942,2783425.0836327416
MKD,MKD,241,North Macedonia,State,agricultural_drought_fao_1984-2023,276725.94803854177,372490.5697058588,1828061.161859414
GRC,GRC,97,Greece,State,agricultural_drought_fao_1984-2023,585993.6166848954,1654436.3195682033,9904165.152781531
AUS,AUS,17,Australia,State,agricultural_drought_fao_1984-2023,1127418.1483878156,5499542.0350664165,25397473.732017536
UGA,UGA,253,Uganda,State,agricultural_drought_fao_1984-2023,19939246.646730103,25134625.61854001,49341903.8205682
RWA,RWA,205,Rwanda,State,agricultural_drought_fao_1984-2023,4584992.84609697,6275485.638842308,14114278.491264649
COM,COM,58,Comoros,State,agricultural_drought_fao_1984-2023,1.835046514609799,371435.77858109714,802614.3376740606
SWZ,SWZ,235,Eswatini,State,agricultural_drought_fao_1984-2023,282358.37647433474,492725.3372446519,1234802.3254113812
TUR,TUR,249,Republic of Türkiye,State,agricultural_drought_fao_1984-2023,13949648.03407195,22276770.081133075,85409189.03409901
MWI,MWI,152,Malawi,State,agricultural_drought_fao_1984-2023,8446908.787681594,10359088.198783088,21411324.39606215
SSD,SSD,287,South Sudan,State,agricultural_drought_fao_1984-2023,2041594.860023785,5565488.362447016,11783073.744321762
ZMB,ZMB,270,Zambia,State,agricultural_drought_fao_1984-2023,1842301.3274966525,10234008.09204713,21039446.984683145
ZAF,ZAF,227,South Africa,State,agricultural_drought_fao_1984-2023,5528966.202759405,19655007.770259347,63190561.02224362
ZWE,ZWE,271,Zimbabwe,State,agricultural_drought_fao_1984-2023,5354438.091385983,7925949.8274858,16454098.879832966
LSO,LSO,142,Lesotho,State,agricultural_drought_fao_1984-2023,706550.5040463874,953831.1615944308,2322831.381771127
ERI,ERI,77,Eritrea,State,agricultural_drought_fao_1984-2023,871662.4260924412,1605340.2850138838,3486028.8843210307
MDG,MDG,150,Madagascar,State,agricultural_drought_fao_1984-2023,1377622.2956828594,14080000.589749362,30662937.690577693
AGO,AGO,8,Angola,State,agricultural_drought_fao_1984-2023,4741891.893622263,18697013.117849413,36677663.43804505
SOM,SOM,226,Somalia,State,agricultural_drought_fao_1984-2023,3174907.130793969,9233126.314953228,17942035.477664348
BDI,BDI,43,Burundi,State,agricultural_drought_fao_1984-2023,1883352.296440428,7250305.555743556,13877805.40275468
NAM,NAM,172,Namibia,State,agricultural_drought_fao_1984-2023,77319.55785584499,1268826.7987188864,2950947.7825267026
BWA,BWA,35,Botswana,State,agricultural_drought_fao_1984-2023,85983.51356665313,941947.7751194158,2474286.5822120337
ETH,ETH,79,Ethiopia,State,agricultural_drought_fao_1984-2023,35682306.26546835,60012523.18200912,130467249.22084711
MOZ,MOZ,170,Mozambique,State,agricultural_drought_fao_1984-2023,10402886.923232203,17310330.69920364,33712198.55763355
MAR,MAR,169,Morocco,State,agricultural_drought_fao_1984-2023,8122680.705911699,11603413.342636012,37562571.69452273
JOR,JOR,130,Jordan,State,agricultural_drought_fao_1984-2023,1703750.6777424535,4258481.420526452,11524558.162343549
LBN,LBN,141,Lebanon,State,agricultural_drought_fao_1984-2023,902287.1826117258,1848836.920784989,5712309.3572406
DJI,DJI,70,Djibouti,State,agricultural_drought_fao_1984-2023,0.0,408368.2130373667,1114602.9636987098
PSE,PSE,3000,State of Palestine,State,agricultural_drought_fao_1984-2023,98290.24607411062,2444198.964960631,5405340.641877392
LBY,LBY,145,Libya,State,agricultural_drought_fao_1984-2023,1723762.8811676644,2356638.171646258,7022794.066556983
BRA,BRA,37,Brazil,State,agricultural_drought_fao_1984-2023,13447597.332536016,49876676.879620895,207346457.64160904
TZA,TZA,257,United Republic of Tanzania,State,agricultural_drought_fao_1984-2023,25225950.72591831,33130274.798303712,67073520.83656046
SAU,SAU,215,Saudi Arabia,State,agricultural_drought_fao_1984-2023,289387.6848765158,9328833.82689227,32945916.14528758
SDN,SDN,280,Sudan,State,agricultural_drought_fao_1984-2023,12618048.906913923,23488029.04550255,49911281.58073561
SYR,SYR,238,Syrian Arab Republic,State,agricultural_drought_fao_1984-2023,6609814.602457851,8833088.122707725,23915629.34854489
TUN,TUN,248,Tunisia,State,agricultural_drought_fao_1984-2023,1894810.7128815204,3504858.494188295,12116869.540838895
YEM,YEM,269,Yemen,State,agricultural_drought_fao_1984-2023,2169933.890261024,18814808.98563313,39572946.35670203
MDV,MDV,154,Maldives,State,agricultural_drought_fao_1984-2023,0.0,110809.98496625746,245759.77551621463
DZA,DZA,4,Algeria,State,agricultural_drought_fao_1984-2023,8946115.406073388,16175632.459756382,45659901.1577073
EGY,EGY,284,Egypt,State,agricultural_drought_fao_1984-2023,28454858.576335475,43376419.52835634,114454361.4192514
TGO,TGO,243,Togo,State,agricultural_drought_fao_1984-2023,2791596.814162576,4349295.341023058,9364149.79302982
STP,STP,214,Sao Tome and Principe,State,agricultural_drought_fao_1984-2023,75542.64897910076,104865.66544531602,216524.5402317532
CAF,CAF,49,Central African Republic,State,agricultural_drought_fao_1984-2023,705588.748921661,2937655.690099034,5183525.560837803
GNQ,GNQ,76,Equatorial Guinea,State,agricultural_drought_fao_1984-2023,552150.4765978389,806666.0510012305,1832484.2318274712
SLE,SLE,221,Sierra Leone,State,agricultural_drought_fao_1984-2023,2480591.330207405,3843305.6299135946,8473084.115281714
GMB,GMB,90,Gambia,State,agricultural_drought_fao_1984-2023,1214193.4260746846,1288774.4491890026,2698802.3399611125
NER,NER,181,Niger,State,agricultural_drought_fao_1984-2023,11619031.439975608,14377519.89966878,26753611.39018842
GIN,GIN,106,Guinea,State,agricultural_drought_fao_1984-2023,2810527.481453552,6960201.421120352,14547361.200268423
CMR,CMR,45,Cameroon,State,agricultural_drought_fao_1984-2023,7967014.914350416,13805317.027192364,28730853.387374736
CPV,CPV,47,Cape Verde,State,agricultural_drought_fao_1984-2023,0.0,164827.75995643815,501385.47753986326
MLI,MLI,155,Mali,State,agricultural_drought_fao_1984-2023,8835732.772068763,12888878.85697908,24131568.3998254
GNB,GNB,105,Guinea-Bissau,State,agricultural_drought_fao_1984-2023,512209.18436494167,987242.7783076444,2153080.7494400544
MRT,MRT,159,Mauritania,State,agricultural_drought_fao_1984-2023,133921.14622344065,2509836.371586769,5054278.817796941
LBR,LBR,144,Liberia,State,agricultural_drought_fao_1984-2023,943189.8165850444,2592556.2565637743,5456162.01303268
SEN,SEN,278,Senegal,State,agricultural_drought_fao_1984-2023,5832933.117221136,8272207.755110648,18117367.862522725
BFA,BFA,42,Burkina Faso,State,agricultural_drought_fao_1984-2023,9726478.88044006,11452998.510190822,23295771.853971068
CIV,CIV,66,Côte d'Ivoire,State,agricultural_drought_fao_1984-2023,8340191.656122939,15023786.89711138,31498460.333327264
COG,COG,59,Congo,State,agricultural_drought_fao_1984-2023,329003.3982468111,2954338.473768201,6215403.9365353
GAB,GAB,89,Gabon,State,agricultural_drought_fao_1984-2023,346746.2802229081,1027726.1765308188,2446619.770895445
BEN,BEN,29,Benin,State,agricultural_drought_fao_1984-2023,5025636.971754964,6901106.326111015,14303355.685126474
GHA,GHA,94,Ghana,State,agricultural_drought_fao_1984-2023,10460642.238662489,14409017.928483414,34006944.05067461
IDN,IDN,272,Indonesia,State,agricultural_drought_fao_1984-2023,21911075.958178703,81524741.71361357,274772145.5402546
CXR,CXR,54,Christmas Island,Territory,agricultural_drought_fao_1984-2023,0.0,0.0,811.3838603116517
CCK,CCK,56,Cocos (Keeling) Islands,Territory,agricultural_drought_fao_1984-2023,0.0,0.0,0.0
MYT,MYT,161,Mayotte,Territory,agricultural_drought_fao_1984-2023,94806.1791971754,147634.14469493,277282.4937516196
NGA,NGA,182,Nigeria,State,agricultural_drought_fao_1984-2023,92060161.09299394,110644735.87661284,229590634.90543824
TCD,TCD,50,Chad,State,agricultural_drought_fao_1984-2023,4715296.454013411,10561736.399399374,19888346.06861138
COD,COD,68,Democratic Republic of the Congo,State,agricultural_drought_fao_1984-2023,9197567.45479934,56381060.83611682,107219316.18813866
REU,REU,206,Réunion,Territory,agricultural_drought_fao_1984-2023,0.0,224537.72307396837,852714.9809319193
xFR,xFR,1013,Glorioso Islands,Territory,agricultural_drought_fao_1984-2023,0.0,0.0,0.0
xSR,xSR,216,Scarborough Reef,Sovereignty unsettled,agricultural_drought_fao_1984-2023,0.0,0.0,0.0
xUK,xUK,1015,Akrotiri,Territory,agricultural_drought_fao_1984-2023,2745.231490224668,3439.753306853785,22690.938010521924
IOT,IOT,38,Chagos Archipelagio,Territory,agricultural_drought_fao_1984-2023,0.0,0.0,0.0
xSK,xSK,218,Senkaku Islands,Sovereignty unsettled,agricultural_drought_fao_1984-2023,0.0,0.0,0.0
xJK,xJK,285,Jammu and Kashmir,Sovereignty unsettled,agricultural_drought_fao_1984-2023,3799935.8209855855,4724840.357535147,14458474.533882707
xSI,xSI,230,Spratly Islands,Sovereignty unsettled,agricultural_drought_fao_1984-2023,0.0,0.0,0.0
xPI,xPI,193,Paracel Islands,Sovereignty unsettled,agricultural_drought_fao_1984-2023,0.0,86.26219733395412,419.141173358992
xAP,xAP,15,Arunachal Pradesh,Sovereignty unsettled,agricultural_drought_fao_1984-2023,1495.2651073449674,316070.92749032844,978825.6229220572
xxx,xxx,52,China/India,Sovereignty unsettled,agricultural_drought_fao_1984-2023,0.0,732.2037546315175,1583.0022750562512
xAC,xAC,2,Aksai Chin,Sovereignty unsettled,agricultural_drought_fao_1984-2023,0.0,3438.9183999950105,13407.303098457278
LUX,LUX,148,Luxembourg,State,agricultural_drought_fao_1984-2023,444.40065029326456,125880.92999996606,665488.9159145015
BEL,BEL,27,Belgium,State,agricultural_drought_fao_1984-2023,627599.0852868109,2300217.4732490163,11735678.526262924
