ISO3,name,ucode,child_population_exposed
ATA,Antarctica,ATA_V1,0.0
AIA,Anguilla,AIA_V1,0.0
ESH,Western Sahara,ESH_V1,123119.45170461621
PYF,French Polynesia,PYF_V1,0.0
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,0.0
BMU,Bermuda,BMU_V1,0.0
GIB,Gibraltar,GIB_V1,0.0
VGB,British Virgin Islands,VGB_V1,0.0
CYM,Cayman Islands,CYM_V1,0.0
FLK,Falkland Islands (Malvinas),FLK_V1,0.033476000651717186
MSR,Montserrat,MSR_V1,0.0
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,0.0
TKL,Tokelau,TKL_V1,0.0
TCA,Turks and Caicos Islands,TCA_V1,0.0
ASM,American Samoa (USA),ASM_V1,0.0
GUM,Guam (USA),GUM_V1,0.0
VIR,United States Virgin Islands (USA),VIR_V1,0.0
GRL,Greenland,GRL_V1,0.0
EGY,Bi'r Tawīl,EGY1_V1,250.06046407669783
xAP,Arunachal Pradesh,xAP_V1,173189.4046153378
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,0.0
SDN,Hala'ib Triangle,SDN1_V1,1140.706984164398
SSD,Ilemi Triangle,SSD1_V1,2411.752973937656
xAB,Abyei,xAB_V1,82010.04157885874
xAC,Aksai Chin,xAC_V1,372.00414572656155
xJK,Jammu and Kashmir,xJK_V1,4559855.761996349
xJL,Sovereignty unsettled,xJL_V1,23993.035498182548
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,331.924608927337
MAC,Macao,MAC_V1,0.0
HKG,Hong Kong,HKG_V1,497909.0454165011
TWN,Taiwan,TWN_V1,1717271.4325432887
AFG,Afghanistan,AFG_V1,2.0917911658164684E7
AGO,Angola,AGO_V1,1.7981175953631163E7
ALB,Albania,ALB_V1,461047.25151802547
AND,Andorra,AND_V1,0.0
ARE,United Arab Emirates,ARE_V1,1881475.382404626
ARG,Argentina,ARG_V1,4241861.570753039
ARM,Armenia,ARM_V1,678034.3569971074
ATG,Antigua and Barbuda,ATG_V1,0.0
AUS,Australia,AUS_V1,0.9355660002329387
AUT,Austria,AUT_V1,6869.365223496527
AZE,Azerbaijan,AZE_V1,2453254.0829095775
BDI,Burundi,BDI_V1,7242828.227248579
BEL,Belgium,BEL_V1,0.0
BEN,Benin,BEN_V1,6752807.3130180575
BFA,Burkina Faso,BFA_V1,1.1457857154261738E7
BGD,Bangladesh,BGD_V1,5.7222473916602015E7
BGR,Bulgaria,BGR_V1,1105017.609385342
BHR,Bahrain,BHR_V1,115457.23927452267
BHS,Bahamas,BHS_V1,0.0
BIH,Bosnia and Herzegovina,BIH_V1,515232.3908155757
BLR,Belarus,BLR_V1,151215.64949424315
BLZ,Belize,BLZ_V1,68644.59814514242
BOL,Bolivia (Plurinational State of),BOL_V1,4362714.221466558
BRA,Brazil,BRA_V1,1.5366254041473905E7
BRB,Barbados,BRB_V1,0.0
BRN,Brunei Darussalam,BRN_V1,3.2341135002855284
BTN,Bhutan,BTN_V1,208101.259146726
BWA,Botswana,BWA_V1,564742.714726596
CAF,Central African Republic,CAF_V1,2976178.8834117777
CAN,Canada,CAN_V1,234.10515895299613
CHE,Switzerland,CHE_V1,9260.792432910668
CHL,Chile,CHL_V1,3707635.913811423
CHN,China,CHN_V1,2.684241751781696E8
CIV,Côte d'Ivoire,CIV_V1,1.4810498168132927E7
CMR,Cameroon,CMR_V1,1.3708126595816813E7
COD,Democratic Republic of the Congo,COD_V1,5.440572245160632E7
COG,Congo,COG_V1,2934558.664813035
COL,Colombia,COL_V1,1.1905223091472065E7
COM,Comoros,COM_V1,0.0
CPV,Cape Verde,CPV_V1,62228.24253267688
CRI,Costa Rica,CRI_V1,1108873.7494996372
CUB,Cuba,CUB_V1,31108.107872542027
CYP,Cyprus,CYP_V1,163135.89644906757
CZE,Czechia,CZE_V1,624548.1444258626
DEU,Germany,DEU_V1,672.1058511435986
DJI,Djibouti,DJI_V1,160503.00334315366
DMA,Dominica,DMA_V1,0.0
DNK,Denmark,DNK_V1,0.0
DOM,Dominican Republic,DOM_V1,942988.0639681732
DZA,Algeria,DZA_V1,6836477.6264255745
ECU,Ecuador,ECU_V1,4735346.931714542
EGY,Egypt,EGY_V1,4.307101476268774E7
ERI,Eritrea,ERI_V1,1445672.9943580753
ESP,Spain,ESP_V1,230147.57543300206
EST,Estonia,EST_V1,0.0
ETH,Ethiopia,ETH_V1,5.315914434855319E7
FIN,Finland,FIN_V1,0.0
FJI,Fiji,FJI_V1,0.0
FRA,France,FRA_V1,68154.96810266846
FSM,Micronesia (Federated States of),FSM_V1,0.0
GAB,Gabon,GAB_V1,968913.7469708107
