iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
GIB,GIB,95,Gibraltar,Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,0.0,6320.962111463034,28982.67595916449
ESH,ESH,268,Western Sahara,Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,9678.658549438256,148933.8458094825,547515.8079370301
xJL,xJL,1014,Sovereignty unsettled,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,41766.09429358614,117416.10100114328
xAB,xAB,102,Abyei,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,81783.03039833542,139480.9492159389
SHN,SHN,1017,Saint Helena (Gough),Non-Self Governing Territory,coastal_flood_100yr_jrc_2024,0.0,856.1189364393309,5167.243286182641
xIT,SSD,286,Ilemi Triangle,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,2455.25929632516,4821.242805503465
VAT,VAT,110,Holy See,State,coastal_flood_100yr_jrc_2024,0.0,16.458007565666644,572.078255211391
xMS,EGY,283,Bi'r Tawīl,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,0.0,250.06046407669783,319.10018343581555
xHT,SDN,282,Hala'ib Triangle,Sovereignty unsettled,coastal_flood_100yr_jrc_2024,173.46945379301906,4875.063372722408,12153.392899734525
MCO,MCO,166,Monaco,State,coastal_flood_100yr_jrc_2024,0.9540239870548248,5150.670216133552,24611.520356541056
SMR,SMR,213,San Marino,State,coastal_flood_100yr_jrc_2024,0.0,5133.700184291561,32591.888848521667
CYP,CYP,64,Cyprus,State,coastal_flood_100yr_jrc_2024,387.5333943805308,253501.06070479413,1306577.675221098
MLT,MLT,156,Malta,State,coastal_flood_100yr_jrc_2024,61.235482290387154,83308.58843387786,508059.7765252353
AND,AND,7,Andorra,State,coastal_flood_100yr_jrc_2024,0.0,12314.434242769294,81429.70188960501
MUS,MUS,160,Mauritius,State,coastal_flood_100yr_jrc_2024,0.0,241215.58138116557,1248307.5201992372
ISR,ISR,121,Israel,State,coastal_flood_100yr_jrc_2024,408.6017305906862,2525235.7499986435,9088809.509758445
FRA,FRA,85,France,State,coastal_flood_100yr_jrc_2024,115427.30685591324,13310065.17702112,65665394.952451326
SYC,SYC,220,Seychelles,State,coastal_flood_100yr_jrc_2024,0.0,29720.00320191509,107680.01814509738
KEN,KEN,133,Kenya,State,coastal_flood_100yr_jrc_2024,3650.7726226489367,24695923.160650704,55697883.19923063
ESP,ESP,229,Spain,State,coastal_flood_100yr_jrc_2024,9881.1456832183,7424701.040917175,45709518.59673531
TLS,TLS,242,Timor-Leste,State,coastal_flood_100yr_jrc_2024,1564.9508308498189,565995.9888864048,1365395.355152788
PRT,PRT,199,Portugal,State,coastal_flood_100yr_jrc_2024,6031.429940667509,1624803.0371882408,10228127.387623696
THA,THA,240,Thailand,State,coastal_flood_100yr_jrc_2024,40472.69645062312,13243611.669198588,71288672.25113598
MKD,MKD,241,North Macedonia,State,coastal_flood_100yr_jrc_2024,0.0,372490.5697058588,1828061.161859414
ALB,ALB,3,Albania,State,coastal_flood_100yr_jrc_2024,27003.52298031904,574511.4808340941,2783425.0836327416
TUR,TUR,249,Republic of Türkiye,State,coastal_flood_100yr_jrc_2024,17650.841649061607,22276770.081133068,85409189.03409901
MWI,MWI,152,Malawi,State,coastal_flood_100yr_jrc_2024,0.0,10359088.198783085,21411324.39606215
COM,COM,58,Comoros,State,coastal_flood_100yr_jrc_2024,330.1315768383356,371435.77858109714,802614.3376740606
SWZ,SWZ,235,Eswatini,State,coastal_flood_100yr_jrc_2024,0.0,492725.3372446519,1234802.3254113812
UGA,UGA,253,Uganda,State,coastal_flood_100yr_jrc_2024,0.0,25134625.61854001,49341903.8205682
GRC,GRC,97,Greece,State,coastal_flood_100yr_jrc_2024,7310.412539351899,1654436.3195682038,9904165.152781531
RWA,RWA,205,Rwanda,State,coastal_flood_100yr_jrc_2024,0.0,6275485.638842308,14114278.491264649
MDG,MDG,150,Madagascar,State,coastal_flood_100yr_jrc_2024,319290.0209283363,14080000.589749364,30662937.690577693
ERI,ERI,77,Eritrea,State,coastal_flood_100yr_jrc_2024,1975.143676660955,1605340.285013884,3486028.8843210307
LSO,LSO,142,Lesotho,State,coastal_flood_100yr_jrc_2024,0.0,953831.1615944308,2322831.381771127
ZWE,ZWE,271,Zimbabwe,State,coastal_flood_100yr_jrc_2024,0.0,7925949.827485798,16454098.879832966
ZMB,ZMB,270,Zambia,State,coastal_flood_100yr_jrc_2024,0.0,10234008.092047134,21039446.984683145
