ISO3,name,ucode,child_population_exposed
ATA,Antarctica,ATA_V1,0.0
AIA,Anguilla,AIA_V1,0.0
ESH,Western Sahara,ESH_V1,2084.413592601195
PYF,French Polynesia,PYF_V1,0.0
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,0.0
BMU,Bermuda,BMU_V1,0.0
GIB,Gibraltar,GIB_V1,0.0
VGB,British Virgin Islands,VGB_V1,0.0
CYM,Cayman Islands,CYM_V1,0.0
FLK,Falkland Islands (Malvinas),FLK_V1,0.0
MSR,Montserrat,MSR_V1,0.0
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,0.0
TKL,Tokelau,TKL_V1,0.0
TCA,Turks and Caicos Islands,TCA_V1,0.0
ASM,American Samoa (USA),ASM_V1,0.0
GUM,Guam (USA),GUM_V1,0.0
VIR,United States Virgin Islands (USA),VIR_V1,0.0
GRL,Greenland,GRL_V1,0.0
EGY,Bi'r Tawīl,EGY1_V1,0.0
xAP,Arunachal Pradesh,xAP_V1,7540.839620962739
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,0.0
SDN,Hala'ib Triangle,SDN1_V1,0.0
SSD,Ilemi Triangle,SSD1_V1,2415.9940639969363
xAB,Abyei,xAB_V1,23544.571526976426
xAC,Aksai Chin,xAC_V1,0.0
xJK,Jammu and Kashmir,xJK_V1,2014746.571529491
xJL,Sovereignty unsettled,xJL_V1,626.6659061409971
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,0.0
MAC,Macao,MAC_V1,0.0
HKG,Hong Kong,HKG_V1,0.0
TWN,Taiwan,TWN_V1,498594.8986712209
AFG,Afghanistan,AFG_V1,4139711.618201392
AGO,Angola,AGO_V1,2517301.3186254683
ALB,Albania,ALB_V1,325808.4731804356
AND,Andorra,AND_V1,0.0
ARE,United Arab Emirates,ARE_V1,836962.6119499508
ARG,Argentina,ARG_V1,2833401.7348312116
ARM,Armenia,ARM_V1,0.0
ATG,Antigua and Barbuda,ATG_V1,0.0
AUS,Australia,AUS_V1,2884971.3368721525
AUT,Austria,AUT_V1,0.0
AZE,Azerbaijan,AZE_V1,112818.41008016377
BDI,Burundi,BDI_V1,1335532.1328327006
BEL,Belgium,BEL_V1,162307.59171665384
BEN,Benin,BEN_V1,65141.10103467294
BFA,Burkina Faso,BFA_V1,499479.0164359513
BGD,Bangladesh,BGD_V1,2053281.068235053
BGR,Bulgaria,BGR_V1,0.0
BHR,Bahrain,BHR_V1,0.0
BHS,Bahamas,BHS_V1,0.0
BIH,Bosnia and Herzegovina,BIH_V1,34480.31510131414
BLR,Belarus,BLR_V1,0.0
BLZ,Belize,BLZ_V1,469.463505320251
BOL,Bolivia (Plurinational State of),BOL_V1,855952.3530317004
BRA,Brazil,BRA_V1,1.9863608340890724E7
BRB,Barbados,BRB_V1,0.0
BRN,Brunei Darussalam,BRN_V1,0.0
BTN,Bhutan,BTN_V1,3658.8534446867693
BWA,Botswana,BWA_V1,527409.367245371
CAF,Central African Republic,CAF_V1,16168.058596995883
CAN,Canada,CAN_V1,0.0
CHE,Switzerland,CHE_V1,0.0
CHL,Chile,CHL_V1,1182373.7390916143
CHN,China,CHN_V1,7.487739805702545E7
CIV,Côte d'Ivoire,CIV_V1,6125.962264279962
CMR,Cameroon,CMR_V1,187447.77633490396
COD,Democratic Republic of the Congo,COD_V1,1871710.7035609875
COG,Congo,COG_V1,0.0
COL,Colombia,COL_V1,1692603.2831428074
COM,Comoros,COM_V1,0.0
CPV,Cape Verde,CPV_V1,0.0
CRI,Costa Rica,CRI_V1,269919.2497786751
CUB,Cuba,CUB_V1,615068.7123932606
CYP,Cyprus,CYP_V1,0.0
CZE,Czechia,CZE_V1,0.0
DEU,Germany,DEU_V1,0.0
DJI,Djibouti,DJI_V1,16645.154720675127
DMA,Dominica,DMA_V1,0.0
DNK,Denmark,DNK_V1,0.0
DOM,Dominican Republic,DOM_V1,80396.41349295605
DZA,Algeria,DZA_V1,871648.8397013196
ECU,Ecuador,ECU_V1,13478.736942817226
EGY,Egypt,EGY_V1,207958.59077437595
ERI,Eritrea,ERI_V1,555498.7739102453
ESP,Spain,ESP_V1,2472575.4689541273
EST,Estonia,EST_V1,0.0
ETH,Ethiopia,ETH_V1,3.410084986906214E7
FIN,Finland,FIN_V1,0.0
FJI,Fiji,FJI_V1,0.0
FRA,France,FRA_V1,3193332.9250002634
FSM,Micronesia (Federated States of),FSM_V1,0.0
GAB,Gabon,GAB_V1,0.0
GBR,United Kingdom of Great Britain & Northern Ireland,GBR_V1,6046077.42793865
GEO,Georgia,GEO_V1,11662.555638145797
GHA,Ghana,GHA_V1,67755.58694935258
