iso3,adm0_name,adm0_id,hazard,child_population_exposed,child_population_total,population_total
ALB,Albania,3,drought_spei_copernicus_1940-2024,57967.48096240864,574070.9036976197,2785087.9997727955
AND,Andorra,7,drought_spei_copernicus_1940-2024,45.734633984509856,12304.818069803572,81412.69242718244
ATG,Antigua and Barbuda,11,drought_spei_copernicus_1940-2024,0.0,20562.638849978623,90905.73420599812
ARG,Argentina,12,drought_spei_copernicus_1940-2024,7088144.699988856,11994301.257800637,45121022.51053101
AZE,Azerbaijan,19,drought_spei_copernicus_1940-2024,1903037.8121956773,2747050.5515968683,10305347.07231456
BHS,Bahamas,20,drought_spei_copernicus_1940-2024,8482.926057482237,89010.40666834546,378414.52378583257
AUS,Australia,17,drought_spei_copernicus_1940-2024,1708333.791519008,5528341.681829946,25512033.31698145
AUT,Austria,18,drought_spei_copernicus_1940-2024,532936.8784844866,1562149.9661672576,9130605.10845977
BIH,Bosnia and Herzegovina,34,drought_spei_copernicus_1940-2024,65172.2028560464,515900.26829008,3178220.9781453223
BLZ,Belize,28,drought_spei_copernicus_1940-2024,11331.319650158486,133344.09102438632,403465.9522741968
BEL,Belgium,27,drought_spei_copernicus_1940-2024,2097512.4087608885,2300200.967760968,11730335.285806254
BLR,Belarus,26,drought_spei_copernicus_1940-2024,178274.41035814406,1792218.359636827,9086125.035881724
FRA,France,85,drought_spei_copernicus_1940-2024,10994272.293049645,13295575.16083626,65599384.324047
BHR,Bahrain,21,drought_spei_copernicus_1940-2024,350934.5354740924,351169.7106405367,1562977.9903079737
GEO,Georgia,92,drought_spei_copernicus_1940-2024,263289.24018251646,936649.8004560756,3789540.2679977566
DEU,Germany,93,drought_spei_copernicus_1940-2024,2800103.850417893,14040926.618277926,84390282.26212038
BRN,Brunei Darussalam,40,drought_spei_copernicus_1940-2024,0.0,114778.39665357309,452552.1935456375
BWA,Botswana,35,drought_spei_copernicus_1940-2024,3722.441210334249,937762.2783159378,2460012.0798487505
BRA,Brazil,37,drought_spei_copernicus_1940-2024,22934903.55739597,49906114.706173584,207339173.17528924
GAB,Gabon,89,drought_spei_copernicus_1940-2024,614150.7617164981,1061384.3246983562,2481901.429977897
CHN,China,53,drought_spei_copernicus_1940-2024,64472589.45560288,279052166.2172358,1408183585.2313547
CPV,Cape Verde,47,drought_spei_copernicus_1940-2024,0.0,164769.3002462379,500529.7018722176
BGR,Bulgaria,41,drought_spei_copernicus_1940-2024,638542.0330304471,1180648.3503514072,6741985.340096511
GRD,Grenada,99,drought_spei_copernicus_1940-2024,0.0,26596.98526254915,103446.63029357528
GRC,Greece,97,drought_spei_copernicus_1940-2024,86640.17348323071,1614944.9657297018,9640964.082391605
CHL,Chile,51,drought_spei_copernicus_1940-2024,3747473.52376904,4013982.865720749,19256088.45230865
CRI,Costa Rica,61,drought_spei_copernicus_1940-2024,89759.64608220855,1191440.3303437645,5097096.99096888
DNK,Denmark,69,drought_spei_copernicus_1940-2024,326598.6175164265,1128654.178854109,5805348.84307573
CZE,Czechia,65,drought_spei_copernicus_1940-2024,85497.86565442663,2026392.149701571,10797115.170909977
HRV,Croatia,62,drought_spei_copernicus_1940-2024,95862.69734082892,663754.4723186137,3787648.900208083
CYP,Cyprus,64,drought_spei_copernicus_1940-2024,0.0,253506.02494540255,1306726.4242278652
GUY,Guyana,107,drought_spei_copernicus_1940-2024,53876.27639237921,281356.97499740653,806516.1305592475
FIN,Finland,84,drought_spei_copernicus_1940-2024,131393.21498448748,991548.9181989752,5481302.337632742
GNQ,Equatorial Guinea,76,drought_spei_copernicus_1940-2024,556793.3582482083,808399.3588703978,1834492.347763331
EST,Estonia,78,drought_spei_copernicus_1940-2024,14153.63316624798,264505.7840974989,1355890.3274222582
ISR,Israel,121,drought_spei_copernicus_1940-2024,0.0,2536958.630299905,9132753.896187162
HUN,Hungary,113,drought_spei_copernicus_1940-2024,790159.469382036,1702871.456354855,9688358.543239586
VAT,Holy See,110,drought_spei_copernicus_1940-2024,0.0,16.458007565666644,572.078255211391
KIR,Kiribati,135,drought_spei_copernicus_1940-2024,0.0,47860.03345616773,69139.5500224364
KAZ,Kazakhstan,132,drought_spei_copernicus_1940-2024,5600257.289992955,7013864.848751672,20544135.010748625
MLT,Malta,156,drought_spei_copernicus_1940-2024,0.0,82027.04247281347,521203.7170215886
JPN,Japan,126,drought_spei_copernicus_1940-2024,8834977.82271529,17150438.34758559,120696216.10018988
ITA,Italy,122,drought_spei_copernicus_1940-2024,898729.7001404576,8867065.006601652,58821153.23274822
JAM,Jamaica,123,drought_spei_copernicus_1940-2024,0.0,670183.3558462983,2793799.338805232
ISL,Iceland,114,drought_spei_copernicus_1940-2024,10392.180207089965,83771.06821026621,373316.9137436816
IRL,Ireland,119,drought_spei_copernicus_1940-2024,1173300.3434990724,1175298.1692543672,5126029.325195856
LIE,Liechtenstein,146,drought_spei_copernicus_1940-2024,6875.375215402418,6875.375215402418,39265.798917740125
LUX,Luxembourg,148,drought_spei_copernicus_1940-2024,125867.0302164336,125867.0302164336,665461.0224727879
PRY,Paraguay,194,drought_spei_copernicus_1940-2024,2261526.91818992,2361024.731337234,7007412.950467329
LTU,Lithuania,147,drought_spei_copernicus_1940-2024,540.3360393070952,509385.6883266349,2866930.8639708417
MUS,Mauritius,160,drought_spei_copernicus_1940-2024,0.0,241168.37313934063,1248816.2625292933
MHL,Marshall Islands,157,drought_spei_copernicus_1940-2024,0.0,14173.839429793024,15824.26651432398
LVA,Latvia,140,drought_spei_copernicus_1940-2024,17399.636484324637,352447.4739531808,1873820.8873327945
KWT,Kuwait,137,drought_spei_copernicus_1940-2024,48522.09513382375,1065069.932155687,4806398.575371386
POL,Poland,198,drought_spei_copernicus_1940-2024,1021002.3206848511,6980331.054883396,38556795.89185388
QAT,Qatar,201,drought_spei_copernicus_1940-2024,0.0,525150.737422447,3007344.2378927646
PRT,Portugal,199,drought_spei_copernicus_1940-2024,6345.027025122728,1561451.1712607562,9846609.236506822
PAN,Panama,191,drought_spei_copernicus_1940-2024,139432.79621965127,1320561.9096532748,4412833.509139626
PLW,Palau,189,drought_spei_copernicus_1940-2024,397.6154146976559,3711.196084086777,12098.356533180977
NOR,Norway,186,drought_spei_copernicus_1940-2024,468039.460869041,1020170.8165000102,5140974.828135761
OMN,Oman,187,drought_spei_copernicus_1940-2024,531.8239088172559,1426698.528288692,5015295.953208735
NRU,Nauru,173,drought_spei_copernicus_1940-2024,0.0,5059.941487204168,8613.227694908777
NLD,Netherlands,177,drought_spei_copernicus_1940-2024,1449948.7555209885,3317680.67254458,18029909.14211523
MDA,Moldova,165,drought_spei_copernicus_1940-2024,602108.3269908164,714905.6177402586,3053511.398903851
MNG,Mongolia,167,drought_spei_copernicus_1940-2024,43766.47473966215,1283535.6980812475,3451239.787931378
MEX,Mexico,162,drought_spei_copernicus_1940-2024,27662113.85188393,38372192.37058582,128401222.49271417
