iso3,adm0_name,adm0_id,hazard,child_population_exposed,child_population_total,population_total
AUT,Austria,18,drought_spi_copernicus_1940-2024,0.0,1562149.9661672576,9130605.10845977
AUS,Australia,17,drought_spi_copernicus_1940-2024,511.86361493242913,5528341.681829946,25512033.31698145
ATG,Antigua and Barbuda,11,drought_spi_copernicus_1940-2024,6582.164564972021,20562.638849978623,90905.73420599812
ARG,Argentina,12,drought_spi_copernicus_1940-2024,3221211.0048677376,11994301.257800637,45121022.51053101
AND,Andorra,7,drought_spi_copernicus_1940-2024,0.0,12304.818069803572,81412.69242718244
ALB,Albania,3,drought_spi_copernicus_1940-2024,0.0,574070.9036976197,2785087.9997727955
AZE,Azerbaijan,19,drought_spi_copernicus_1940-2024,110832.3261007684,2747050.5515968683,10305347.07231456
BHS,Bahamas,20,drought_spi_copernicus_1940-2024,75445.2923265007,89010.40666834546,378414.52378583257
BHR,Bahrain,21,drought_spi_copernicus_1940-2024,186.37978965762235,351169.7106405367,1562977.9903079737
BLR,Belarus,26,drought_spi_copernicus_1940-2024,0.0,1792218.359636827,9086125.035881724
FRA,France,85,drought_spi_copernicus_1940-2024,913.1790150171636,13295575.16083626,65599384.324047
BLZ,Belize,28,drought_spi_copernicus_1940-2024,4633.9179509814885,133344.09102438632,403465.9522741968
BRA,Brazil,37,drought_spi_copernicus_1940-2024,8119577.292692333,49906114.706173584,207339173.17528924
BEL,Belgium,27,drought_spi_copernicus_1940-2024,0.0,2300200.967760968,11730335.285806254
BWA,Botswana,35,drought_spi_copernicus_1940-2024,40.07642093114555,937762.2783159378,2460012.0798487505
BIH,Bosnia and Herzegovina,34,drought_spi_copernicus_1940-2024,0.0,515900.26829008,3178220.9781453223
IRL,Ireland,119,drought_spi_copernicus_1940-2024,19.03242901788691,1175298.1692543672,5126029.325195856
EST,Estonia,78,drought_spi_copernicus_1940-2024,110.90005322581985,264505.7840974989,1355890.3274222582
HUN,Hungary,113,drought_spi_copernicus_1940-2024,0.0,1702871.456354855,9688358.543239586
ISL,Iceland,114,drought_spi_copernicus_1940-2024,0.0,83771.06821026621,373316.9137436816
DNK,Denmark,69,drought_spi_copernicus_1940-2024,2005.705515412758,1128654.178854109,5805348.84307573
GNQ,Equatorial Guinea,76,drought_spi_copernicus_1940-2024,19798.366057002782,808399.3588703978,1834492.347763331
CZE,Czechia,65,drought_spi_copernicus_1940-2024,0.0,2026392.149701571,10797115.170909977
VAT,Holy See,110,drought_spi_copernicus_1940-2024,0.0,16.458007565666644,572.078255211391
CYP,Cyprus,64,drought_spi_copernicus_1940-2024,354.1489371155709,253506.02494540255,1306726.4242278652
CHL,Chile,51,drought_spi_copernicus_1940-2024,86959.24389435092,4013982.865720749,19256088.45230865
GUY,Guyana,107,drought_spi_copernicus_1940-2024,265.72024231310934,281356.97499740653,806516.1305592475
HRV,Croatia,62,drought_spi_copernicus_1940-2024,1443.279582777126,663754.4723186137,3787648.900208083
FIN,Finland,84,drought_spi_copernicus_1940-2024,97.946690071998,991548.9181989752,5481302.337632742
CRI,Costa Rica,61,drought_spi_copernicus_1940-2024,1454.919977648717,1191440.3303437645,5097096.99096888
GRC,Greece,97,drought_spi_copernicus_1940-2024,12029.180438564874,1614944.9657297018,9640964.082391605
GRD,Grenada,99,drought_spi_copernicus_1940-2024,23920.64037255897,26596.98526254915,103446.63029357528
CHN,China,53,drought_spi_copernicus_1940-2024,1996883.5521275655,279052166.2172358,1408183585.2313547
BGR,Bulgaria,41,drought_spi_copernicus_1940-2024,559.9888600779311,1180648.3503514072,6741985.340096511
CPV,Cape Verde,47,drought_spi_copernicus_1940-2024,39865.17540318056,164769.3002462379,500529.7018722176
BRN,Brunei Darussalam,40,drought_spi_copernicus_1940-2024,0.0,114778.39665357309,452552.1935456375
DEU,Germany,93,drought_spi_copernicus_1940-2024,273.69107835540694,14040926.618277926,84390282.26212038
GEO,Georgia,92,drought_spi_copernicus_1940-2024,232.45111525352388,936649.8004560756,3789540.2679977566
GAB,Gabon,89,drought_spi_copernicus_1940-2024,2143.4693514217206,1061384.3246983562,2481901.429977897
KAZ,Kazakhstan,132,drought_spi_copernicus_1940-2024,93.63565866260755,7013864.848751672,20544135.010748625
MLT,Malta,156,drought_spi_copernicus_1940-2024,48072.47671232272,82027.04247281347,521203.7170215886
JPN,Japan,126,drought_spi_copernicus_1940-2024,18057.11650038566,17150438.34758559,120696216.10018988
JAM,Jamaica,123,drought_spi_copernicus_1940-2024,2116.368250164141,670183.3558462983,2793799.338805232
ISR,Israel,121,drought_spi_copernicus_1940-2024,0.0,2536958.630299905,9132753.896187162
ITA,Italy,122,drought_spi_copernicus_1940-2024,27599.694246724,8867065.006601652,58821153.23274822
PRY,Paraguay,194,drought_spi_copernicus_1940-2024,552884.6803033097,2361024.731337234,7007412.950467329
MUS,Mauritius,160,drought_spi_copernicus_1940-2024,46434.32468866778,241168.37313934063,1248816.2625292933
MHL,Marshall Islands,157,drought_spi_copernicus_1940-2024,14173.839429793024,14173.839429793024,15824.26651432398
LVA,Latvia,140,drought_spi_copernicus_1940-2024,1.3174429917472923,352447.4739531808,1873820.8873327945
KIR,Kiribati,135,drought_spi_copernicus_1940-2024,47860.03345616772,47860.03345616773,69139.5500224364
KWT,Kuwait,137,drought_spi_copernicus_1940-2024,8.508563070979847,1065069.932155687,4806398.575371386
MDV,Maldives,154,drought_spi_copernicus_1940-2024,59349.66565709454,59349.66565709454,163271.1006168642
LUX,Luxembourg,148,drought_spi_copernicus_1940-2024,0.0,125867.0302164336,665461.0224727879
LTU,Lithuania,147,drought_spi_copernicus_1940-2024,0.0,509385.6883266349,2866930.8639708417
LIE,Liechtenstein,146,drought_spi_copernicus_1940-2024,0.0,6875.375215402418,39265.798917740125
NRU,Nauru,173,drought_spi_copernicus_1940-2024,5059.941487204168,5059.941487204168,8613.227694908777
