ISO3,name,ucode,child_population_exposed
ATA,Antarctica,ATA_V1,0.0
AIA,Anguilla,AIA_V1,0.0
ESH,Western Sahara,ESH_V1,79567.81773468615
PYF,French Polynesia,PYF_V1,6010.846480125071
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,0.0
BMU,Bermuda,BMU_V1,1977.8808983607912
GIB,Gibraltar,GIB_V1,0.0
VGB,British Virgin Islands,VGB_V1,0.0
CYM,Cayman Islands,CYM_V1,603.5913508988555
FLK,Falkland Islands (Malvinas),FLK_V1,0.0
MSR,Montserrat,MSR_V1,0.0
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,285.96434910434493
TKL,Tokelau,TKL_V1,0.0
TCA,Turks and Caicos Islands,TCA_V1,0.0
ASM,American Samoa (USA),ASM_V1,0.0
GUM,Guam (USA),GUM_V1,47990.331312001275
VIR,United States Virgin Islands (USA),VIR_V1,0.0
GRL,Greenland,GRL_V1,0.0
EGY,Bi'r Tawīl,EGY1_V1,250.06046407669783
xAP,Arunachal Pradesh,xAP_V1,81654.0269075295
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,504.34842237856276
SDN,Hala'ib Triangle,SDN1_V1,4300.84030768308
SSD,Ilemi Triangle,SSD1_V1,2416.2829129930988
xAB,Abyei,xAB_V1,4120.442881701039
xAC,Aksai Chin,xAC_V1,1032.5969591751623
xJK,Jammu and Kashmir,xJK_V1,4724108.986423371
xJL,Sovereignty unsettled,xJL_V1,23993.03549818256
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,705.1986837635437
MAC,Macao,MAC_V1,0.0
HKG,Hong Kong,HKG_V1,0.0
TWN,Taiwan,TWN_V1,8221.409523902228
AFG,Afghanistan,AFG_V1,1.4702731134327287E7
AGO,Angola,AGO_V1,1494876.40442843
ALB,Albania,ALB_V1,741.5528763355902
AND,Andorra,AND_V1,0.0
ARE,United Arab Emirates,ARE_V1,1649654.370680368
ARG,Argentina,ARG_V1,2832630.2449898045
ARM,Armenia,ARM_V1,691690.5468126968
ATG,Antigua and Barbuda,ATG_V1,0.0
AUS,Australia,AUS_V1,4651012.355467303
AUT,Austria,AUT_V1,333533.31286739465
AZE,Azerbaijan,AZE_V1,2732515.1230291557
BDI,Burundi,BDI_V1,7209218.500330338
BEL,Belgium,BEL_V1,0.0
BEN,Benin,BEN_V1,5670562.8813577015
BFA,Burkina Faso,BFA_V1,1.1372876951407343E7
BGD,Bangladesh,BGD_V1,3.696598928490356E7
BGR,Bulgaria,BGR_V1,270180.99224526115
BHR,Bahrain,BHR_V1,0.0
BHS,Bahamas,BHS_V1,68810.5643097524
BIH,Bosnia and Herzegovina,BIH_V1,100632.33922671975
BLR,Belarus,BLR_V1,0.0
BLZ,Belize,BLZ_V1,6672.237722395293
BOL,Bolivia (Plurinational State of),BOL_V1,1995233.0346374605
BRA,Brazil,BRA_V1,1.714436934797247E7
BRB,Barbados,BRB_V1,0.0
BRN,Brunei Darussalam,BRN_V1,80379.86325844438
BTN,Bhutan,BTN_V1,31395.313974921766
BWA,Botswana,BWA_V1,686839.6527432915
CAF,Central African Republic,CAF_V1,1179202.837357349
CAN,Canada,CAN_V1,2563698.8368618293
CHE,Switzerland,CHE_V1,206798.32566722794
CHL,Chile,CHL_V1,276664.74078064493
CHN,China,CHN_V1,2.4966671213751122E8
CIV,Côte d'Ivoire,CIV_V1,1.0366140310147243E7
CMR,Cameroon,CMR_V1,5803481.5809543105
COD,Democratic Republic of the Congo,COD_V1,3.1315822173299436E7
COG,Congo,COG_V1,2460782.090607206
COL,Colombia,COL_V1,6035033.86230461
COM,Comoros,COM_V1,300913.2983250435
CPV,Cape Verde,CPV_V1,135899.20147889646
CRI,Costa Rica,CRI_V1,650745.8734538478
CUB,Cuba,CUB_V1,817685.4233417488
CYP,Cyprus,CYP_V1,212618.5241770622
CZE,Czechia,CZE_V1,356069.6344065545
DEU,Germany,DEU_V1,216970.94628830638
DJI,Djibouti,DJI_V1,397213.3088139524
DMA,Dominica,DMA_V1,4153.404628199164
DNK,Denmark,DNK_V1,0.0
DOM,Dominican Republic,DOM_V1,1273.0580825875786
DZA,Algeria,DZA_V1,1036574.2776505739
ECU,Ecuador,ECU_V1,5043860.115702327
EGY,Egypt,EGY_V1,4.2308961701873906E7
ERI,Eritrea,ERI_V1,1451336.0363730495
ESP,Spain,ESP_V1,2123026.9972247803
EST,Estonia,EST_V1,0.0
ETH,Ethiopia,ETH_V1,4.754074990782357E7
FIN,Finland,FIN_V1,0.0
FJI,Fiji,FJI_V1,169686.8891138378
FRA,France,FRA_V1,2759389.7882828065
FSM,Micronesia (Federated States of),FSM_V1,0.0
