iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
GIB,GIB,95,Gibraltar,Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,6320.962111463034,28982.67595916449
ESH,ESH,268,Western Sahara,Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,60568.85701068284,148933.8458094825,547515.8079370301
xJL,xJL,1014,Sovereignty unsettled,Sovereignty unsettled,extreme_heat_ecmwf_2014-2024,0.0,41766.09429358614,117416.10100114328
xAB,xAB,102,Abyei,Sovereignty unsettled,extreme_heat_ecmwf_2014-2024,81783.03039833542,81783.03039833542,139480.9492159389
SHN,SHN,1017,Saint Helena (Gough),Non-Self Governing Territory,extreme_heat_ecmwf_2014-2024,0.0,856.1189364393309,5167.243286182641
xIT,SSD,286,Ilemi Triangle,Sovereignty unsettled,extreme_heat_ecmwf_2014-2024,2455.25929632516,2455.25929632516,4821.242805503465
VAT,VAT,110,Holy See,State,extreme_heat_ecmwf_2014-2024,0.0,16.458007565666644,572.078255211391
xMS,EGY,283,Bi'r Tawīl,Sovereignty unsettled,extreme_heat_ecmwf_2014-2024,250.06046407669783,250.06046407669783,319.10018343581555
xHT,SDN,282,Hala'ib Triangle,Sovereignty unsettled,extreme_heat_ecmwf_2014-2024,4835.969953371081,4875.063372722408,12153.392899734525
MCO,MCO,166,Monaco,State,extreme_heat_ecmwf_2014-2024,0.0,5150.670216133552,24611.520356541056
SMR,SMR,213,San Marino,State,extreme_heat_ecmwf_2014-2024,0.0,5133.700184291561,32591.888848521667
CYP,CYP,64,Cyprus,State,extreme_heat_ecmwf_2014-2024,119610.86690246603,253501.06070479413,1306577.675221098
MLT,MLT,156,Malta,State,extreme_heat_ecmwf_2014-2024,0.0,83308.58843387786,508059.7765252353
AND,AND,7,Andorra,State,extreme_heat_ecmwf_2014-2024,0.0,12314.434242769294,81429.70188960501
MUS,MUS,160,Mauritius,State,extreme_heat_ecmwf_2014-2024,0.0,241215.58138116557,1248307.5201992372
ISR,ISR,121,Israel,State,extreme_heat_ecmwf_2014-2024,577473.8203030997,2525235.7499986435,9088809.509758445
FRA,FRA,85,France,State,extreme_heat_ecmwf_2014-2024,0.0,13310065.17702112,65665394.952451326
SYC,SYC,220,Seychelles,State,extreme_heat_ecmwf_2014-2024,0.0,29720.00320191509,107680.01814509738
KEN,KEN,133,Kenya,State,extreme_heat_ecmwf_2014-2024,2542652.8048805,24695923.160650704,55697883.19923063
ESP,ESP,229,Spain,State,extreme_heat_ecmwf_2014-2024,2188670.2416242147,7424701.040917175,45709518.59673531
TLS,TLS,242,Timor-Leste,State,extreme_heat_ecmwf_2014-2024,0.0,565995.9888864048,1365395.355152788
PRT,PRT,199,Portugal,State,extreme_heat_ecmwf_2014-2024,76610.93903442129,1624803.0371882408,10228127.387623696
THA,THA,240,Thailand,State,extreme_heat_ecmwf_2014-2024,10561860.679002272,13243611.669198588,71288672.25113598
MKD,MKD,241,North Macedonia,State,extreme_heat_ecmwf_2014-2024,24828.481499250604,372490.5697058588,1828061.161859414
ALB,ALB,3,Albania,State,extreme_heat_ecmwf_2014-2024,5977.984197396232,574511.4808340941,2783425.0836327416
TUR,TUR,249,Republic of Türkiye,State,extreme_heat_ecmwf_2014-2024,6602509.690646758,22276770.081133068,85409189.03409901
MWI,MWI,152,Malawi,State,extreme_heat_ecmwf_2014-2024,820907.9200659194,10359088.198783085,21411324.39606215
COM,COM,58,Comoros,State,extreme_heat_ecmwf_2014-2024,0.0,371435.77858109714,802614.3376740606
SWZ,SWZ,235,Eswatini,State,extreme_heat_ecmwf_2014-2024,86383.18236942601,492725.3372446519,1234802.3254113812
UGA,UGA,253,Uganda,State,extreme_heat_ecmwf_2014-2024,2477687.0406851843,25134625.61854001,49341903.8205682
GRC,GRC,97,Greece,State,extreme_heat_ecmwf_2014-2024,161705.23332243724,1654436.3195682038,9904165.152781531
RWA,RWA,205,Rwanda,State,extreme_heat_ecmwf_2014-2024,0.0,6275485.638842308,14114278.491264649
MDG,MDG,150,Madagascar,State,extreme_heat_ecmwf_2014-2024,2242112.4654043,14080000.589749364,30662937.690577693
ERI,ERI,77,Eritrea,State,extreme_heat_ecmwf_2014-2024,772376.4076957753,1605340.285013884,3486028.8843210307
LSO,LSO,142,Lesotho,State,extreme_heat_ecmwf_2014-2024,0.0,953831.1615944308,2322831.381771127
ZWE,ZWE,271,Zimbabwe,State,extreme_heat_ecmwf_2014-2024,1755025.8078985831,7925949.827485798,16454098.879832966
ZMB,ZMB,270,Zambia,State,extreme_heat_ecmwf_2014-2024,1544739.7573563682,10234008.092047134,21039446.984683145
SSD,SSD,287,South Sudan,State,extreme_heat_ecmwf_2014-2024,5416606.104032362,5565488.362447016,11783073.744321762
AUS,AUS,17,Australia,State,extreme_heat_ecmwf_2014-2024,531872.2109041879,5499542.035066412,25397473.732017536
MOZ,MOZ,170,Mozambique,State,extreme_heat_ecmwf_2014-2024,6185466.534295452,17310330.699203636,33712198.55763355
ZAF,ZAF,227,South Africa,State,extreme_heat_ecmwf_2014-2024,1705306.044301945,19655007.77025935,63190561.02224362
NAM,NAM,172,Namibia,State,extreme_heat_ecmwf_2014-2024,929829.6802737652,1268826.798718887,2950947.7825267026
BWA,BWA,35,Botswana,State,extreme_heat_ecmwf_2014-2024,878701.9743453065,941947.7751194158,2474286.5822120337
ETH,ETH,79,Ethiopia,State,extreme_heat_ecmwf_2014-2024,5386373.611655078,60012523.18200912,130467249.22084711
BDI,BDI,43,Burundi,State,extreme_heat_ecmwf_2014-2024,0.0,7250305.555743556,13877805.40275468
SOM,SOM,226,Somalia,State,extreme_heat_ecmwf_2014-2024,4862519.732664067,9233126.314953228,17942035.477664348
AGO,AGO,8,Angola,State,extreme_heat_ecmwf_2014-2024,2754403.536974382,18697013.117849424,36677663.43804505
TZA,TZA,257,United Republic of Tanzania,State,extreme_heat_ecmwf_2014-2024,509406.1453311672,33130274.79830369,67073520.83656046
PSE,PSE,3000,State of Palestine,State,extreme_heat_ecmwf_2014-2024,584744.3280118317,2444198.964960631,5405340.641877392
LBY,LBY,145,Libya,State,extreme_heat_ecmwf_2014-2024,1578293.5350623636,2356638.171646259,7022794.066556983
DJI,DJI,70,Djibouti,State,extreme_heat_ecmwf_2014-2024,193715.30843112268,408368.2130373666,1114602.9636987098
BRA,BRA,37,Brazil,State,extreme_heat_ecmwf_2014-2024,13314488.329532722,49876676.87962091,207346457.64160904
LBN,LBN,141,Lebanon,State,extreme_heat_ecmwf_2014-2024,1307.2128209032808,1848836.920784989,5712309.3572406
JOR,JOR,130,Jordan,State,extreme_heat_ecmwf_2014-2024,3285998.194048132,4258481.420526452,11524558.162343549
MAR,MAR,169,Morocco,State,extreme_heat_ecmwf_2014-2024,6337255.82014046,11603413.342636012,37562571.69452273
SYR,SYR,238,Syrian Arab Republic,State,extreme_heat_ecmwf_2014-2024,7377427.300719425,8833088.122707725,23915629.34854489
SDN,SDN,280,Sudan,State,extreme_heat_ecmwf_2014-2024,23328152.119036883,23488029.045502547,49911281.58073561
SAU,SAU,215,Saudi Arabia,State,extreme_heat_ecmwf_2014-2024,8441024.686776046,9328833.826892264,32945916.14528758
EGY,EGY,284,Egypt,State,extreme_heat_ecmwf_2014-2024,38949130.81393512,43376419.52835636,114454361.4192514
YEM,YEM,269,Yemen,State,extreme_heat_ecmwf_2014-2024,5411918.700300781,18814808.98563314,39572946.35670203
TUN,TUN,248,Tunisia,State,extreme_heat_ecmwf_2014-2024,2420160.973464778,3504858.494188296,12116869.540838895
DZA,DZA,4,Algeria,State,extreme_heat_ecmwf_2014-2024,11352236.30738668,16175632.459756386,45659901.1577073
STP,STP,214,Sao Tome and Principe,State,extreme_heat_ecmwf_2014-2024,0.0,104865.66544531602,216524.5402317532
MDV,MDV,154,Maldives,State,extreme_heat_ecmwf_2014-2024,0.0,110809.98496625746,245759.77551621463
TGO,TGO,243,Togo,State,extreme_heat_ecmwf_2014-2024,2699786.522007372,4349295.341023058,9364149.79302982
GNQ,GNQ,76,Equatorial Guinea,State,extreme_heat_ecmwf_2014-2024,0.0,806666.0510012305,1832484.2318274712
CAF,CAF,49,Central African Republic,State,extreme_heat_ecmwf_2014-2024,2783743.1232943265,2937655.690099033,5183525.560837803
NER,NER,181,Niger,State,extreme_heat_ecmwf_2014-2024,14375322.150959171,14377519.899668785,26753611.39018842
GIN,GIN,106,Guinea,State,extreme_heat_ecmwf_2014-2024,4451669.458849655,6960201.42112035,14547361.200268423
SLE,SLE,221,Sierra Leone,State,extreme_heat_ecmwf_2014-2024,2514007.461824585,3843305.6299135946,8473084.115281714
GMB,GMB,90,Gambia,State,extreme_heat_ecmwf_2014-2024,823504.3628547238,1288774.4491890026,2698802.3399611125
GNB,GNB,105,Guinea-Bissau,State,extreme_heat_ecmwf_2014-2024,832204.717522047,987242.7783076442,2153080.7494400544
MLI,MLI,155,Mali,State,extreme_heat_ecmwf_2014-2024,12888878.85697908,12888878.856979078,24131568.3998254
GAB,GAB,89,Gabon,State,extreme_heat_ecmwf_2014-2024,0.0,1027726.1765308188,2446619.770895445
CPV,CPV,47,Cape Verde,State,extreme_heat_ecmwf_2014-2024,0.0,164827.75995643815,501385.47753986326
CMR,CMR,45,Cameroon,State,extreme_heat_ecmwf_2014-2024,5474798.250237321,13805317.027192367,28730853.387374736
GHA,GHA,94,Ghana,State,extreme_heat_ecmwf_2014-2024,7665045.567548795,14409017.928483415,34006944.05067461
BEN,BEN,29,Benin,State,extreme_heat_ecmwf_2014-2024,5064518.531204128,6901106.326111014,14303355.685126474
BFA,BFA,42,Burkina Faso,State,extreme_heat_ecmwf_2014-2024,11452998.51019082,11452998.510190822,23295771.853971068
MRT,MRT,159,Mauritania,State,extreme_heat_ecmwf_2014-2024,2117763.7025260585,2509836.371586768,5054278.81779694
CIV,CIV,66,Côte d'Ivoire,State,extreme_heat_ecmwf_2014-2024,6470684.6782899415,15023786.89711138,31498460.333327264
LBR,LBR,144,Liberia,State,extreme_heat_ecmwf_2014-2024,4327.0627100690845,2592556.2565637752,5456162.01303268
SEN,SEN,278,Senegal,State,extreme_heat_ecmwf_2014-2024,5931630.043829954,8272207.755110648,18117367.862522725
TCD,TCD,50,Chad,State,extreme_heat_ecmwf_2014-2024,10375054.334755875,10561736.399399374,19888346.06861138
COD,COD,68,Democratic Republic of the Congo,State,extreme_heat_ecmwf_2014-2024,10869462.735759247,56381060.83611684,107219316.18813863
NGA,NGA,182,Nigeria,State,extreme_heat_ecmwf_2014-2024,93140956.76975204,110644735.8766128,229590634.90543824
CCK,CCK,56,Cocos (Keeling) Islands,Territory,extreme_heat_ecmwf_2014-2024,0.0,0.0,0.0
MYT,MYT,161,Mayotte,Territory,extreme_heat_ecmwf_2014-2024,0.0,147634.14469493,277282.4937516196
IOT,IOT,38,Chagos Archipelagio,Territory,extreme_heat_ecmwf_2014-2024,0.0,0.0,0.0
xUK,xUK,1015,Akrotiri,Territory,extreme_heat_ecmwf_2014-2024,3.0102875384623093,3439.753306853785,22690.938010521924
REU,REU,206,Réunion,Territory,extreme_heat_ecmwf_2014-2024,0.0,224537.72307396837,852714.9809319193
