iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
GIB,GIB,95,Gibraltar,Non-Self Governing Territory,fire_FRP_nasa_2001-2024,230.5125864294814,6320.962111463034,28982.67595916449
ESH,ESH,268,Western Sahara,Non-Self Governing Territory,fire_FRP_nasa_2001-2024,0.0,148933.8458094825,547515.8079370301
xJL,xJL,1014,Sovereignty unsettled,Sovereignty unsettled,fire_FRP_nasa_2001-2024,148.76565763769196,41766.09429358614,117416.10100114328
xAB,xAB,102,Abyei,Sovereignty unsettled,fire_FRP_nasa_2001-2024,16919.94183079367,81783.03039833542,139480.9492159389
SHN,SHN,1017,Saint Helena (Gough),Non-Self Governing Territory,fire_FRP_nasa_2001-2024,0.0,856.1189364393309,5167.243286182641
xIT,SSD,286,Ilemi Triangle,Sovereignty unsettled,fire_FRP_nasa_2001-2024,169.72998937498778,2455.25929632516,4821.242805503465
VAT,VAT,110,Holy See,State,fire_FRP_nasa_2001-2024,0.0,16.458007565666644,572.078255211391
xMS,EGY,283,Bi'r Tawīl,Sovereignty unsettled,fire_FRP_nasa_2001-2024,0.0,250.06046407669783,319.10018343581555
xHT,SDN,282,Hala'ib Triangle,Sovereignty unsettled,fire_FRP_nasa_2001-2024,0.0,4875.063372722408,12153.392899734525
MCO,MCO,166,Monaco,State,fire_FRP_nasa_2001-2024,0.0,5150.670216133552,24611.520356541056
SMR,SMR,213,San Marino,State,fire_FRP_nasa_2001-2024,0.0,5133.700184291561,32591.888848521667
CYP,CYP,64,Cyprus,State,fire_FRP_nasa_2001-2024,14579.18105218934,253501.06070479413,1306577.675221098
MLT,MLT,156,Malta,State,fire_FRP_nasa_2001-2024,9826.017091583322,83308.58843387786,508059.7765252353
AND,AND,7,Andorra,State,fire_FRP_nasa_2001-2024,0.0854820003733038,12314.434242769294,81429.70188960501
MUS,MUS,160,Mauritius,State,fire_FRP_nasa_2001-2024,22517.917088070884,241215.58138116557,1248307.5201992372
ISR,ISR,121,Israel,State,fire_FRP_nasa_2001-2024,261301.6479779573,2525235.7499986435,9088809.509758445
FRA,FRA,85,France,State,fire_FRP_nasa_2001-2024,431910.2306080775,13310065.17702112,65665394.952451326
SYC,SYC,220,Seychelles,State,fire_FRP_nasa_2001-2024,0.0,29720.00320191509,107680.01814509738
KEN,KEN,133,Kenya,State,fire_FRP_nasa_2001-2024,2141371.529509211,24695923.160650704,55697883.19923063
ESP,ESP,229,Spain,State,fire_FRP_nasa_2001-2024,663873.7026718699,7424701.040917175,45709518.59673531
TLS,TLS,242,Timor-Leste,State,fire_FRP_nasa_2001-2024,22772.38825323976,565995.9888864048,1365395.355152788
PRT,PRT,199,Portugal,State,fire_FRP_nasa_2001-2024,434844.8005208132,1624803.0371882408,10228127.387623696
THA,THA,240,Thailand,State,fire_FRP_nasa_2001-2024,216670.0859346221,13243611.669198588,71288672.25113598
MKD,MKD,241,North Macedonia,State,fire_FRP_nasa_2001-2024,30835.05795063965,372490.5697058588,1828061.161859414
ALB,ALB,3,Albania,State,fire_FRP_nasa_2001-2024,22534.60260288329,574511.4808340941,2783425.0836327416
TUR,TUR,249,Republic of Türkiye,State,fire_FRP_nasa_2001-2024,847043.79902226,22276770.081133068,85409189.03409901
MWI,MWI,152,Malawi,State,fire_FRP_nasa_2001-2024,135791.7658204072,10359088.198783085,21411324.39606215
COM,COM,58,Comoros,State,fire_FRP_nasa_2001-2024,27.746335715055466,371435.77858109714,802614.3376740606
SWZ,SWZ,235,Eswatini,State,fire_FRP_nasa_2001-2024,76187.62672864908,492725.3372446519,1234802.3254113812
UGA,UGA,253,Uganda,State,fire_FRP_nasa_2001-2024,1086103.3790998852,25134625.61854001,49341903.8205682
GRC,GRC,97,Greece,State,fire_FRP_nasa_2001-2024,366910.733084361,1654436.3195682038,9904165.152781531
RWA,RWA,205,Rwanda,State,fire_FRP_nasa_2001-2024,170608.43710797792,6275485.638842308,14114278.491264649
MDG,MDG,150,Madagascar,State,fire_FRP_nasa_2001-2024,767744.303155091,14080000.589749364,30662937.690577693
ERI,ERI,77,Eritrea,State,fire_FRP_nasa_2001-2024,32534.29813213255,1605340.285013884,3486028.8843210307
LSO,LSO,142,Lesotho,State,fire_FRP_nasa_2001-2024,45316.21724572888,953831.1615944308,2322831.381771127
ZWE,ZWE,271,Zimbabwe,State,fire_FRP_nasa_2001-2024,785236.6859199752,7925949.827485798,16454098.879832966
ZMB,ZMB,270,Zambia,State,fire_FRP_nasa_2001-2024,887856.2448405597,10234008.092047134,21039446.984683145
SSD,SSD,287,South Sudan,State,fire_FRP_nasa_2001-2024,1252905.2498240117,5565488.362447016,11783073.744321762
AUS,AUS,17,Australia,State,fire_FRP_nasa_2001-2024,496418.1610836592,5499542.035066412,25397473.732017536
MOZ,MOZ,170,Mozambique,State,fire_FRP_nasa_2001-2024,1669759.3794882186,17310330.699203636,33712198.55763355
ZAF,ZAF,227,South Africa,State,fire_FRP_nasa_2001-2024,2072095.9667786376,19655007.77025935,63190561.02224362
NAM,NAM,172,Namibia,State,fire_FRP_nasa_2001-2024,145638.55575905036,1268826.798718887,2950947.7825267026
BWA,BWA,35,Botswana,State,fire_FRP_nasa_2001-2024,193972.03892597483,941947.7751194158,2474286.5822120337
ETH,ETH,79,Ethiopia,State,fire_FRP_nasa_2001-2024,3114334.4115071823,60012523.18200912,130467249.22084711
BDI,BDI,43,Burundi,State,fire_FRP_nasa_2001-2024,289867.3664109448,7250305.555743556,13877805.40275468
SOM,SOM,226,Somalia,State,fire_FRP_nasa_2001-2024,349592.8701718896,9233126.314953228,17942035.477664348
AGO,AGO,8,Angola,State,fire_FRP_nasa_2001-2024,1347390.4741349225,18697013.117849424,36677663.43804505
TZA,TZA,257,United Republic of Tanzania,State,fire_FRP_nasa_2001-2024,1842147.7476421776,33130274.79830369,67073520.83656046
PSE,PSE,3000,State of Palestine,State,fire_FRP_nasa_2001-2024,55917.00035719437,2444198.964960631,5405340.641877392
LBY,LBY,145,Libya,State,fire_FRP_nasa_2001-2024,147963.48521352917,2356638.171646259,7022794.066556983
DJI,DJI,70,Djibouti,State,fire_FRP_nasa_2001-2024,2959.2182558056184,408368.2130373666,1114602.9636987098
