iso3,adm0_name,adm0_id,hazard,child_population_exposed,child_population_total,population_total
ARG,Argentina,12,fire_frequency_nasa_2001-2023,1275693.959311577,11994301.257800624,45121022.51053101
AND,Andorra,7,fire_frequency_nasa_2001-2023,0.0,12304.818069803572,81412.69242718244
ALB,Albania,3,fire_frequency_nasa_2001-2023,12538.800625990432,574070.9036976197,2785087.9997727955
ATG,Antigua and Barbuda,11,fire_frequency_nasa_2001-2023,0.0,20562.638849978623,90905.73420599812
AUS,Australia,17,fire_frequency_nasa_2001-2023,312989.0258278406,5528341.681829943,25512033.316981453
AUT,Austria,18,fire_frequency_nasa_2001-2023,11994.714180334297,1562149.966167258,9130605.10845977
BRA,Brazil,37,fire_frequency_nasa_2001-2023,2426247.094231624,49906114.706173696,207339173.17528924
GAB,Gabon,89,fire_frequency_nasa_2001-2023,18387.773797997168,1061384.324698356,2481901.429977897
BIH,Bosnia and Herzegovina,34,fire_frequency_nasa_2001-2023,11729.646938226497,515900.2682900799,3178220.9781453223
BWA,Botswana,35,fire_frequency_nasa_2001-2023,38999.3841339431,937762.2783159382,2460012.0798487505
BLZ,Belize,28,fire_frequency_nasa_2001-2023,7629.243765166024,133344.0910243863,403465.9522741968
BEL,Belgium,27,fire_frequency_nasa_2001-2023,59801.686443494735,2300200.967760968,11730335.285806254
BLR,Belarus,26,fire_frequency_nasa_2001-2023,19284.135814758607,1792218.359636827,9086125.035881724
FRA,France,85,fire_frequency_nasa_2001-2023,125593.64443252372,13295575.160836268,65599384.324047
AZE,Azerbaijan,19,fire_frequency_nasa_2001-2023,15720.651146109183,2747050.551596869,10305347.07231456
BHS,Bahamas,20,fire_frequency_nasa_2001-2023,816.7235801737618,89010.40666834547,378414.52378583257
BHR,Bahrain,21,fire_frequency_nasa_2001-2023,0.0,351169.7106405367,1562977.9903079737
CHN,China,53,fire_frequency_nasa_2001-2023,11055352.424846647,279052166.2172357,1408183585.2313547
GRC,Greece,97,fire_frequency_nasa_2001-2023,76653.69397001925,1614944.9657297018,9640964.082391605
GRD,Grenada,99,fire_frequency_nasa_2001-2023,0.0,26596.98526254915,103446.63029357528
CAN,Canada,46,fire_frequency_nasa_2001-2023,42768.78734096773,7173042.674087338,38864338.175458856
CHL,Chile,51,fire_frequency_nasa_2001-2023,360053.46545916505,4013982.865720747,19256088.45230865
CPV,Cape Verde,47,fire_frequency_nasa_2001-2023,240.57840804755688,164769.3002462379,500529.7018722176
BGR,Bulgaria,41,fire_frequency_nasa_2001-2023,8778.020584253056,1180648.3503514077,6741985.340096511
BRN,Brunei Darussalam,40,fire_frequency_nasa_2001-2023,9300.746698072608,114778.39665357309,452552.1935456375
GEO,Georgia,92,fire_frequency_nasa_2001-2023,5508.939983215534,936649.8004560758,3789540.2679977566
DEU,Germany,93,fire_frequency_nasa_2001-2023,93149.85583609431,14040926.618277924,84390282.26212038
EST,Estonia,78,fire_frequency_nasa_2001-2023,1249.5605007764657,264505.7840974989,1355890.3274222582
DNK,Denmark,69,fire_frequency_nasa_2001-2023,876.6696075796223,1128654.1788541088,5805348.84307573
GNQ,Equatorial Guinea,76,fire_frequency_nasa_2001-2023,669.2867764234543,808399.3588703978,1834492.347763331
HRV,Croatia,62,fire_frequency_nasa_2001-2023,7783.735316990713,663754.4723186138,3787648.900208083
CZE,Czechia,65,fire_frequency_nasa_2001-2023,566.7710115921282,2026392.1497015716,10797115.170909977
CYP,Cyprus,64,fire_frequency_nasa_2001-2023,651.2967273416871,253506.02494540255,1306726.4242278652
CRI,Costa Rica,61,fire_frequency_nasa_2001-2023,29540.511724485565,1191440.3303437645,5097096.99096888
HUN,Hungary,113,fire_frequency_nasa_2001-2023,2294.3529432417126,1702871.4563548556,9688358.543239586
VAT,Holy See,110,fire_frequency_nasa_2001-2023,0.0,16.458007565666644,572.078255211391
GUY,Guyana,107,fire_frequency_nasa_2001-2023,3635.370732851388,281356.9749974066,806516.1305592475
FIN,Finland,84,fire_frequency_nasa_2001-2023,116.50900463186206,991548.918198975,5481302.337632742
JPN,Japan,126,fire_frequency_nasa_2001-2023,116524.9631142328,17150438.347585596,120696216.10018988
JAM,Jamaica,123,fire_frequency_nasa_2001-2023,19193.22974063386,670183.3558462983,2793799.338805232
MLT,Malta,156,fire_frequency_nasa_2001-2023,0.0,82027.04247281347,521203.7170215886
ITA,Italy,122,fire_frequency_nasa_2001-2023,292717.8286085563,8867065.00660165,58821153.23274822
ISR,Israel,121,fire_frequency_nasa_2001-2023,2623.632107526064,2536958.630299905,9132753.896187162
IRL,Ireland,119,fire_frequency_nasa_2001-2023,3963.845094498613,1175298.1692543672,5126029.325195856
ISL,Iceland,114,fire_frequency_nasa_2001-2023,5.145038618299398,83771.06821026621,373316.9137436816
MUS,Mauritius,160,fire_frequency_nasa_2001-2023,0.0,241168.37313934063,1248816.2625292933
PRY,Paraguay,194,fire_frequency_nasa_2001-2023,308722.03604594705,2361024.731337233,7007412.950467329
LVA,Latvia,140,fire_frequency_nasa_2001-2023,282.77788436978966,352447.47395318066,1873820.8873327945
MHL,Marshall Islands,157,fire_frequency_nasa_2001-2023,0.0,14173.839429793024,15824.26651432398
KAZ,Kazakhstan,132,fire_frequency_nasa_2001-2023,154261.7936721041,7013864.848751664,20544135.01074862
KWT,Kuwait,137,fire_frequency_nasa_2001-2023,46900.3727070637,1065069.932155687,4806398.575371386
KIR,Kiribati,135,fire_frequency_nasa_2001-2023,0.0,47860.03345616772,69139.5500224364
MCO,Monaco,166,fire_frequency_nasa_2001-2023,0.0,5178.621745262308,24716.447033930755
FSM,Micronesia (Federated States of),163,fire_frequency_nasa_2001-2023,0.0,64.83270571960831,96612.12793625303
MYS,Malaysia,153,fire_frequency_nasa_2001-2023,324159.4364885076,9337446.092514966,34831578.59298695
MDV,Maldives,154,fire_frequency_nasa_2001-2023,0.0,59349.66565709455,163271.1006168642
MEX,Mexico,162,fire_frequency_nasa_2001-2023,2488016.29002512,38372192.37058584,128401222.49271417
LTU,Lithuania,147,fire_frequency_nasa_2001-2023,468.1144342734566,509385.6883266349,2866930.8639708417
LIE,Liechtenstein,146,fire_frequency_nasa_2001-2023,0.0,6875.375215402418,39265.798917740125
LUX,Luxembourg,148,fire_frequency_nasa_2001-2023,9637.04984176606,125867.0302164336,665461.0224727879
NLD,Netherlands,177,fire_frequency_nasa_2001-2023,32655.74582314776,3317680.67254458,18029909.14211523
NRU,Nauru,173,fire_frequency_nasa_2001-2023,0.0,5059.941487204168,8613.227694908777
MDA,Moldova,165,fire_frequency_nasa_2001-2023,490.8792527789469,714905.6177402587,3053511.398903851
MNG,Mongolia,167,fire_frequency_nasa_2001-2023,7719.534946888752,1283535.698081247,3451239.7879313785
QAT,Qatar,201,fire_frequency_nasa_2001-2023,1746.5064241356577,525150.737422447,3007344.2378927646
PRT,Portugal,199,fire_frequency_nasa_2001-2023,125100.17065043814,1561451.1712607555,9846609.236506822
PAN,Panama,191,fire_frequency_nasa_2001-2023,15243.103167306175,1320561.9096532748,4412833.509139626
POL,Poland,198,fire_frequency_nasa_2001-2023,42875.054756657104,6980331.054883395,38556795.89185388
OMN,Oman,187,fire_frequency_nasa_2001-2023,10164.148168545187,1426698.5282886918,5015295.953208735
PLW,Palau,189,fire_frequency_nasa_2001-2023,0.0,3711.196084086777,12098.356533180977
NOR,Norway,186,fire_frequency_nasa_2001-2023,1965.922501563757,1020170.81650001,5140974.828135762
ROU,Romania,203,fire_frequency_nasa_2001-2023,33774.71334490301,3678230.568512474,19057441.41506777
KOR,Republic of Korea,202,fire_frequency_nasa_2001-2023,105124.9164400069,6896493.618111062,51290231.02927133
NZL,New Zealand,179,fire_frequency_nasa_2001-2023,18167.65189836087,1136540.3256396777,5062980.142566763
SVN,Slovenia,224,fire_frequency_nasa_2001-2023,6254.684896220097,375673.5193777197,2111647.805266223
SVK,Slovakia,223,fire_frequency_nasa_2001-2023,1775.1915512270425,1043142.8692212112,5519449.023483421
SGP,Singapore,222,fire_frequency_nasa_2001-2023,0.0,870560.5797558889,5793304.950766583
SAU,Saudi Arabia,215,fire_frequency_nasa_2001-2023,209054.11513024705,9337856.872349331,32986551.47901121
SYC,Seychelles,220,fire_frequency_nasa_2001-2023,0.0,30281.259579967493,110503.57742409957
TON,Tonga,245,fire_frequency_nasa_2001-2023,0.0,43787.1485636697,90938.38558309886
WSM,Samoa,212,fire_frequency_nasa_2001-2023,659.0872236953646,85078.33689061862,193052.459911529
SMR,San Marino,213,fire_frequency_nasa_2001-2023,0.0,5133.700184291561,32591.888848521667
LCA,Saint Lucia,209,fire_frequency_nasa_2001-2023,0.0,38966.40876717017,173094.362651723
KNA,Saint Kitts and Nevis,208,fire_frequency_nasa_2001-2023,0.0,10339.276502371737,42147.38899991664
VCT,Saint Vincent and the Grenadines,211,fire_frequency_nasa_2001-2023,0.0,27568.271910107986,96941.14682992118
GBR,United Kingdom of Great Britain & Northern Ireland,256,fire_frequency_nasa_2001-2023,136099.97047646195,13876628.58854951,67080705.1627506
TUV,Tuvalu,252,fire_frequency_nasa_2001-2023,0.0,792.4737835331314,3207.772182548676
ARE,United Arab Emirates,255,fire_frequency_nasa_2001-2023,31314.700509509286,2031447.4917321051,10654430.703493768
TKM,Turkmenistan,250,fire_frequency_nasa_2001-2023,14163.157285353136,2721095.0510312743,7503070.336105566
TTO,Trinidad and Tobago,246,fire_frequency_nasa_2001-2023,17616.992036082742,325634.2330082643,1482464.5980286642
CHE,Switzerland,237,fire_frequency_nasa_2001-2023,13399.408163812024,1593960.8623976891,8906052.082603708
THA,Thailand,240,fire_frequency_nasa_2001-2023,504335.0832845129,13239586.11497724,71226456.4779607
MKD,North Macedonia,241,fire_frequency_nasa_2001-2023,9638.5323533033,372490.5429986404,1828061.7942779767
SWE,Sweden,236,fire_frequency_nasa_2001-2023,7946.854059329037,2075435.3078660225,10107469.821243083
SUR,Suriname,233,fire_frequency_nasa_2001-2023,1341.800506985397,195175.26057338997,630537.7498989897
SLB,Solomon Islands,225,fire_frequency_nasa_2001-2023,0.0,347383.34427543654,699018.2144060401
ZAF,South Africa,227,fire_frequency_nasa_2001-2023,2514751.037144812,19551218.439929903,62854799.041708514
ESP,Spain,229,fire_frequency_nasa_2001-2023,151695.4108984134,7175341.206914464,44020734.282278255
BTN,Bhutan,31,fire_frequency_nasa_2001-2023,18074.113434862968,208366.5742227184,789279.2014167488
AFG,Afghanistan,1,fire_frequency_nasa_2001-2023,52477.53012483079,20941093.53802295,42009524.65616982
RUS,Russian Federation,204,fire_frequency_nasa_2001-2023,621481.0885861889,29901256.440315537,144449917.3718363
COM,Comoros,58,fire_frequency_nasa_2001-2023,0.0,371458.19433222926,799634.3457163497
SRB,Serbia,2648,fire_frequency_nasa_2001-2023,18466.66167254097,1616523.370020472,8447227.708104627
MNE,Montenegro,2647,fire_frequency_nasa_2001-2023,14211.174489677704,138275.6116227951,622926.0901820723
UZB,Uzbekistan,261,fire_frequency_nasa_2001-2023,129272.4938837501,12807239.362695623,35870616.3785686
VNM,Viet Nam,264,fire_frequency_nasa_2001-2023,1400210.1985254004,28020535.73073192,100066740.29425308
DMA,Dominica,289,fire_frequency_nasa_2001-2023,0.0,14440.4033222003,58363.58971034234
URY,Uruguay,260,fire_frequency_nasa_2001-2023,140182.27306642692,767231.8597110452,3371693.0755634974
USA,United States of America,259,fire_frequency_nasa_2001-2023,1311075.9633887117,72972657.96535072,341972922.558874
