iso3,adm0_name,adm0_id,hazard,child_population_exposed,child_population_total,population_total
ARG,Argentina,12,heatwave_duration_ecmwf_2014-2024,441521.5370672329,11994301.257800624,45121022.51053101
AND,Andorra,7,heatwave_duration_ecmwf_2014-2024,12304.818069803572,12304.818069803572,81412.69242718244
ALB,Albania,3,heatwave_duration_ecmwf_2014-2024,540240.5960944109,574070.9036976197,2785087.9997727955
ATG,Antigua and Barbuda,11,heatwave_duration_ecmwf_2014-2024,12938.69397197124,20562.638849978623,90905.73420599812
AUS,Australia,17,heatwave_duration_ecmwf_2014-2024,17059.864706279393,5528341.681829943,25512033.316981453
AUT,Austria,18,heatwave_duration_ecmwf_2014-2024,444663.3425867699,1562149.966167258,9130605.10845977
BRA,Brazil,37,heatwave_duration_ecmwf_2014-2024,27827332.928245354,49906114.706173696,207339173.17528924
GAB,Gabon,89,heatwave_duration_ecmwf_2014-2024,549567.964502547,1061384.324698356,2481901.429977897
BIH,Bosnia and Herzegovina,34,heatwave_duration_ecmwf_2014-2024,331173.0842500679,515900.2682900799,3178220.9781453223
BWA,Botswana,35,heatwave_duration_ecmwf_2014-2024,652473.8429011622,937762.2783159382,2460012.0798487505
BLZ,Belize,28,heatwave_duration_ecmwf_2014-2024,104434.06967216806,133344.0910243863,403465.9522741968
BEL,Belgium,27,heatwave_duration_ecmwf_2014-2024,95875.9046336474,2300200.967760968,11730335.285806254
BLR,Belarus,26,heatwave_duration_ecmwf_2014-2024,1784994.541571334,1792218.359636827,9086125.035881724
FRA,France,85,heatwave_duration_ecmwf_2014-2024,9423192.08837336,13295575.160836268,65599384.324047
AZE,Azerbaijan,19,heatwave_duration_ecmwf_2014-2024,1299396.6252393993,2747050.551596869,10305347.07231456
BHS,Bahamas,20,heatwave_duration_ecmwf_2014-2024,10595.374113177642,89010.40666834547,378414.52378583257
BHR,Bahrain,21,heatwave_duration_ecmwf_2014-2024,92978.43210650978,351169.7106405367,1562977.9903079737
CHN,China,53,heatwave_duration_ecmwf_2014-2024,54986179.55458983,279052166.2172357,1408183585.2313547
GRC,Greece,97,heatwave_duration_ecmwf_2014-2024,977185.908008792,1614944.9657297018,9640964.082391605
GRD,Grenada,99,heatwave_duration_ecmwf_2014-2024,5765.037304825846,26596.98526254915,103446.63029357528
CAN,Canada,46,heatwave_duration_ecmwf_2014-2024,38509.757751131256,7173042.674087338,38864338.175458856
CHL,Chile,51,heatwave_duration_ecmwf_2014-2024,202168.58365204348,4013982.865720747,19256088.45230865
CPV,Cape Verde,47,heatwave_duration_ecmwf_2014-2024,76964.88310541866,164769.3002462379,500529.7018722176
