iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
GIB,GIB,95,Gibraltar,Non-Self Governing Territory,heatwave_frequency_ecmwf_2014-2024,0.0,6320.962111463034,28982.67595916449
SMR,SMR,213,San Marino,State,heatwave_frequency_ecmwf_2014-2024,5133.700184291561,5133.700184291561,32591.888848521667
MCO,MCO,166,Monaco,State,heatwave_frequency_ecmwf_2014-2024,134.00996431836893,5150.670216133552,24611.520356541056
VAT,VAT,110,Holy See,State,heatwave_frequency_ecmwf_2014-2024,16.458007565666644,16.458007565666644,572.078255211391
xHT,SDN,282,Hala'ib Triangle,Sovereignty unsettled,heatwave_frequency_ecmwf_2014-2024,1745.6018238233512,4875.063372722408,12153.392899734525
xMS,EGY,283,Bi'r Tawīl,Sovereignty unsettled,heatwave_frequency_ecmwf_2014-2024,250.06046407669783,250.06046407669783,319.10018343581555
xIT,SSD,286,Ilemi Triangle,Sovereignty unsettled,heatwave_frequency_ecmwf_2014-2024,2455.25929632516,2455.25929632516,4821.242805503465
xAB,xAB,102,Abyei,Sovereignty unsettled,heatwave_frequency_ecmwf_2014-2024,81783.03039833542,81783.03039833542,139480.9492159389
xJL,xJL,1014,Sovereignty unsettled,Sovereignty unsettled,heatwave_frequency_ecmwf_2014-2024,38747.666907963016,41766.09429358614,117416.10100114328
ESH,ESH,268,Western Sahara,Non-Self Governing Territory,heatwave_frequency_ecmwf_2014-2024,12974.466631330954,148933.84580948256,547515.8079370301
SHN,SHN,1017,Saint Helena (Gough),Non-Self Governing Territory,heatwave_frequency_ecmwf_2014-2024,0.0,856.1189364393309,5167.243286182641
MUS,MUS,160,Mauritius,State,heatwave_frequency_ecmwf_2014-2024,180889.4722309734,241215.5813811656,1248307.5201992372
AND,AND,7,Andorra,State,heatwave_frequency_ecmwf_2014-2024,12314.434242769294,12314.434242769294,81429.70188960501
ISR,ISR,121,Israel,State,heatwave_frequency_ecmwf_2014-2024,651095.0824925179,2525235.7499986435,9088809.509758445
CYP,CYP,64,Cyprus,State,heatwave_frequency_ecmwf_2014-2024,170939.45418459416,253501.06070479413,1306577.675221098
