ISO3,name,ucode,child_population_exposed
ATA,Antarctica,ATA_V1,0.0
AIA,Anguilla,AIA_V1,0.0
ESH,Western Sahara,ESH_V1,83473.41759598698
PYF,French Polynesia,PYF_V1,0.0
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,0.0
BMU,Bermuda,BMU_V1,0.0
GIB,Gibraltar,GIB_V1,0.0
VGB,British Virgin Islands,VGB_V1,0.0
CYM,Cayman Islands,CYM_V1,0.0
FLK,Falkland Islands (Malvinas),FLK_V1,12.996842006545194
MSR,Montserrat,MSR_V1,0.0
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,0.0
TKL,Tokelau,TKL_V1,0.0
TCA,Turks and Caicos Islands,TCA_V1,0.0
ASM,American Samoa (USA),ASM_V1,0.0
GUM,Guam (USA),GUM_V1,0.0
VIR,United States Virgin Islands (USA),VIR_V1,0.0
GRL,Greenland,GRL_V1,2614.902694292343
EGY,Bi'r Tawīl,EGY1_V1,0.0
xAP,Arunachal Pradesh,xAP_V1,0.0
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,17.285523293644424
SDN,Hala'ib Triangle,SDN1_V1,0.0
SSD,Ilemi Triangle,SSD1_V1,0.0
xAB,Abyei,xAB_V1,0.0
xAC,Aksai Chin,xAC_V1,0.0
xJK,Jammu and Kashmir,xJK_V1,1764045.8669277993
xJL,Sovereignty unsettled,xJL_V1,0.0
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,0.0
MAC,Macao,MAC_V1,0.0
HKG,Hong Kong,HKG_V1,0.0
TWN,Taiwan,TWN_V1,0.0
AFG,Afghanistan,AFG_V1,411148.0049768826
AGO,Angola,AGO_V1,45.80918496847153
ALB,Albania,ALB_V1,65745.83353564443
AND,Andorra,AND_V1,12102.34256439247
ARE,United Arab Emirates,ARE_V1,0.0
ARG,Argentina,ARG_V1,9347734.316438997
ARM,Armenia,ARM_V1,11654.59566116589
ATG,Antigua and Barbuda,ATG_V1,0.0
AUS,Australia,AUS_V1,4453862.81907722
AUT,Austria,AUT_V1,1559442.2251082754
AZE,Azerbaijan,AZE_V1,692586.3216085349
BDI,Burundi,BDI_V1,0.0
BEL,Belgium,BEL_V1,2289356.341242964
BEN,Benin,BEN_V1,0.0
BFA,Burkina Faso,BFA_V1,0.0
BGD,Bangladesh,BGD_V1,0.0
BGR,Bulgaria,BGR_V1,635653.8154390896
BHR,Bahrain,BHR_V1,0.0
BHS,Bahamas,BHS_V1,0.0
BIH,Bosnia and Herzegovina,BIH_V1,514974.5588541933
BLR,Belarus,BLR_V1,1792765.4739955186
BLZ,Belize,BLZ_V1,0.0
BOL,Bolivia (Plurinational State of),BOL_V1,227672.26882223075
BRA,Brazil,BRA_V1,1415053.7124565912
BRB,Barbados,BRB_V1,0.0
BRN,Brunei Darussalam,BRN_V1,0.0
BTN,Bhutan,BTN_V1,0.0
BWA,Botswana,BWA_V1,133463.81571582652
CAF,Central African Republic,CAF_V1,0.0
CAN,Canada,CAN_V1,4861743.823210253
CHE,Switzerland,CHE_V1,1554282.2761099024
CHL,Chile,CHL_V1,560296.1582707564
CHN,China,CHN_V1,6.501082766193354E7
CIV,Côte d'Ivoire,CIV_V1,0.0
CMR,Cameroon,CMR_V1,0.0
COD,Democratic Republic of the Congo,COD_V1,0.0
COG,Congo,COG_V1,0.0
COL,Colombia,COL_V1,1869.526770065073
COM,Comoros,COM_V1,0.0
CPV,Cape Verde,CPV_V1,0.0
CRI,Costa Rica,CRI_V1,0.0
CUB,Cuba,CUB_V1,0.0
CYP,Cyprus,CYP_V1,0.0
CZE,Czechia,CZE_V1,2028528.9797150912
DEU,Germany,DEU_V1,1.3999985694446472E7
DJI,Djibouti,DJI_V1,0.0
DMA,Dominica,DMA_V1,0.0
DNK,Denmark,DNK_V1,796421.4862003186
DOM,Dominican Republic,DOM_V1,0.0
DZA,Algeria,DZA_V1,8588659.918364078
ECU,Ecuador,ECU_V1,4490.476380717009
EGY,Egypt,EGY_V1,16.10392601042986
ERI,Eritrea,ERI_V1,0.0
ESP,Spain,ESP_V1,3503464.0177130965
EST,Estonia,EST_V1,249998.04988811136
ETH,Ethiopia,ETH_V1,0.0
FIN,Finland,FIN_V1,938712.9351551696
FJI,Fiji,FJI_V1,0.0
FRA,France,FRA_V1,1.1919256486433245E7
FSM,Micronesia (Federated States of),FSM_V1,0.0
GAB,Gabon,GAB_V1,0.0
GBR,United Kingdom of Great Britain & Northern Ireland,GBR_V1,1.1083793038751956E7
GEO,Georgia,GEO_V1,774339.9843165828
GHA,Ghana,GHA_V1,0.0
GIN,Guinea,GIN_V1,0.0
GMB,Gambia,GMB_V1,0.0
