ISO3,name,ucode,child_population_exposed
ATA,Antarctica,ATA_V1,0.0
AIA,Anguilla,AIA_V1,1855.4094200689779
ESH,Western Sahara,ESH_V1,14665.631487509236
PYF,French Polynesia,PYF_V1,191.06794724157623
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,50835.83674680144
BMU,Bermuda,BMU_V1,0.0
GIB,Gibraltar,GIB_V1,2029.32848584716
VGB,British Virgin Islands,VGB_V1,1053.929858820491
CYM,Cayman Islands,CYM_V1,0.0
FLK,Falkland Islands (Malvinas),FLK_V1,28.875240224830335
MSR,Montserrat,MSR_V1,139.71506508910187
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,0.0
TKL,Tokelau,TKL_V1,0.0
TCA,Turks and Caicos Islands,TCA_V1,5949.313985786689
ASM,American Samoa (USA),ASM_V1,0.0
GUM,Guam (USA),GUM_V1,0.0
VIR,United States Virgin Islands (USA),VIR_V1,3693.9151901761174
GRL,Greenland,GRL_V1,0.0
EGY,Bi'r Tawīl,EGY1_V1,0.0
xAP,Arunachal Pradesh,xAP_V1,136229.40408595488
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,641.2996452484513
SDN,Hala'ib Triangle,SDN1_V1,0.0
SSD,Ilemi Triangle,SSD1_V1,1409.867170372273
xAB,Abyei,xAB_V1,6799.794620694716
xAC,Aksai Chin,xAC_V1,483.23093117028475
xJK,Jammu and Kashmir,xJK_V1,2698838.9248843384
xJL,Sovereignty unsettled,xJL_V1,11311.020750142154
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,158.4004607796669
MAC,Macao,MAC_V1,25025.82836414546
HKG,Hong Kong,HKG_V1,19208.83744784738
TWN,Taiwan,TWN_V1,3053557.691789378
AFG,Afghanistan,AFG_V1,6151650.0810120255
AGO,Angola,AGO_V1,1.0069035741987417E7
ALB,Albania,ALB_V1,222934.52586646896
AND,Andorra,AND_V1,354.6505961550002
ARE,United Arab Emirates,ARE_V1,1028551.1769537515
ARG,Argentina,ARG_V1,9787517.601423759
ARM,Armenia,ARM_V1,467559.38429101266
ATG,Antigua and Barbuda,ATG_V1,0.0
AUS,Australia,AUS_V1,4924449.169646676
AUT,Austria,AUT_V1,1017706.2108632646
AZE,Azerbaijan,AZE_V1,1137327.2064850626
BDI,Burundi,BDI_V1,2056119.1606285172
BEL,Belgium,BEL_V1,1810647.510029422
BEN,Benin,BEN_V1,4252960.482894969
BFA,Burkina Faso,BFA_V1,3162427.7138817995
BGD,Bangladesh,BGD_V1,4.390361080986555E7
BGR,Bulgaria,BGR_V1,510802.76095068606
BHR,Bahrain,BHR_V1,218701.845557667
BHS,Bahamas,BHS_V1,8545.535043468406
BIH,Bosnia and Herzegovina,BIH_V1,253471.17992430137
BLR,Belarus,BLR_V1,1500614.0979845151
BLZ,Belize,BLZ_V1,101391.21857201173
BOL,Bolivia (Plurinational State of),BOL_V1,2234650.8310244037
BRA,Brazil,BRA_V1,3.2468829250599913E7
BRB,Barbados,BRB_V1,0.0
BRN,Brunei Darussalam,BRN_V1,108306.88308364086
BTN,Bhutan,BTN_V1,119870.36548809368
BWA,Botswana,BWA_V1,291447.3644213099
CAF,Central African Republic,CAF_V1,1647092.9348648207
CAN,Canada,CAN_V1,5406677.157131846
CHE,Switzerland,CHE_V1,1093026.965638645
CHL,Chile,CHL_V1,1824277.1356860832
CHN,China,CHN_V1,1.987700709276605E8
CIV,Côte d'Ivoire,CIV_V1,9732741.954648145
CMR,Cameroon,CMR_V1,7333110.622831616
COD,Democratic Republic of the Congo,COD_V1,3.1950250769292176E7
COG,Congo,COG_V1,2182859.337592814
COL,Colombia,COL_V1,9489401.049096871
COM,Comoros,COM_V1,0.0
CPV,Cape Verde,CPV_V1,35809.76876481639
CRI,Costa Rica,CRI_V1,636358.4460267376
CUB,Cuba,CUB_V1,1156773.53668159
CYP,Cyprus,CYP_V1,44960.36756902837
CZE,Czechia,CZE_V1,1241506.10080585
DEU,Germany,DEU_V1,1.1137659334909394E7
DJI,Djibouti,DJI_V1,6366.309348106384
DMA,Dominica,DMA_V1,4814.120871421112
DNK,Denmark,DNK_V1,778275.3273452196
DOM,Dominican Republic,DOM_V1,2445899.9668830363
DZA,Algeria,DZA_V1,4743286.921302537
ECU,Ecuador,ECU_V1,3352662.1839323496
EGY,Egypt,EGY_V1,3624775.7021866576
ERI,Eritrea,ERI_V1,44834.64951628517
ESP,Spain,ESP_V1,3402287.1778746787
EST,Estonia,EST_V1,151847.7552350412
ETH,Ethiopia,ETH_V1,1.475809947128505E7
FIN,Finland,FIN_V1,877404.4474364335
FJI,Fiji,FJI_V1,147786.50188986058
FRA,France,FRA_V1,9947398.06825086
FSM,Micronesia (Federated States of),FSM_V1,0.0
GAB,Gabon,GAB_V1,811943.9492707773
GBR,United Kingdom of Great Britain & Northern Ireland,GBR_V1,9347550.03439896
GEO,Georgia,GEO_V1,471331.5806660306
GHA,Ghana,GHA_V1,8407482.373618612
GIN,Guinea,GIN_V1,3473688.526509865
GMB,Gambia,GMB_V1,544417.8857518381
GNB,Guinea-Bissau,GNB_V1,285340.72636854753
GNQ,Equatorial Guinea,GNQ_V1,663186.5900465135
GRC,Greece,GRC_V1,490783.9554767368
GRD,Grenada,GRD_V1,16745.223758037773
GTM,Guatemala,GTM_V1,3595330.8794414173
GUY,Guyana,GUY_V1,259882.94860631877
