iso3,adm0_name,adm0_id,hazard,child_population_exposed,child_population_total,population_total
ARG,Argentina,12,river_flood_100yr_jrc_2024,1653208.3368191435,11994301.257800624,45121022.51053101
AND,Andorra,7,river_flood_100yr_jrc_2024,0.0,12304.818069803572,81412.69242718244
ALB,Albania,3,river_flood_100yr_jrc_2024,57983.79834816967,574070.9036976197,2785087.9997727955
ATG,Antigua and Barbuda,11,river_flood_100yr_jrc_2024,0.0,20562.638849978623,90905.73420599812
AUS,Australia,17,river_flood_100yr_jrc_2024,307204.9939142059,5528341.681829943,25512033.316981453
AUT,Austria,18,river_flood_100yr_jrc_2024,162065.74530798208,1562149.966167258,9130605.10845977
BRA,Brazil,37,river_flood_100yr_jrc_2024,2683930.8713857834,49906114.706173696,207339173.17528924
GAB,Gabon,89,river_flood_100yr_jrc_2024,75883.33936790022,1061384.324698356,2481901.429977897
BIH,Bosnia and Herzegovina,34,river_flood_100yr_jrc_2024,24074.267075722644,515900.2682900799,3178220.9781453223
BWA,Botswana,35,river_flood_100yr_jrc_2024,61711.19005820041,937762.2783159382,2460012.0798487505
BLZ,Belize,28,river_flood_100yr_jrc_2024,18485.284366455,133344.0910243863,403465.9522741968
BEL,Belgium,27,river_flood_100yr_jrc_2024,99800.66708179646,2300200.967760968,11730335.285806254
BLR,Belarus,26,river_flood_100yr_jrc_2024,83686.74480897776,1792218.359636827,9086125.035881724
FRA,France,85,river_flood_100yr_jrc_2024,891230.807569672,13295575.160836268,65599384.324047
AZE,Azerbaijan,19,river_flood_100yr_jrc_2024,186933.3986995304,2747050.551596869,10305347.07231456
BHS,Bahamas,20,river_flood_100yr_jrc_2024,0.0,89010.40666834547,378414.52378583257
BHR,Bahrain,21,river_flood_100yr_jrc_2024,0.0,351169.7106405367,1562977.9903079737
CHN,China,53,river_flood_100yr_jrc_2024,66831224.50153925,279052166.2172357,1408183585.2313547
GRC,Greece,97,river_flood_100yr_jrc_2024,21357.52470350849,1614944.9657297018,9640964.082391605
GRD,Grenada,99,river_flood_100yr_jrc_2024,0.0,26596.98526254915,103446.63029357528
CAN,Canada,46,river_flood_100yr_jrc_2024,420776.60184537485,7173042.674087338,38864338.175458856
CHL,Chile,51,river_flood_100yr_jrc_2024,157343.2627704251,4013982.865720747,19256088.45230865
CPV,Cape Verde,47,river_flood_100yr_jrc_2024,0.0,164769.3002462379,500529.7018722176
BGR,Bulgaria,41,river_flood_100yr_jrc_2024,34189.34459585312,1180648.3503514077,6741985.340096511
BRN,Brunei Darussalam,40,river_flood_100yr_jrc_2024,16058.304010373531,114778.39665357309,452552.1935456375
GEO,Georgia,92,river_flood_100yr_jrc_2024,51197.59452254768,936649.8004560758,3789540.2679977566
DEU,Germany,93,river_flood_100yr_jrc_2024,759247.1145198001,14040926.618277924,84390282.26212038
EST,Estonia,78,river_flood_100yr_jrc_2024,4791.485070349247,264505.7840974989,1355890.3274222582
DNK,Denmark,69,river_flood_100yr_jrc_2024,958.132320654245,1128654.1788541088,5805348.84307573
GNQ,Equatorial Guinea,76,river_flood_100yr_jrc_2024,72982.6798780654,808399.3588703978,1834492.347763331
HRV,Croatia,62,river_flood_100yr_jrc_2024,51044.42661981786,663754.4723186138,3787648.900208083
CZE,Czechia,65,river_flood_100yr_jrc_2024,58252.41256593329,2026392.1497015716,10797115.170909977
CYP,Cyprus,64,river_flood_100yr_jrc_2024,0.0,253506.02494540255,1306726.4242278652
CRI,Costa Rica,61,river_flood_100yr_jrc_2024,19810.31767854992,1191440.3303437645,5097096.99096888
HUN,Hungary,113,river_flood_100yr_jrc_2024,175547.27860609756,1702871.4563548556,9688358.543239586
VAT,Holy See,110,river_flood_100yr_jrc_2024,0.0,16.458007565666644,572.078255211391
