iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
GIB,GIB,95,Gibraltar,Non-Self Governing Territory,sand_dust_storm_unccd_2024,520.5094418327016,6320.962111463034,28982.67595916449
ESH,ESH,268,Western Sahara,Non-Self Governing Territory,sand_dust_storm_unccd_2024,139207.63975330567,148933.8458094825,547515.8079370301
xJL,xJL,1014,Sovereignty unsettled,Sovereignty unsettled,sand_dust_storm_unccd_2024,56.12462569907599,41766.09429358614,117416.10100114328
xAB,xAB,102,Abyei,Sovereignty unsettled,sand_dust_storm_unccd_2024,0.0,81783.03039833542,139480.9492159389
SHN,SHN,1017,Saint Helena (Gough),Non-Self Governing Territory,sand_dust_storm_unccd_2024,240.81567268846467,856.1189364393309,5167.243286182641
xIT,SSD,286,Ilemi Triangle,Sovereignty unsettled,sand_dust_storm_unccd_2024,2303.2339202176154,2455.25929632516,4821.242805503465
VAT,VAT,110,Holy See,State,sand_dust_storm_unccd_2024,0.0,16.458007565666644,572.078255211391
xMS,EGY,283,Bi'r Tawīl,Sovereignty unsettled,sand_dust_storm_unccd_2024,250.06046407669783,250.06046407669783,319.10018343581555
xHT,SDN,282,Hala'ib Triangle,Sovereignty unsettled,sand_dust_storm_unccd_2024,4462.492779688881,4875.063372722408,12153.392899734525
MCO,MCO,166,Monaco,State,sand_dust_storm_unccd_2024,0.0,5150.670216133552,24611.520356541056
SMR,SMR,213,San Marino,State,sand_dust_storm_unccd_2024,0.0,5133.700184291561,32591.888848521667
CYP,CYP,64,Cyprus,State,sand_dust_storm_unccd_2024,19276.40888354601,253501.06070479413,1306577.675221098
MLT,MLT,156,Malta,State,sand_dust_storm_unccd_2024,848.4063294703468,83308.58843387786,508059.7765252353
AND,AND,7,Andorra,State,sand_dust_storm_unccd_2024,0.0,12314.434242769294,81429.70188960501
MUS,MUS,160,Mauritius,State,sand_dust_storm_unccd_2024,0.0,241215.58138116557,1248307.5201992372
ISR,ISR,121,Israel,State,sand_dust_storm_unccd_2024,152665.06942560957,2525235.7499986435,9088809.509758445
FRA,FRA,85,France,State,sand_dust_storm_unccd_2024,4726.723940862253,13310065.17702112,65665394.952451326
SYC,SYC,220,Seychelles,State,sand_dust_storm_unccd_2024,30.556496225385104,29720.00320191509,107680.01814509738
KEN,KEN,133,Kenya,State,sand_dust_storm_unccd_2024,1954114.93316025,24695923.160650704,55697883.19923063
ESP,ESP,229,Spain,State,sand_dust_storm_unccd_2024,398305.1465680438,7424701.040917175,45709518.59673531
TLS,TLS,242,Timor-Leste,State,sand_dust_storm_unccd_2024,12.83496805280447,565995.9888864048,1365395.355152788
PRT,PRT,199,Portugal,State,sand_dust_storm_unccd_2024,3727.750720504109,1624803.0371882408,10228127.387623696
THA,THA,240,Thailand,State,sand_dust_storm_unccd_2024,9925.534211697408,13243611.669198588,71288672.25113598
MKD,MKD,241,North Macedonia,State,sand_dust_storm_unccd_2024,18.90686997259036,372490.5697058588,1828061.161859414
ALB,ALB,3,Albania,State,sand_dust_storm_unccd_2024,686.1993940624872,574511.4808340941,2783425.0836327416
TUR,TUR,249,Republic of Türkiye,State,sand_dust_storm_unccd_2024,930297.2894706022,22276770.081133068,85409189.03409901
MWI,MWI,152,Malawi,State,sand_dust_storm_unccd_2024,1947.28339381516,10359088.198783085,21411324.39606215
COM,COM,58,Comoros,State,sand_dust_storm_unccd_2024,0.0,371435.77858109714,802614.3376740606
SWZ,SWZ,235,Eswatini,State,sand_dust_storm_unccd_2024,1850.527761979675,492725.3372446519,1234802.3254113812
UGA,UGA,253,Uganda,State,sand_dust_storm_unccd_2024,2868.649519901985,25134625.61854001,49341903.8205682
GRC,GRC,97,Greece,State,sand_dust_storm_unccd_2024,2729.6340590664586,1654436.3195682038,9904165.152781531
RWA,RWA,205,Rwanda,State,sand_dust_storm_unccd_2024,461.6292426586151,6275485.638842308,14114278.491264649
MDG,MDG,150,Madagascar,State,sand_dust_storm_unccd_2024,105091.06826106612,14080000.589749364,30662937.690577693
ERI,ERI,77,Eritrea,State,sand_dust_storm_unccd_2024,935787.7072475333,1605340.285013884,3486028.8843210307
LSO,LSO,142,Lesotho,State,sand_dust_storm_unccd_2024,14942.430763550336,953831.1615944308,2322831.381771127
ZWE,ZWE,271,Zimbabwe,State,sand_dust_storm_unccd_2024,65688.95977641115,7925949.827485798,16454098.879832966
ZMB,ZMB,270,Zambia,State,sand_dust_storm_unccd_2024,5188.276920552959,10234008.092047134,21039446.984683145
SSD,SSD,287,South Sudan,State,sand_dust_storm_unccd_2024,25433.654674547357,5565488.362447016,11783073.744321762
AUS,AUS,17,Australia,State,sand_dust_storm_unccd_2024,39433.87680317074,5499542.035066412,25397473.732017536
MOZ,MOZ,170,Mozambique,State,sand_dust_storm_unccd_2024,26858.379688985624,17310330.699203636,33712198.55763355
ZAF,ZAF,227,South Africa,State,sand_dust_storm_unccd_2024,465227.3636510383,19655007.77025935,63190561.02224362
NAM,NAM,172,Namibia,State,sand_dust_storm_unccd_2024,283062.5687018751,1268826.798718887,2950947.7825267026
BWA,BWA,35,Botswana,State,sand_dust_storm_unccd_2024,26996.96746338936,941947.7751194158,2474286.5822120337
ETH,ETH,79,Ethiopia,State,sand_dust_storm_unccd_2024,5067851.850268942,60012523.18200912,130467249.22084711
