ISO3,name,ucode,child_population_exposed
ATA,Antarctica,ATA_V1,0.0
AIA,Anguilla,AIA_V1,2185.074247580468
ESH,Western Sahara,ESH_V1,123619.40625927657
PYF,French Polynesia,PYF_V1,40645.93664171817
PYF,Clipperton Island,PYF1_V1,0.0
NCL,New Caledonia,NCL_V1,67746.4701150387
BMU,Bermuda,BMU_V1,5593.604894746884
GIB,Gibraltar,GIB_V1,2029.32848584716
VGB,British Virgin Islands,VGB_V1,3996.496349790724
CYM,Cayman Islands,CYM_V1,8130.71842458436
FLK,Falkland Islands (Malvinas),FLK_V1,0.0
MSR,Montserrat,MSR_V1,748.7072648465414
PCN,Pitcairn,PCN_V1,0.0
SHN,Saint Helena (Ascencion),SHN1_V1,0.0
SHN,Saint Helena (Gough),SHN3_V1,0.0
SHN,Saint Helena (Tristan da Cunha),SHN2_V1,0.0
SHN,Saint Helena,SHN_V1,0.0
TKL,Tokelau,TKL_V1,200.51926740258338
TCA,Turks and Caicos Islands,TCA_V1,6685.297615428606
ASM,American Samoa (USA),ASM_V1,8310.827855040507
GUM,Guam (USA),GUM_V1,47990.331312001275
VIR,United States Virgin Islands (USA),VIR_V1,13914.210310330933
GRL,Greenland,GRL_V1,0.0
EGY,Bi'r Tawīl,EGY1_V1,0.0
xAP,Arunachal Pradesh,xAP_V1,0.0
xSK,Senkaku Islands,xSK_V1,0.0
xRI,Kuril Islands,xRI_V1,2883.807059103217
SDN,Hala'ib Triangle,SDN1_V1,0.0
SSD,Ilemi Triangle,SSD1_V1,0.0
xAB,Abyei,xAB_V1,0.0
xAC,Aksai Chin,xAC_V1,0.0
xJK,Jammu and Kashmir,xJK_V1,0.0
xJL,Sovereignty unsettled,xJL_V1,0.0
xPI,Paracel Islands,xPI_V1,0.0
xSI,Spratly Islands,xSI_V1,0.0
xSR,Scarborough Reef,xSR_V1,0.0
xxx,China/India,xxx_V1,0.0
MAC,Macao,MAC_V1,25025.82836414546
HKG,Hong Kong,HKG_V1,617706.2531057037
TWN,Taiwan,TWN_V1,3265784.9456424993
AFG,Afghanistan,AFG_V1,0.0
AGO,Angola,AGO_V1,0.0
ALB,Albania,ALB_V1,0.0
AND,Andorra,AND_V1,0.0
ARE,United Arab Emirates,ARE_V1,0.0
ARG,Argentina,ARG_V1,0.0
ARM,Armenia,ARM_V1,0.0
ATG,Antigua and Barbuda,ATG_V1,19942.545562788604
AUS,Australia,AUS_V1,2145493.1062679603
AUT,Austria,AUT_V1,0.0
AZE,Azerbaijan,AZE_V1,0.0
BDI,Burundi,BDI_V1,0.0
BEL,Belgium,BEL_V1,0.0
BEN,Benin,BEN_V1,0.0
BFA,Burkina Faso,BFA_V1,0.0
BGD,Bangladesh,BGD_V1,5.3111102335966915E7
BGR,Bulgaria,BGR_V1,0.0
BHR,Bahrain,BHR_V1,0.0
BHS,Bahamas,BHS_V1,74650.84153407185
BIH,Bosnia and Herzegovina,BIH_V1,0.0
BLR,Belarus,BLR_V1,0.0
BLZ,Belize,BLZ_V1,134975.73930993798
