iso3,adm0_name,adm0_id,hazard,child_population_exposed,child_population_total,population_total
AUT,Austria,18,vectorborne_malariapf_2012-2022,0.0,1562149.9661672576,9130605.10845977
AUS,Australia,17,vectorborne_malariapf_2012-2022,0.0,5528341.681829946,25512033.31698145
ATG,Antigua and Barbuda,11,vectorborne_malariapf_2012-2022,0.0,20562.638849978623,90905.73420599812
ARG,Argentina,12,vectorborne_malariapf_2012-2022,0.0,11994301.257800637,45121022.51053101
AND,Andorra,7,vectorborne_malariapf_2012-2022,0.0,12304.818069803572,81412.69242718244
ALB,Albania,3,vectorborne_malariapf_2012-2022,0.0,574070.9036976197,2785087.9997727955
AZE,Azerbaijan,19,vectorborne_malariapf_2012-2022,0.0,2747050.5515968683,10305347.07231456
BHS,Bahamas,20,vectorborne_malariapf_2012-2022,0.0,89010.40666834546,378414.52378583257
BHR,Bahrain,21,vectorborne_malariapf_2012-2022,0.0,351169.7106405367,1562977.9903079737
BLR,Belarus,26,vectorborne_malariapf_2012-2022,0.0,1792218.359636827,9086125.035881724
FRA,France,85,vectorborne_malariapf_2012-2022,0.0,13295575.16083626,65599384.324047
BLZ,Belize,28,vectorborne_malariapf_2012-2022,0.0,133344.09102438632,403465.9522741968
BRA,Brazil,37,vectorborne_malariapf_2012-2022,739646.3266298268,49906114.706173584,207339173.17528924
BEL,Belgium,27,vectorborne_malariapf_2012-2022,0.0,2300200.967760968,11730335.285806254
BWA,Botswana,35,vectorborne_malariapf_2012-2022,461855.3706219512,937762.2783159378,2460012.0798487505
BIH,Bosnia and Herzegovina,34,vectorborne_malariapf_2012-2022,0.0,515900.26829008,3178220.9781453223
IRL,Ireland,119,vectorborne_malariapf_2012-2022,0.0,1175298.1692543672,5126029.325195856
EST,Estonia,78,vectorborne_malariapf_2012-2022,0.0,264505.7840974989,1355890.3274222582
HUN,Hungary,113,vectorborne_malariapf_2012-2022,0.0,1702871.456354855,9688358.543239586
ISL,Iceland,114,vectorborne_malariapf_2012-2022,0.0,83771.06821026621,373316.9137436816
DNK,Denmark,69,vectorborne_malariapf_2012-2022,0.0,1128654.178854109,5805348.84307573
GNQ,Equatorial Guinea,76,vectorborne_malariapf_2012-2022,722511.1958098199,808399.3588703978,1834492.347763331
CZE,Czechia,65,vectorborne_malariapf_2012-2022,0.0,2026392.149701571,10797115.170909977
VAT,Holy See,110,vectorborne_malariapf_2012-2022,0.0,16.458007565666644,572.078255211391
CYP,Cyprus,64,vectorborne_malariapf_2012-2022,0.0,253506.02494540255,1306726.4242278652
CHL,Chile,51,vectorborne_malariapf_2012-2022,0.0,4013982.865720749,19256088.45230865
GUY,Guyana,107,vectorborne_malariapf_2012-2022,270243.20243863855,281356.97499740653,806516.1305592475
HRV,Croatia,62,vectorborne_malariapf_2012-2022,0.0,663754.4723186137,3787648.900208083
FIN,Finland,84,vectorborne_malariapf_2012-2022,0.0,991548.9181989752,5481302.337632742
CRI,Costa Rica,61,vectorborne_malariapf_2012-2022,0.0,1191440.3303437645,5097096.99096888
GRC,Greece,97,vectorborne_malariapf_2012-2022,0.0,1614944.9657297018,9640964.082391605
GRD,Grenada,99,vectorborne_malariapf_2012-2022,0.0,26596.98526254915,103446.63029357528
CHN,China,53,vectorborne_malariapf_2012-2022,9350.295994050568,279052166.2172358,1408183585.2313547
BGR,Bulgaria,41,vectorborne_malariapf_2012-2022,0.0,1180648.3503514072,6741985.340096511
CPV,Cape Verde,47,vectorborne_malariapf_2012-2022,55160.329672152446,164769.3002462379,500529.7018722176
BRN,Brunei Darussalam,40,vectorborne_malariapf_2012-2022,699.2023219549773,114778.39665357309,452552.1935456375
DEU,Germany,93,vectorborne_malariapf_2012-2022,0.0,14040926.618277926,84390282.26212038
GEO,Georgia,92,vectorborne_malariapf_2012-2022,0.0,936649.8004560756,3789540.2679977566
GAB,Gabon,89,vectorborne_malariapf_2012-2022,986917.7902073574,1061384.3246983562,2481901.429977897
KAZ,Kazakhstan,132,vectorborne_malariapf_2012-2022,0.0,7013864.848751672,20544135.010748625
MLT,Malta,156,vectorborne_malariapf_2012-2022,0.0,82027.04247281347,521203.7170215886
JPN,Japan,126,vectorborne_malariapf_2012-2022,0.0,17150438.34758559,120696216.10018988
JAM,Jamaica,123,vectorborne_malariapf_2012-2022,0.0,670183.3558462983,2793799.338805232
ISR,Israel,121,vectorborne_malariapf_2012-2022,0.0,2536958.630299905,9132753.896187162
ITA,Italy,122,vectorborne_malariapf_2012-2022,0.0,8867065.006601652,58821153.23274822
PRY,Paraguay,194,vectorborne_malariapf_2012-2022,0.0,2361024.731337234,7007412.950467329
MUS,Mauritius,160,vectorborne_malariapf_2012-2022,0.0,241168.37313934063,1248816.2625292933
MHL,Marshall Islands,157,vectorborne_malariapf_2012-2022,0.0,14173.839429793024,15824.26651432398
LVA,Latvia,140,vectorborne_malariapf_2012-2022,0.0,352447.4739531808,1873820.8873327945
KIR,Kiribati,135,vectorborne_malariapf_2012-2022,0.0,47860.03345616773,69139.5500224364
KWT,Kuwait,137,vectorborne_malariapf_2012-2022,0.0,1065069.932155687,4806398.575371386
MDV,Maldives,154,vectorborne_malariapf_2012-2022,0.0,59349.66565709454,163271.1006168642
LUX,Luxembourg,148,vectorborne_malariapf_2012-2022,0.0,125867.0302164336,665461.0224727879
LTU,Lithuania,147,vectorborne_malariapf_2012-2022,0.0,509385.6883266349,2866930.8639708417
LIE,Liechtenstein,146,vectorborne_malariapf_2012-2022,0.0,6875.375215402418,39265.798917740125
NRU,Nauru,173,vectorborne_malariapf_2012-2022,0.0,5059.941487204168,8613.227694908777
MNG,Mongolia,167,vectorborne_malariapf_2012-2022,0.0,1283535.6980812475,3451239.787931378
MCO,Monaco,166,vectorborne_malariapf_2012-2022,0.0,5178.621745262308,24716.447033930755
MDA,Moldova,165,vectorborne_malariapf_2012-2022,0.0,714905.6177402586,3053511.398903851
FSM,Micronesia (Federated States of),163,vectorborne_malariapf_2012-2022,0.0,64.83270571960831,96612.12793625303
MEX,Mexico,162,vectorborne_malariapf_2012-2022,0.0,38372192.37058582,128401222.49271417
MYS,Malaysia,153,vectorborne_malariapf_2012-2022,31346.879834775376,9337446.092514971,34831578.59298695
NOR,Norway,186,vectorborne_malariapf_2012-2022,0.0,1020170.8165000102,5140974.828135761
NLD,Netherlands,177,vectorborne_malariapf_2012-2022,0.0,3317680.67254458,18029909.14211523
PLW,Palau,189,vectorborne_malariapf_2012-2022,0.0,3711.196084086777,12098.356533180977
OMN,Oman,187,vectorborne_malariapf_2012-2022,191.99062980745796,1426698.528288692,5015295.953208735
POL,Poland,198,vectorborne_malariapf_2012-2022,0.0,6980331.054883396,38556795.89185388
NZL,New Zealand,179,vectorborne_malariapf_2012-2022,0.0,1136540.3256396777,5062980.142566763
PAN,Panama,191,vectorborne_malariapf_2012-2022,3833.092941811412,1320561.9096532748,4412833.509139626
KOR,Republic of Korea,202,vectorborne_malariapf_2012-2022,0.0,6896493.618111059,51290231.02927133
QAT,Qatar,201,vectorborne_malariapf_2012-2022,0.0,525150.737422447,3007344.2378927646
PRT,Portugal,199,vectorborne_malariapf_2012-2022,0.0,1561451.1712607562,9846609.236506822
TON,Tonga,245,vectorborne_malariapf_2012-2022,0.0,43787.1485636697,90938.38558309886
SMR,San Marino,213,vectorborne_malariapf_2012-2022,0.0,5133.700184291561,32591.888848521667
VCT,Saint Vincent and the Grenadines,211,vectorborne_malariapf_2012-2022,0.0,27568.271910107986,96941.14682992118
WSM,Samoa,212,vectorborne_malariapf_2012-2022,0.0,85078.33689061862,193052.459911529
LCA,Saint Lucia,209,vectorborne_malariapf_2012-2022,0.0,38966.40876717017,173094.362651723
KNA,Saint Kitts and Nevis,208,vectorborne_malariapf_2012-2022,0.0,10339.276502371737,42147.38899991664
ROU,Romania,203,vectorborne_malariapf_2012-2022,0.0,3678230.568512474,19057441.41506777
SAU,Saudi Arabia,215,vectorborne_malariapf_2012-2022,19864.18028447644,9337856.872349326,32986551.47901121
SGP,Singapore,222,vectorborne_malariapf_2012-2022,0.0,870560.5797558889,5793304.950766583
SYC,Seychelles,220,vectorborne_malariapf_2012-2022,0.0,30281.259579967493,110503.57742409957
CHE,Switzerland,237,vectorborne_malariapf_2012-2022,0.0,1593960.8623976891,8906052.082603708
SWE,Sweden,236,vectorborne_malariapf_2012-2022,0.0,2075435.307866022,10107469.821243083
SUR,Suriname,233,vectorborne_malariapf_2012-2022,5494.665880047933,195175.26057338997,630537.7498989897
ESP,Spain,229,vectorborne_malariapf_2012-2022,0.0,7175341.206914464,44020734.282278255
SLB,Solomon Islands,225,vectorborne_malariapf_2012-2022,309032.5780925444,347383.3442754364,699018.2144060401
ZAF,South Africa,227,vectorborne_malariapf_2012-2022,2817162.4017386152,19551218.43992989,62854799.041708514
SVN,Slovenia,224,vectorborne_malariapf_2012-2022,0.0,375673.5193777197,2111647.805266223
SVK,Slovakia,223,vectorborne_malariapf_2012-2022,0.0,1043142.8692212112,5519449.023483421
TUV,Tuvalu,252,vectorborne_malariapf_2012-2022,0.0,792.4737835331314,3207.772182548676
TTO,Trinidad and Tobago,246,vectorborne_malariapf_2012-2022,0.0,325634.2330082643,1482464.5980286642
MKD,North Macedonia,241,vectorborne_malariapf_2012-2022,0.0,372490.54299864033,1828061.7942779767
THA,Thailand,240,vectorborne_malariapf_2012-2022,437912.32007504767,13239586.11497724,71226456.4779607
GBR,United Kingdom of Great Britain & Northern Ireland,256,vectorborne_malariapf_2012-2022,0.0,13876628.588549512,67080705.1627506
ARE,United Arab Emirates,255,vectorborne_malariapf_2012-2022,0.0,2031447.4917321056,10654430.703493768
TKM,Turkmenistan,250,vectorborne_malariapf_2012-2022,0.0,2721095.051031276,7503070.336105566
MNE,Montenegro,2647,vectorborne_malariapf_2012-2022,0.0,138275.61162279514,622926.0901820723
SRB,Serbia,2648,vectorborne_malariapf_2012-2022,0.0,1616523.3700204715,8447227.708104627
VNM,Viet Nam,264,vectorborne_malariapf_2012-2022,647081.558302516,28020535.730731912,100066740.29425308
DMA,Dominica,289,vectorborne_malariapf_2012-2022,0.0,14440.4033222003,58363.58971034234
UZB,Uzbekistan,261,vectorborne_malariapf_2012-2022,0.0,12807239.36269562,35870616.3785686
USA,United States of America,259,vectorborne_malariapf_2012-2022,0.0,72972657.96535058,341972922.55887395
URY,Uruguay,260,vectorborne_malariapf_2012-2022,0.0,767231.8597110454,3371693.0755634974
BGD,Bangladesh,23,vectorborne_malariapf_2012-2022,3466690.9381634463,58945359.964651965,172282053.56302592
KHM,Cambodia,44,vectorborne_malariapf_2012-2022,1999332.2934149888,6211092.5286127385,17474540.400970142
BTN,Bhutan,31,vectorborne_malariapf_2012-2022,3287.9404377628416,208366.5742227184,789279.2014167488
AFG,Afghanistan,1,vectorborne_malariapf_2012-2022,2398872.834699054,20941093.53802295,42009524.65616982
RUS,Russian Federation,204,vectorborne_malariapf_2012-2022,0.0,29901256.440315533,144449917.3718363
COM,Comoros,58,vectorborne_malariapf_2012-2022,370420.448254366,371458.19433222926,799634.3457163497
LAO,Lao People's Democratic Republic,139,vectorborne_malariapf_2012-2022,908350.0204835024,2799986.6963744243,7773182.864683836
KGZ,Kyrgyzstan,138,vectorborne_malariapf_2012-2022,0.0,2689821.2431255886,7128243.330953766
