name,ucode
Antarctica,ATA_V1
Anguilla,AIA_V1
Western Sahara,ESH_V1
French Polynesia,PYF_V1
Clipperton Island,PYF1_V1
New Caledonia,NCL_V1
Bermuda,BMU_V1
Gibraltar,GIB_V1
British Virgin Islands,VGB_V1
Cayman Islands,CYM_V1
Falkland Islands (Malvinas),FLK_V1
Montserrat,MSR_V1
Pitcairn,PCN_V1
Saint Helena (Ascencion),SHN1_V1
Saint Helena (Gough),SHN3_V1
Saint Helena (Tristan da Cunha),SHN2_V1
Saint Helena,SHN_V1
Tokelau,TKL_V1
Turks and Caicos Islands,TCA_V1
American Samoa (USA),ASM_V1
Guam (USA),GUM_V1
United States Virgin Islands (USA),VIR_V1
Greenland,GRL_V1
Bi'r Tawīl,EGY1_V1
Arunachal Pradesh,xAP_V1
Senkaku Islands,xSK_V1
Kuril Islands,xRI_V1
Hala'ib Triangle,SDN1_V1
Ilemi Triangle,SSD1_V1
Abyei,xAB_V1
Aksai Chin,xAC_V1
Jammu and Kashmir,xJK_V1
Sovereignty unsettled,xJL_V1
Paracel Islands,xPI_V1
Spratly Islands,xSI_V1
Scarborough Reef,xSR_V1
China/India,xxx_V1
Macao,MAC_V1
Hong Kong,HKG_V1
Taiwan,TWN_V1
Afghanistan,AFG_V1
Angola,AGO_V1
Albania,ALB_V1
Andorra,AND_V1
United Arab Emirates,ARE_V1
Argentina,ARG_V1
Armenia,ARM_V1
Antigua and Barbuda,ATG_V1
Australia,AUS_V1
Austria,AUT_V1
Azerbaijan,AZE_V1
Burundi,BDI_V1
Belgium,BEL_V1
Benin,BEN_V1
Burkina Faso,BFA_V1
Bangladesh,BGD_V1
Bulgaria,BGR_V1
Bahrain,BHR_V1
Bahamas,BHS_V1
Bosnia and Herzegovina,BIH_V1
Belarus,BLR_V1
Belize,BLZ_V1
Bolivia (Plurinational State of),BOL_V1
Brazil,BRA_V1
Barbados,BRB_V1
Brunei Darussalam,BRN_V1
Bhutan,BTN_V1
Botswana,BWA_V1
Central African Republic,CAF_V1
Canada,CAN_V1
Switzerland,CHE_V1
Chile,CHL_V1
China,CHN_V1
Côte d'Ivoire,CIV_V1
Cameroon,CMR_V1
Democratic Republic of the Congo,COD_V1
Congo,COG_V1
Colombia,COL_V1
Comoros,COM_V1
Cape Verde,CPV_V1
Costa Rica,CRI_V1
Cuba,CUB_V1
Cyprus,CYP_V1
Czechia,CZE_V1
Germany,DEU_V1
Djibouti,DJI_V1
Dominica,DMA_V1
Denmark,DNK_V1
Dominican Republic,DOM_V1
Algeria,DZA_V1
Ecuador,ECU_V1
Egypt,EGY_V1
Eritrea,ERI_V1
Spain,ESP_V1
Estonia,EST_V1
Ethiopia,ETH_V1
Finland,FIN_V1
Fiji,FJI_V1
