ucode,max,mean,median,min
AFG_0001_0023_V1,0.0,0.0,0.0,0.0
AFG_0001_0022_V1,0.0,0.0,0.0,0.0
AFG_0001_0015_V1,0.0,0.0,0.0,0.0
AFG_0001_0007_V1,0.0,0.0,0.0,0.0
AFG_0001_0019_V1,0.0,0.0,0.0,0.0
AFG_0001_0027_V1,0.0,0.0,0.0,0.0
AFG_0001_0003_V1,0.0,0.0,0.0,0.0
AFG_0001_0017_V1,0.0,0.0,0.0,0.0
AFG_0001_0005_V1,0.0,0.0,0.0,0.0
AFG_0001_0021_V1,0.0,0.0,0.0,0.0
AFG_0001_0018_V1,0.0,0.0,0.0,0.0
AFG_0001_0028_V1,0.0,0.0,0.0,0.0
AFG_0001_0010_V1,0.0,0.0,0.0,0.0
AFG_0001_0002_V1,0.0,0.0,0.0,0.0
AFG_0001_0006_V1,0.0,0.0,0.0,0.0
AFG_0001_0011_V1,0.0,0.0,0.0,0.0
AFG_0001_0020_V1,0.0,0.0,0.0,0.0
AFG_0001_0026_V1,0.0,0.0,0.0,0.0
AFG_0001_0009_V1,0.0,0.0,0.0,0.0
AFG_0001_0008_V1,0.0,0.0,0.0,0.0
AFG_0001_0014_V1,0.0,0.0,0.0,0.0
AFG_0001_0016_V1,0.0,0.0,0.0,0.0
AFG_0001_0025_V1,0.0,0.0,0.0,0.0
AFG_0001_0024_V1,0.0,0.0,0.0,0.0
AFG_0001_0013_V1,0.0,0.0,0.0,0.0
AFG_0001_0012_V1,0.0,0.0,0.0,0.0
AFG_0001_0001_V1,0.0,0.0,0.0,0.0
AFG_0001_0004_V1,0.0,0.0,0.0,0.0
AFG_0002_0002_V1,0.0,0.0,0.0,0.0
AFG_0002_0001_V1,0.0,0.0,0.0,0.0
AFG_0002_0004_V1,0.0,0.0,0.0,0.0
AFG_0002_0007_V1,0.0,0.0,0.0,0.0
AFG_0002_0006_V1,0.0,0.0,0.0,0.0
AFG_0002_0005_V1,0.0,0.0,0.0,0.0
AFG_0002_0003_V1,0.0,0.0,0.0,0.0
AFG_0003_0009_V1,0.0,0.0,0.0,0.0
AFG_0003_0008_V1,0.0,0.0,0.0,0.0
AFG_0003_0006_V1,0.0,0.0,0.0,0.0
AFG_0003_0002_V1,0.0,0.0,0.0,0.0
AFG_0003_0013_V1,0.0,0.0,0.0,0.0
AFG_0003_0001_V1,0.0,0.0,0.0,0.0
AFG_0003_0007_V1,0.0,0.0,0.0,0.0
AFG_0003_0005_V1,0.0,0.0,0.0,0.0
AFG_0003_0012_V1,0.0,0.0,0.0,0.0
AFG_0003_0010_V1,0.0,0.0,0.0,0.0
AFG_0003_0015_V1,0.0,0.0,0.0,0.0
AFG_0003_0004_V1,0.0,0.0,0.0,0.0
AFG_0003_0011_V1,0.0,0.0,0.0,0.0
AFG_0003_0014_V1,0.0,0.0,0.0,0.0
AFG_0003_0003_V1,0.0,0.0,0.0,0.0
AFG_0004_0008_V1,0.0,0.0,0.0,0.0
AFG_0004_0016_V1,0.0,0.0,0.0,0.0
AFG_0004_0006_V1,0.0,0.0,0.0,0.0
AFG_0004_0010_V1,0.0,0.0,0.0,0.0
AFG_0004_0002_V1,0.0,0.0,0.0,0.0
AFG_0004_0013_V1,0.0,0.0,0.0,0.0
AFG_0004_0015_V1,0.0,0.0,0.0,0.0
AFG_0004_0009_V1,0.0,0.0,0.0,0.0
AFG_0004_0003_V1,0.0,0.0,0.0,0.0
AFG_0004_0011_V1,0.0,0.0,0.0,0.0
AFG_0004_0004_V1,0.0,0.0,0.0,0.0
AFG_0004_0005_V1,0.0,0.0,0.0,0.0
AFG_0004_0007_V1,0.0,0.0,0.0,0.0
AFG_0004_0001_V1,0.0,0.0,0.0,0.0
AFG_0004_0012_V1,0.0,0.0,0.0,0.0
AFG_0004_0014_V1,0.0,0.0,0.0,0.0
AFG_0005_0007_V1,0.0,0.0,0.0,0.0
AFG_0005_0005_V1,0.0,0.0,0.0,0.0
AFG_0005_0003_V1,0.0,0.0,0.0,0.0
AFG_0005_0006_V1,0.0,0.0,0.0,0.0
AFG_0005_0002_V1,0.0,0.0,0.0,0.0
AFG_0005_0004_V1,0.0,0.0,0.0,0.0
AFG_0005_0001_V1,0.0,0.0,0.0,0.0
AFG_0006_0009_V1,0.0,0.0,0.0,0.0
AFG_0006_0001_V1,0.0,0.0,0.0,0.0
AFG_0006_0003_V1,0.0,0.0,0.0,0.0
AFG_0006_0008_V1,0.0,0.0,0.0,0.0
AFG_0006_0006_V1,0.0,0.0,0.0,0.0
AFG_0006_0005_V1,0.0,0.0,0.0,0.0
AFG_0006_0004_V1,0.0,0.0,0.0,0.0
AFG_0006_0007_V1,0.0,0.0,0.0,0.0
AFG_0006_0002_V1,0.0,0.0,0.0,0.0
AFG_0007_0010_V1,0.0,0.0,0.0,0.0
AFG_0007_0007_V1,0.0,0.0,0.0,0.0
AFG_0007_0001_V1,0.0,0.0,0.0,0.0
AFG_0007_0008_V1,0.0,0.0,0.0,0.0
AFG_0007_0005_V1,0.0,0.0,0.0,0.0
AFG_0007_0011_V1,0.0,0.0,0.0,0.0
AFG_0007_0006_V1,0.0,0.0,0.0,0.0
AFG_0007_0003_V1,0.0,0.0,0.0,0.0
AFG_0007_0002_V1,0.0,0.0,0.0,0.0
AFG_0007_0004_V1,0.0,0.0,0.0,0.0
AFG_0007_0009_V1,0.0,0.0,0.0,0.0
AFG_0008_0004_V1,0.0,0.0,0.0,0.0
AFG_0008_0014_V1,0.0,0.0,0.0,0.0
AFG_0008_0009_V1,0.0,0.0,0.0,0.0
AFG_0008_0013_V1,0.0,0.0,0.0,0.0
AFG_0008_0006_V1,0.0,0.0,0.0,0.0
AFG_0008_0001_V1,0.0,0.0,0.0,0.0
AFG_0008_0005_V1,0.0,0.0,0.0,0.0
AFG_0008_0011_V1,0.0,0.0,0.0,0.0
AFG_0008_0012_V1,0.0,0.0,0.0,0.0
AFG_0008_0010_V1,0.0,0.0,0.0,0.0
AFG_0008_0007_V1,0.0,0.0,0.0,0.0
AFG_0008_0003_V1,0.0,0.0,0.0,0.0
AFG_0008_0002_V1,0.0,0.0,0.0,0.0
AFG_0008_0008_V1,0.0,0.0,0.0,0.0
AFG_0009_0005_V1,0.0,0.0,0.0,0.0
AFG_0009_0018_V1,0.0,0.0,0.0,0.0
AFG_0009_0016_V1,0.0,0.0,0.0,0.0
AFG_0009_0014_V1,0.0,0.0,0.0,0.0
AFG_0009_0019_V1,0.0,0.0,0.0,0.0
AFG_0009_0002_V1,0.0,0.0,0.0,0.0
AFG_0009_0009_V1,0.0,0.0,0.0,0.0
