child_population_exposed,adm0_ucode,level,ucode,child_population_total
0.0,AFG_V1,2,AFG_0001_0023_V1,18182.232974502724
0.0,AFG_V1,2,AFG_0001_0022_V1,19778.325188253613
0.0,AFG_V1,2,AFG_0001_0015_V1,48596.53350806477
0.0,AFG_V1,2,AFG_0001_0007_V1,46150.37117536393
0.0,AFG_V1,2,AFG_0001_0019_V1,32207.383971147123
0.0,AFG_V1,2,AFG_0001_0027_V1,30789.22191760396
0.0,AFG_V1,2,AFG_0001_0003_V1,16383.73002548656
0.0,AFG_V1,2,AFG_0001_0017_V1,47173.63922417528
0.0,AFG_V1,2,AFG_0001_0005_V1,19219.83348513468
0.0,AFG_V1,2,AFG_0001_0021_V1,25122.086068996643
0.0,AFG_V1,2,AFG_0001_0018_V1,15585.655813229843
0.0,AFG_V1,2,AFG_0001_0028_V1,45178.01633493351
0.0,AFG_V1,2,AFG_0001_0010_V1,39141.464552784906
0.0,AFG_V1,2,AFG_0001_0002_V1,38683.95916365058
0.0,AFG_V1,2,AFG_0001_0006_V1,28427.00131141291
0.0,AFG_V1,2,AFG_0001_0011_V1,26025.3169906164
0.0,AFG_V1,2,AFG_0001_0020_V1,28513.75278251574
0.0,AFG_V1,2,AFG_0001_0026_V1,75447.86349158362
0.0,AFG_V1,2,AFG_0001_0009_V1,10078.484910320183
0.0,AFG_V1,2,AFG_0001_0008_V1,14466.112274063453
0.0,AFG_V1,2,AFG_0001_0014_V1,81342.0197132823
0.0,AFG_V1,2,AFG_0001_0016_V1,63385.16765191151
0.0,AFG_V1,2,AFG_0001_0025_V1,17325.915394356045
0.0,AFG_V1,2,AFG_0001_0024_V1,27628.130655099663
0.0,AFG_V1,2,AFG_0001_0013_V1,27128.90820546021
0.0,AFG_V1,2,AFG_0001_0012_V1,36612.4437570269
0.0,AFG_V1,2,AFG_0001_0001_V1,44478.23101910726
0.0,AFG_V1,2,AFG_0001_0004_V1,19990.649280338428
0.0,AFG_V1,2,AFG_0002_0002_V1,37773.03117321353
0.0,AFG_V1,2,AFG_0002_0001_V1,61671.96443922461
0.0,AFG_V1,2,AFG_0002_0004_V1,46317.09834930601
0.0,AFG_V1,2,AFG_0002_0007_V1,54860.617538946986
0.0,AFG_V1,2,AFG_0002_0006_V1,55120.471768266085
0.0,AFG_V1,2,AFG_0002_0005_V1,31886.53323920368
0.0,AFG_V1,2,AFG_0002_0003_V1,9116.455802749566
0.0,AFG_V1,2,AFG_0003_0009_V1,26298.5627023642
0.0,AFG_V1,2,AFG_0003_0008_V1,38496.14629950313
0.0,AFG_V1,2,AFG_0003_0006_V1,41985.651395271314
0.0,AFG_V1,2,AFG_0003_0002_V1,5612.933227902244
0.0,AFG_V1,2,AFG_0003_0013_V1,70887.56785056609
0.0,AFG_V1,2,AFG_0003_0001_V1,31233.04090681427
0.0,AFG_V1,2,AFG_0003_0007_V1,13465.506433105116
0.0,AFG_V1,2,AFG_0003_0005_V1,88615.22709517952
0.0,AFG_V1,2,AFG_0003_0012_V1,38585.427537759024
0.0,AFG_V1,2,AFG_0003_0010_V1,90115.55154164502
0.0,AFG_V1,2,AFG_0003_0015_V1,9195.078489737649
0.0,AFG_V1,2,AFG_0003_0004_V1,31092.17257262808
0.0,AFG_V1,2,AFG_0003_0011_V1,309288.6033085996
0.0,AFG_V1,2,AFG_0003_0014_V1,104508.99108329696
0.0,AFG_V1,2,AFG_0003_0003_V1,18599.467165392954
0.0,AFG_V1,2,AFG_0004_0008_V1,75862.22225523744
0.0,AFG_V1,2,AFG_0004_0016_V1,84329.4407319202
0.0,AFG_V1,2,AFG_0004_0006_V1,35674.095680847015
0.0,AFG_V1,2,AFG_0004_0010_V1,35339.31903639024
0.0,AFG_V1,2,AFG_0004_0002_V1,0.0
0.0,AFG_V1,2,AFG_0004_0013_V1,43875.75204209713
0.0,AFG_V1,2,AFG_0004_0015_V1,101391.55151077126
0.0,AFG_V1,2,AFG_0004_0009_V1,39720.41987524962
0.0,AFG_V1,2,AFG_0004_0003_V1,1726.813933399641
0.0,AFG_V1,2,AFG_0004_0011_V1,111734.42350322955
0.0,AFG_V1,2,AFG_0004_0004_V1,92898.46745088157
0.0,AFG_V1,2,AFG_0004_0005_V1,350998.54062353587
0.0,AFG_V1,2,AFG_0004_0007_V1,58799.66401705577
0.0,AFG_V1,2,AFG_0004_0001_V1,17722.400524912402
0.0,AFG_V1,2,AFG_0004_0012_V1,39925.848390933614
0.0,AFG_V1,2,AFG_0004_0014_V1,28045.856374406587
0.0,AFG_V1,2,AFG_0005_0007_V1,80983.65180242728
0.0,AFG_V1,2,AFG_0005_0005_V1,21897.9605965425
0.0,AFG_V1,2,AFG_0005_0003_V1,76212.83888281138
0.0,AFG_V1,2,AFG_0005_0006_V1,20789.03883889084
0.0,AFG_V1,2,AFG_0005_0002_V1,63249.76004814774
0.0,AFG_V1,2,AFG_0005_0004_V1,97740.92146196715
0.0,AFG_V1,2,AFG_0005_0001_V1,29441.2387233636
