Unnamed: 0,child_population_exposed,adm0_ucode,level,ucode,child_population_total
0,0.0,ATA_V1,1,ATA_0001_V1,0.0
1,0.0,AIA_V1,1,AIA_0001_V1,528.8387905359999
2,0.0,AIA_V1,1,AIA_0006_V1,301.87700383820203
3,0.0,AIA_V1,1,AIA_0009_V1,13.060311543017484
4,0.0,AIA_V1,1,AIA_0004_V1,525.3147658555895
5,0.0,AIA_V1,1,AIA_0010_V1,6.172508661014338
6,0.0,AIA_V1,1,AIA_0003_V1,427.6262416209151
7,0.0,AIA_V1,1,AIA_0005_V1,371.4809523798744
8,0.0,AIA_V1,1,AIA_0008_V1,1.031716378756306
9,0.0,AIA_V1,1,AIA_0002_V1,464.6352476213637
10,0.0,AIA_V1,1,AIA_0007_V1,41.019324432342685
11,0.0,ASM_V1,1,ASM_0001_V1,13195.251075536064
12,0.0,CYM_V1,1,CYM_0001_V1,7848.692727433314
13,0.0,CYM_V1,1,CYM_0003_V1,10.8404431795044
14,0.0,CYM_V1,1,CYM_0002_V1,71.53989787178074
15,734.2318233573553,ESH_V1,1,ESH_0001_V1,10736.684473637752
16,2624.224538475275,ESH_V1,1,ESH_0004_V1,69983.28178161828
17,1056.6123927086592,ESH_V1,1,ESH_0002_V1,15904.185272340104
18,4725.704264049905,ESH_V1,1,ESH_0003_V1,46130.1137586709
19,0.0,GUM_V1,1,GUM_0001_V1,49098.92763528189
20,0.0,MSR_V1,1,MSR_0005_V1,48.59084849370754
21,0.0,MSR_V1,1,MSR_0006_V1,265.18473906881525
22,0.0,MSR_V1,1,MSR_0004_V1,495.4645475257991
23,0.0,MSR_V1,1,MSR_0007_V1,0.1315749958157539
24,0.0,MSR_V1,1,MSR_0001_V1,7.36290974795234
25,0.0,MSR_V1,1,MSR_0002_V1,10.083705494362931
26,0.0,MSR_V1,1,MSR_0003_V1,1.6391630060970783
27,0.0,TCA_V1,1,TCA_0002_V1,48.77400894649327
28,0.0,TCA_V1,1,TCA_0005_V1,24.752608901576377
29,0.0,TCA_V1,1,TCA_0003_V1,225.8017964400936
30,0.0,TCA_V1,1,TCA_0004_V1,6153.226164586519
31,0.0,TCA_V1,1,TCA_0006_V1,0.0
32,0.0,TCA_V1,1,TCA_0001_V1,1103.1470031237484
33,0.0,VGB_V1,1,VGB_0002_V1,43.165643668949016
34,0.0,VGB_V1,1,VGB_0001_V1,37.44692571151492
35,0.0,VGB_V1,1,VGB_0003_V1,0.0
36,0.0,VGB_V1,1,VGB_0005_V1,443.1145925216376
37,0.0,VGB_V1,1,VGB_0004_V1,4383.753542686955
38,0.0,BMU_V1,1,BMU_0001_V1,8787.241185811969
39,0.0,FLK_V1,1,FLK_0001_V1,576.2497401930995
40,61.243763627258005,GIB_V1,1,GIB_0001_V1,2029.32848584716
41,0.0,NCL_V1,1,NCL_0001_V1,68515.41113024946
42,0.0,PCN_V1,1,PCN_0001_V1,0.0
43,0.0,PYF1_V1,1,PYF1_0001_V1,0.0
44,0.0,PYF_V1,1,PYF_0001_V1,41015.96359011015
45,0.0,SHN1_V1,1,SHN1_0001_V1,0.0
46,0.0,SHN2_V1,1,SHN2_0001_V1,0.0
47,0.0,SHN3_V1,1,SHN3_0001_V1,0.0
48,0.0,SHN_V1,1,SHN_0001_V1,827.7404404856137
49,0.0,TKL_V1,1,TKL_0001_V1,211.8808005050057
50,0.0,VIR_V1,1,VIR_0001_V1,13921.231945321751
51,17.611793011426926,GRL_V1,1,GRL_0003_V1,4616.430573961856
52,0.0,GRL_V1,1,GRL_0002_V1,88.63522342122069
53,0.0,GRL_V1,1,GRL_0001_V1,189.2202867733064
54,30.07096353266753,xJK_V1,1,xJK_0001_V1,1294.213784013024
55,3012.68646938654,xJK_V1,1,xJK_0002_V1,45774.08290411888
56,0.0,EGY1_V1,1,EGY1_0001_V1,250.06046407669783
57,0.4641200006008148,SDN1_V1,1,SDN1_0001_V1,4045.31902687445
58,8.465173959732056,SSD1_V1,1,SSD1_0001_V1,2415.6073965415544
59,55655.02705220603,xAB_V1,1,xAB_0001_V1,81160.20697360107
60,159.39834436401725,xAC_V1,1,xAC_0001_V1,3419.691407508914
61,21567.61552782678,xAP_V1,1,xAP_0001_V1,301965.9248281156
62,0.1111408775927973,xAP_V1,1,xAP_0003_V1,72.8536698597319
63,1056.117657933282,xAP_V1,1,xAP_0002_V1,10540.824797963747
64,10013.615619246224,xJK_V1,1,xJK_0003_V1,119497.71118574798
65,13997.439622718097,xJK_V1,1,xJK_0007_V1,149946.08961027008
66,147407.71511255408,xJK_V1,1,xJK_0012_V1,2117953.772771209
67,60848.57450707572,xJK_V1,1,xJK_0005_V1,283511.67944868235
68,16133.027871565842,xJK_V1,1,xJK_0009_V1,125738.67693697184
69,38942.60005986991,xJK_V1,1,xJK_0010_V1,850335.3900968434
70,41716.54303708485,xJK_V1,1,xJK_0006_V1,336589.3367859365
71,3267.057953491807,xJK_V1,1,xJK_0008_V1,279130.384067961
72,5012.503097864868,xJK_V1,1,xJK_0004_V1,56717.93078358214
73,13103.0933391415,xJK_V1,1,xJK_0011_V1,373543.57190330856
74,0.0,xJL_V1,1,xJL_0001_V1,25655.30764424882
75,0.0,xPI_V1,1,xPI_0001_V1,0.0
76,0.0,xRI_V1,1,xRI_0001_V1,3076.247230162231
77,0.0,xSI_V1,1,xSI_0001_V1,0.0
78,0.0,xSK_V1,1,xSK_0001_V1,0.0
79,0.0,xSR_V1,1,xSR_0001_V1,0.0
80,18.59657098352909,xxx_V1,1,xxx_0001_V1,716.6935951842179
81,15309.412757366115,HKG_V1,1,HKG_0001_V1,790320.7632129256
82,10991.680791495828,MAC_V1,1,MAC_0001_V1,25025.82836414546
83,667154.9292093759,TWN_V1,1,TWN_0001_V1,3293980.6914058407
84,5431.468049426318,AFG_V1,1,AFG_0034_V1,245514.93569683825
85,16641.34948966363,AFG_V1,1,AFG_0005_V1,390997.6444404157
86,10184.87901560673,AFG_V1,1,AFG_0030_V1,217040.89521739024
87,19324.73599640657,AFG_V1,1,AFG_0032_V1,528850.2298097669
88,25301.87057477769,AFG_V1,1,AFG_0031_V1,401418.6345343243
89,58025.77191529941,AFG_V1,1,AFG_0012_V1,1692295.7502425022
90,14596.837596771207,AFG_V1,1,AFG_0018_V1,290261.5398552141
91,24136.37409306903,AFG_V1,1,AFG_0002_V1,296077.58033428696
92,26896.29756068336,AFG_V1,1,AFG_0003_V1,918298.571564404
93,1326.7382016525548,AFG_V1,1,AFG_0016_V1,259342.6535978664
94,32191.60489629248,AFG_V1,1,AFG_0013_V1,210555.97302182164
95,3111.8700677053603,AFG_V1,1,AFG_0021_V1,120601.4717295431
96,271724.3673247612,AFG_V1,1,AFG_0014_V1,3294109.556834196
97,31733.377464880807,AFG_V1,1,AFG_0026_V1,684310.3573191325
98,27579.68976172768,AFG_V1,1,AFG_0023_V1,1170559.9587071787
99,94909.23675594437,AFG_V1,1,AFG_0008_V1,834939.7325075301
100,10353.528136775438,AFG_V1,1,AFG_0029_V1,579750.2060670223
101,22808.75910343969,AFG_V1,1,AFG_0010_V1,463613.0041865207
102,79887.21369946146,AFG_V1,1,AFG_0024_V1,105686.229563003
103,4131.3170292414725,AFG_V1,1,AFG_0028_V1,58096.36865052078
104,65143.390613691125,AFG_V1,1,AFG_0007_V1,337113.9068675016
105,8245.589286043612,AFG_V1,1,AFG_0006_V1,297048.5860222271
106,36453.10614997341,AFG_V1,1,AFG_0001_V1,942620.982145252
107,3853.168750366825,AFG_V1,1,AFG_0017_V1,348990.88717608067
108,22140.953035310376,AFG_V1,1,AFG_0027_V1,406971.4231127581
109,11631.784321886857,AFG_V1,1,AFG_0025_V1,170664.45482278054
110,323952.37531631044,AFG_V1,1,AFG_0011_V1,1070382.0985243744
111,14228.872816724812,AFG_V1,1,AFG_0022_V1,524626.1605741725
112,8753.696958759865,AFG_V1,1,AFG_0033_V1,135024.23911921176
113,53095.597428911,AFG_V1,1,AFG_0004_V1,1119231.9721669238
114,39568.06439272474,AFG_V1,1,AFG_0019_V1,622624.9044739977
115,14132.24407694423,AFG_V1,1,AFG_0020_V1,296742.9141393405
116,36900.52501132588,AFG_V1,1,AFG_0009_V1,928164.5006686092
117,65143.665826983306,AFG_V1,1,AFG_0015_V1,1040528.5797803518
118,993.0217673938466,AGO_V1,1,AGO_0004_V1,1148654.462216554
119,14939.727806213588,AGO_V1,1,AGO_0006_V1,389304.870890269
120,321457.96081612154,AGO_V1,1,AGO_0005_V1,488664.1045848216
121,735.5476552121852,AGO_V1,1,AGO_0009_V1,1630229.400151739
122,10755.550936953005,AGO_V1,1,AGO_0011_V1,4750627.352270463
123,1892.3488944796663,AGO_V1,1,AGO_0017_V1,1143338.8839497026
124,149233.86269291726,AGO_V1,1,AGO_0018_V1,445811.3960209571
125,190758.9563970097,AGO_V1,1,AGO_0001_V1,743861.0945627294
126,11660.76502277624,AGO_V1,1,AGO_0002_V1,242616.745375176
127,54770.47113415564,AGO_V1,1,AGO_0003_V1,1650866.2591953983
128,32381.27893031242,AGO_V1,1,AGO_0008_V1,1422969.5996898566
129,7418.91219553993,AGO_V1,1,AGO_0010_V1,1920079.0405435604
130,5197.863538112422,AGO_V1,1,AGO_0012_V1,578715.8075732832
131,4955.996439787924,AGO_V1,1,AGO_0007_V1,328505.2847111443
132,3481.559387795729,AGO_V1,1,AGO_0015_V1,590051.2366000427
133,861.4715016675127,AGO_V1,1,AGO_0013_V1,406587.7270648037
134,1593.058737868699,AGO_V1,1,AGO_0014_V1,747125.5624288236
135,25781.8999176563,AGO_V1,1,AGO_0016_V1,360306.5011304901
136,8315.815798922293,ALB_V1,1,ALB_0009_V1,24230.016086949272
137,14114.324173307128,ALB_V1,1,ALB_0003_V1,64479.15045648876
138,5263.832487698651,ALB_V1,1,ALB_0010_V1,41377.59447954694
139,253.41189978280727,ALB_V1,1,ALB_0006_V1,8541.429502618694
140,193.5062672088231,ALB_V1,1,ALB_0008_V1,20390.514832010416
141,470.7277047848397,ALB_V1,1,ALB_0002_V1,26826.150948012943
142,9262.086909415626,ALB_V1,1,ALB_0012_V1,32805.48359075026
143,3853.143445795596,ALB_V1,1,ALB_0001_V1,20821.419239642903
144,301.05625297373626,ALB_V1,1,ALB_0007_V1,34557.912837618795
145,11285.705957406695,ALB_V1,1,ALB_0005_V1,54611.38309786801
146,1370.380883445311,ALB_V1,1,ALB_0011_V1,190200.81702845
147,2019.8544005056085,ALB_V1,1,ALB_0004_V1,53578.54207634518
148,0.0,AND_V1,1,AND_0001_V1,3514.224901453974
149,0.0,AND_V1,1,AND_0006_V1,260.53309667140115
150,0.0,AND_V1,1,AND_0005_V1,2665.882213547044
151,0.0,AND_V1,1,AND_0004_V1,1824.43192151159
152,0.0,AND_V1,1,AND_0003_V1,1649.74734115737
153,0.0,AND_V1,1,AND_0007_V1,1634.3291798519442
154,0.0,AND_V1,1,AND_0002_V1,626.239364794714
155,0.0,ARE_V1,1,ARE_0003_V1,63802.352564580586
156,13110.414503205942,ARE_V1,1,ARE_0005_V1,99789.09582055318
157,42591.26016946485,ARE_V1,1,ARE_0006_V1,387919.33944624814
158,74280.8898171557,ARE_V1,1,ARE_0001_V1,665983.1058988081
159,40454.51522100869,ARE_V1,1,ARE_0004_V1,664500.9990640661
160,3975.9231282247233,ARE_V1,1,ARE_0007_V1,25207.923660644658
161,23545.71255610341,ARE_V1,1,ARE_0002_V1,83054.39573541853
162,76565.11229479058,ARG_V1,1,ARG_0009_V1,199029.9889218582
163,53224.76513925868,ARG_V1,1,ARG_0008_V1,391872.4233695115
